"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"sp1" 2.32134796939968 2.60391823050492 2.04466536967425 1.65327272169914 1.72482840983515 1.80425940583464 2.50265538734043 2.14297219339529 2.78939679126003 2.00445839651485 1.91949383334193 1.87261439412068 2.02872574555598 1.96989940203776 1.75067849910462 2.06908917715506 1.93492305665361 2.56004197114172 2.2196806215675 2.47769109437 2.04650498170961 2.45598424807529 1.57575231633498 1.65935929230431 1.62973094269896 1.70548913272707 2.15346763399031 1.44850764528301 1.39943051728186 2.01528336139104 1.83449066362351 1.88668377357113 2.27483029160176 2.71820384815448 2.14632882702301 2.21335428469603 2.11598108299374 2.36563799951172 1.76978215740835 1.80693646752653 1.35425444365144 1.59499040469172 2.09719896849375 1.50439394084295 2.05343842625604 1.57186358894406 2.15155954529845 1.93968088190538 2.17928693946284 2.51787620049254 1.99324326613925 2.04070679813382 1.93228908313358 2.0223238324344 2.41754946779952 1.53437004681454 2.3747679878358 1.4152029345261 2.11175099835896 2.08690032802128 1.02848733162339 2.17174130612953 1.48476464203772 1.43738099938128 2.21358255364916 2.33014047684508 2.48917662853316 2.25650185897795 2.13725197882432 2.19996738723773 2.28929687969241 2.29742492836098 2.73188620942596 1.90555122863518 1.79246900678603 1.74539451196851 2.17006184007655 1.91209960693884 1.86844015244808 1.30263732961826 2.00601928081101 1.64416992639496 1.92988028315488 1.8929806898325 2.04355629975916 1.65553313507865 1.74379420480285 1.91186078735594 2.08049476948352 1.36551003349175 2.25010569065791 2.01821902611846 1.67354373048055 2.27812802501967 2.35798233025215 2.13548370549523 1.2406943320074 2.08034542636774 1.84352215640833 2.1517271260754
"sp2" 2.1460047235944 2.50143640453217 2.16157727454519 1.98092471197939 1.64494961898201 1.86888038195853 1.8660997821827 1.782445248212 1.99663401697446 1.86689875511928 1.59673019351951 1.1792766811254 2.15103213004679 1.82061314035815 1.56269092628471 2.78652656660243 1.49521649565626 2.05396179779009 2.83453601227383 1.35621066250451 2.02826153173479 2.14079189743823 2.48310605637972 2.12904365064623 2.17287127535382 1.97593533707988 2.44849825878588 1.96562264044303 1.32312983129125 1.93226073291152 2.51055604672097 2.20992730067816 2.78286700215027 2.3342400980163 2.30691853398225 1.38093054881212 1.81080379128051 1.86682067921889 1.48325257674091 1.34914282832812 2.38295285217256 1.8885605949686 2.38320196236043 2.02352775850131 1.42875120488067 2.38553820286669 1.94643832897743 1.48679578294908 2.15153281925138 1.815650429839 2.01872469895466 2.2326287762601 2.36272456789367 2.71280973425681 1.97298108586065 1.29876619855127 2.0242542095312 1.68687934976946 1.9047312721051 2.31834167846357 2.35905523086766 1.61978446281426 2.32237400261408 2.61021625033355 1.60912021705652 1.50306975243228 2.30902921817511 1.7312302976606 1.36529357407621 1.78251183060359 2.0506515171007 1.62405269694048 2.30330474201834 1.76606789958426 1.78444106639246 2.03154542694228 1.70176161469805 1.53306808641089 1.57957185414196 2.25620539118267 2.79456185888693 2.38194321262896 2.10658567250123 2.01586532259577 1.85337529877987 1.99883274757819 2.31501297098123 1.97208383630535 2.42819700081253 1.633873919134 1.86872721484413 2.24452733534797 2.18977894085406 2.07020735989293 1.99974097890101 1.4611224700773 1.72784234777423 1.98012840573071 2.04698876521684 2.0720247482296
"sp3" 1.73154145499827 2.16725515952907 2.46696645863783 1.9358088089426 1.88000091492927 2.51828179186956 2.16141323514401 2.31562287833144 1.88805716866708 1.54077937628622 1.29942979915946 0.973496684194539 1.36454130922262 2.18879333229099 2.29999061255587 1.66096547421848 3.20866914006401 1.35161343319543 1.90855540449271 1.84587307553749 1.88678636976707 1.90658542486506 2.80522211395858 2.27208068308051 2.28428946029861 1.63797142418015 2.15173312000521 1.91830831886273 1.37992555569208 2.58400212611121 1.4569880108695 2.88478788965993 1.95230158264516 1.67556842154063 2.10080199334659 2.61924679925829 1.43459506913873 1.89114436082066 1.95325925005405 2.0166295832654 2.46544348501012 2.15934731810271 1.98971717784449 1.38155177633809 0.996773584628189 1.65950396890947 1.09145038175004 1.5139153764469 2.26642856243553 1.79811206690328 2.62955210568522 2.35054726136579 2.08257877868596 2.23359376986037 2.02805659688597 2.24335249311676 1.64909645861085 1.3451020521631 1.62026944488211 1.77389303433806 2.1433152548977 1.3306878699186 1.70109672309019 1.96883258522526 2.77764084492345 2.51089412424773 1.64461469363514 2.20658482838296 1.62375843713074 2.42718083720417 2.17245272456125 1.85904386429149 2.10305671120987 2.04663043825956 1.7850513696002 1.75423436847729 2.03642529369546 1.57793596775366 2.00691329646809 1.73043425794262 1.81774627316736 1.91017159967969 2.61344283590618 2.67651133856584 2.19820566700116 1.47321408420118 2.26102836730528 1.78817732219994 2.34927761864494 1.66510646382704 2.54217158026181 2.06263937068504 2.46772612372244 1.46051931713239 2.16495232207863 1.39828014383113 2.45616400909147 2.31429968086283 1.93549531665806 2.57960834925447
"sp4" 1.5586410014147 2.56478300450449 1.87622135920108 1.827174458242 1.24262273242248 2.39548004373153 1.51306877090865 1.90251176896332 1.46984361946125 1.83253682426682 1.42356463858455 2.01556395114078 2.25396433500409 2.86666210481893 2.29804663415432 1.3753815830848 1.97576045773771 1.86732448805459 1.49494158809137 3.03247787851342 2.27052963056817 2.13357351033866 1.87747463684016 2.17089736159596 1.90220463776882 1.6461668520993 2.23524029337337 2.03659552831062 2.17516839127131 2.07807574161781 1.64830999571023 1.86377985794157 1.72555734744607 1.83145082953679 2.27611300516566 2.09256627077619 1.93563720147518 1.93292274119841 2.22175092871556 1.7712895389328 2.01837702160712 2.27423810484801 0.939833669403747 2.18571410057884 1.50204016544704 1.90252037215255 2.1285585451005 1.93111130901792 1.65246853892852 1.40997008988257 1.89396128066962 1.77091351926568 1.02527052904061 1.76545178179165 2.65220501387958 1.24132657852864 1.75798052681918 2.36043290734954 1.37675162841029 2.25090510370921 2.01228678818607 2.26333346205881 1.9205627911433 1.59388640461672 2.7223334093871 2.04291943121722 2.61828595771278 1.96045702525178 2.18638487445589 1.39171185035694 2.14764971238722 2.24334396568607 2.12977139942622 2.24859865559403 2.06423299678795 1.30821169558452 2.32296836651403 2.50258440503949 2.07431549030948 2.64753057886196 3.30779596737161 2.34550373107294 2.01656280654514 2.57087607295954 1.94258192770106 2.98663769939015 2.35731948942649 1.57257230956695 1.97037540474559 2.27432469751219 2.00786434703094 1.82889901771562 2.13364959224519 2.72802479623306 1.94794645822697 2.08670141307339 1.69011429400712 2.48529393116535 1.579706333767 2.42540004689202
"sp5" 1.88391915774053 1.76466163270886 1.82761577460829 2.41306118802335 2.53476648999164 1.96717028517512 1.93818190898506 1.80245542849498 1.87582375797747 2.10944753435537 2.02458699399854 2.06020915681546 2.19451197333459 1.78586249963568 1.89103550345321 1.4321813440532 2.06353487632984 2.87983270937188 2.2632761780111 2.51004135496715 1.95440343725651 2.33022901152086 1.86488096361606 2.38000148811268 1.2634746345936 2.10710877603454 1.67947878398307 2.01032361966415 1.8724613884881 2.12259943813314 1.7416317664768 2.226987967244 1.78394496714248 1.75362871674036 2.30626039614239 1.9625718114359 1.28399537557526 2.5243701846589 1.91866423063525 1.6245264512704 2.80822625977569 1.89355242217562 1.95680353309301 2.77631599026821 2.66633287045633 1.4230508418669 2.28168344655877 1.81303372267878 1.50048397025775 2.28396668619583 2.69927569170721 1.35941697649002 2.51897896268038 1.70320072626576 2.10242906356583 1.9125862479437 2.33124450420208 2.10340867600593 1.77058339913256 1.98411098024522 1.69195696171197 2.34563168191985 1.4333100669986 2.09489993373678 1.68266829536263 2.73346615710208 1.95734613985758 1.74129443087461 2.16160675131692 1.2586528724089 2.41604340499534 1.85296379137329 2.16173894751106 1.38649878783815 2.37684165953486 1.93445975762814 1.56332306119846 1.74008570864937 2.56035965611274 2.31520906876623 1.85925938918388 2.44452100309151 1.78368358691937 1.98050802745433 1.60529487878421 1.64270032219158 2.19783707454932 2.02399794391052 2.15649267868152 2.06327276929462 1.72484747393829 1.76423114960637 2.39501546753688 1.46648091844195 2.56009876445265 1.95978183259379 1.83037860177735 1.90178965646673 1.66195095462659 2.26474253506536
"sp6" 2.15453799058911 2.40218841663762 1.70657271102188 2.75989357184011 2.45613100317691 2.00726834128176 2.45703292596551 0.960187926923035 1.54357120106321 0.880193537218634 1.81217043779986 2.44693242555232 2.18184516265006 2.75665950384989 1.29021700479469 2.05767438027274 2.43714529152046 2.04545861151994 1.60240422210491 2.42325402400789 2.14095033927105 1.81248856645859 2.50743914374781 1.94493918113642 2.88869580288964 1.8502638905099 1.91958437533256 2.51242195438763 1.67036059298129 1.65497441455932 2.10930551693897 2.51700858047217 1.62504549472711 2.93278815313307 2.4186493877564 1.44273663712778 1.55669564384378 2.08564663489463 2.03952298476833 1.78719424666799 2.5563660270826 1.13202562258518 2.11402717533995 2.42623928929325 1.67679034978844 1.7739690547469 2.09887224588783 2.24742826740363 2.75683741327564 1.80384456318381 2.5526170523199 2.58858697452683 1.33222752199173 2.4736626851365 1.74362252680322 1.09829290830493 1.83503871700918 2.38708592130072 2.06875069391228 2.00510483157306 2.59344078596694 2.28435398391759 1.84796384393695 1.0154364192459 1.7285960117797 1.6327252898743 2.2970077020585 1.25063886925848 1.45783970044615 1.36144597800386 1.82507403598414 1.5414247552012 1.86122347103086 1.62582119200763 1.69396924872963 1.64304379412553 1.9308795806609 2.28255031712133 2.24366618072005 2.23054642301605 2.00960091906341 2.17012443647453 1.7478889623008 1.88357851256326 2.01494073609033 1.73046416365707 1.28610629319954 1.92719080718418 2.54558527149784 1.33279349286781 1.50938459018361 0.959350063522785 2.2187934549793 2.52074416526934 2.10011854134549 1.47147198833414 3.2191669196586 1.72561392052201 2.00062057057927 1.62211183952401
"sp7" 1.83628849075171 2.09770531323856 1.95135177646365 1.66792096681191 2.5139524740744 2.26043291203578 1.63844188559678 1.00584093338567 1.86985979839324 2.95642073986505 2.19090383761294 1.81941827056018 1.99704090509055 2.10676082832301 2.85750306656843 2.65846702418982 1.96542815475756 2.06100200251593 2.17102068946485 2.20249800694838 1.52806780402572 1.69598444747942 2.40237924619209 2.61405164969911 2.25783922114858 1.70785683559626 1.60694145344282 1.51667560456268 2.17645963368803 2.11685687963066 3.0499532995031 1.68327036328389 2.18976669788734 2.01424350921221 3.01871703613462 1.96468318678433 0.916011598949224 2.13190794293903 2.46467714693481 1.5438301792013 2.31862379033749 1.84547298419297 2.18448963062373 1.19353083992624 1.7160057878419 1.65178386876575 1.54480658042807 1.77161817438839 1.20354029903341 2.19529258178785 1.99011280336167 2.09609168380716 2.02989005894211 2.01672427042623 1.65598528597065 2.03369467219046 2.36417181661222 1.65888009032826 2.03491439549485 2.23357392549902 1.92078431334191 3.23122519954218 2.80714338722549 1.73733398862406 1.8790287481987 2.31726829310854 1.82143774337407 2.17653885955625 2.06325183682904 2.35614330840555 1.29121371289257 2.10077059583095 1.60744088024453 1.90944048690143 2.21888862072984 2.57913822831888 1.52033690951533 1.85426250974159 1.81851838883253 1.60165288175298 1.62414090642475 1.77243611357533 1.44246743985179 2.55118599655312 2.79054304655049 1.89543242921925 1.33824532583216 2.17757913333511 2.93499777013734 2.29054919888552 1.92099945619652 2.32305353797831 1.41643770193805 2.04690216116977 1.79794504259105 1.8886938618237 1.73165063594816 2.13605245399959 1.92248860270625 1.76803158743485
"sp8" 1.92383586891212 1.39537505223209 2.12914818631789 2.57351225478723 1.4184302460801 2.07979835111017 1.29203635431217 1.64897830969544 1.82907568429161 1.37704072461713 1.62141782514315 2.25953782238621 2.47932843122243 1.69834096596366 1.43754148593414 2.1375463970281 2.00853036147616 1.30455890295579 2.60284440956256 1.83986687404569 2.25006916991263 1.26253233174609 1.88750953101759 1.86396661655069 1.58741108291193 1.64692336592206 2.2861201060167 2.10496296683767 2.20215892734838 1.9144981070341 2.4071100162485 1.81747854446999 1.95935383673285 2.04944403563922 2.80882517592467 1.80883927289894 1.9232073273024 2.30115229348245 2.17087054868502 2.3169699545058 2.14532861536839 2.17922777700768 2.18643680844673 1.92332613775859 1.8718337266813 2.61343275743904 1.91868465413827 2.31130350021129 2.24205138396708 2.14840583898643 2.71442484470156 2.28020342101437 1.96950323598284 1.89885375556831 1.40152642888728 1.79953404819205 2.07065456803898 1.61371589040918 2.34793086439954 1.17149550472414 1.75362639112933 1.83237987640825 2.06224524544681 2.17530690738324 2.00633958269241 1.83858847092903 2.23149484329592 2.87626141927548 1.8910888651039 2.30427916590821 1.1679122028056 1.65121065824127 1.80247629533684 2.18818613509716 1.96746489227273 1.91091916525943 2.07551405864519 1.51927989031735 2.19533210128059 2.12548933722018 2.25096161398218 2.67225539004514 1.84575236142151 2.04989307234842 1.99524219641657 1.3039889284365 1.64608601394495 1.99526701254434 2.54373280212554 1.9478356849848 1.38477272627525 1.78804724098853 2.07877234913727 1.46720487629455 1.73616398230858 1.68623603493344 2.47853365727429 1.67712477881084 2.11995511191188 2.051156229172
"sp9" 3.26007970263784 2.15686788941631 2.13329369438936 2.27440454474168 2.1829832075929 1.79574142121616 2.4293629895385 2.43397455468661 1.99695856756446 1.64760541830093 1.91457327495804 1.55374837052799 1.97915340481778 1.6303156172476 2.0745915875028 1.5803519320357 2.82208253046575 2.1815748175296 1.26762818305723 1.724673594717 1.91522816801281 2.2816256610849 1.47582044343345 2.49357071342637 2.0786217879064 2.08473373670174 1.55388331709752 2.84211795900759 1.90783347093598 1.42848879898968 1.70939016400934 1.68800062779347 2.47028847117821 1.55062809131965 1.92598673866946 2.04773582727516 2.54579117864995 1.91222682206723 1.46066973032065 2.58835059287509 1.52637016214827 1.49432594568228 2.22650568498265 2.56274295161516 2.02987476825808 2.08308628970769 2.50973979330271 2.03104080967657 1.84027650584842 1.97320346094277 1.91596565387395 2.25636435540293 1.47880212859336 2.58450172098809 1.89987318346021 1.86457262411261 1.78458070697584 2.26168462471128 1.84094390675135 1.92421947726491 1.33925405096148 2.25674738437615 2.18752389402265 1.65724117248883 1.90845168671218 1.8960534847083 1.64403067153068 2.03946352588454 2.08974574377215 2.20907537984294 1.85416933859377 1.99967666997058 2.24040824985456 2.24486717663616 1.58103817246462 1.65817110337433 1.90197978845781 2.05677108095681 2.14943380995582 2.31873949351983 2.03127639986372 2.0910748979655 1.57043078539964 1.62837408144357 2.53817772631929 2.37985249896206 2.00053867322473 1.74217174574115 2.35097813284281 1.59727751410077 2.14896416093757 2.51373713529113 1.58271122443884 1.5298394970073 2.00228995999649 1.46562246988207 1.90444342631507 2.04554913697217 2.17559681372415 1.966107747592
"sp10" 1.71197223704699 1.81547779811828 1.90678984243309 1.51862226768014 2.0600076721973 1.82104042959045 2.27300437681817 1.61653407732864 3.43273305361705 2.02319548747329 1.86177420388819 1.53546007684402 2.21262470781627 1.99697090202581 2.20532697081026 2.36184062445988 1.91171868435435 1.9575364093401 0.985876302311181 2.27491307856348 2.40277901944287 0.567618847912401 1.57949348216218 2.2733109632763 2.04391951740677 2.17019512744293 2.06368760507774 1.72103050733735 1.93354854780465 1.85224421743797 1.62875165788241 1.64539517140177 1.53742830148635 2.30104544008197 1.74512351814263 1.84967465080901 2.10539999427938 2.43020425274287 1.81641943144079 1.93838946545019 1.82736805607866 1.88032165326396 1.73718102719571 1.92967481483877 2.85711572035587 2.56272334881731 2.9924936779351 1.63917522385237 1.31376039945345 2.01609045332992 2.62297912452999 2.40618246763985 1.66917774764842 2.3784240963698 2.09147212812443 1.81020101277029 2.06336849312736 1.63107208517789 2.23279513053735 1.70961160586496 1.29241643397122 2.742092810025 2.58280644482374 1.33972943467295 2.33647725029183 2.17490510806922 2.81157941812206 2.2920499837464 2.07608523799731 1.98696918768886 1.49931993929458 2.17355368210419 2.25908248777978 1.57625534197308 2.66820583170818 1.56054452418369 1.73740983698853 3.34949826687068 2.43449622510467 1.91009946672082 1.41200670008475 1.92402906052146 2.49305927971924 1.47037049927335 1.99263830200252 1.59306550717434 1.7337604224166 1.91766160634644 1.74337934465257 2.36427602708214 2.11262133211235 1.99270799362466 1.89840264580127 1.55504705742613 2.1214494606112 2.39735628573917 1.08294123289743 1.67287148106868 1.87440994389328 1.86720249056576
