"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"sp1" 2.31623009490569 2.17349641997402 2.10211913125104 1.7525905686521 1.77216159474343 1.81777724438764 2.12479567089608 1.62917820544522 1.99756057821794 1.84838591291011 2.08945907306729 1.90755676861624 2.00535167824883 2.00487207242892 1.92152647967983 2.29457330263833 2.31854248544111 2.52449819836118 1.89525952581376 1.94049725140225 1.88063254891343 1.1413927086032 1.70719793159611 2.03520732551318 2.12808607125318 2.81115852854454 1.88897759328348 1.44194969539128 1.53277321978639 2.00638044578579 2.03340461907404 2.06902733123764 2.80368479681256 1.57937496511795 1.68400057563157 1.60928666955073 2.54550226992119 2.69814407852374 1.9624864460305 1.25530240309594 1.78433262595639 1.65155768309988 1.38356196227377 2.88566220113731 1.56678885034824 2.28202921396286 2.17212379883373 1.629024866998 2.04006596371486 1.40720237586717 1.20240372312893 2.39251958647345 1.57449062358514 1.75812298261208 2.64651136694461 2.67316376959184 2.29583506278612 1.86850286842425 2.29410839838271 2.10861907346939 1.61442958444131 2.78939224827529 1.54055915858706 1.98539902653817 2.23024932154917 1.80390648202732 2.00309149397973 2.67126178323991 2.01709597640102 2.58434521666455 1.79909199055173 2.07841886764503 2.21845921157875 2.01912100051751 2.64365737559064 2.34837760716857 2.08390861646174 1.55141859660071 2.00697405393728 1.68649754230339 1.92445529146414 1.90815088841433 1.79515664451607 2.11045145763521 2.07181350775459 2.16553586832413 2.44411927883633 1.96204300605848 1.58989888052175 1.99321223100607 1.61418483458768 2.35566926690417 1.93486772478557 2.29932179132238 2.01100280464606 1.81513885683523 1.53070598103204 1.7773707708558 1.58700681775076 2.14493323764457
"sp2" 2.07139815805739 2.13679159417216 2.88490498089166 1.58488573410938 2.04091451153665 2.23866476863233 1.66403226849297 1.90661476946582 1.50972185435 2.1683176075485 2.2130373807523 1.4136433049183 1.87712327284912 1.56202361956477 1.83405337330512 2.0962922806756 2.37230272417435 1.73642706317651 1.97301688090015 2.56351006845056 2.12975224096054 1.88533158153614 1.38069637498554 2.34529112573213 2.11963052246088 1.73072997279999 1.53586132537479 1.81262466679196 1.92074782966904 1.79551495246893 2.44889973164305 1.96696290645908 1.94742185635087 2.1752405700462 1.57608760564213 1.68673571588795 2.20629047331675 1.9990585152785 1.86158764394042 1.39959997191788 1.52750288745114 2.55564217929374 2.17784024772287 2.66597621914847 1.86523923943456 1.25017401017367 2.21645770388209 2.4775703055145 1.80292388147168 2.28352063563811 2.31739816987364 2.14327175330648 1.27688013215581 2.49280587073614 2.39807469802477 1.96450866615082 2.02912594341344 1.63070471791375 1.76507470426518 2.2072192629169 1.53651746344352 2.01511134551487 2.28576590621236 1.99701030011716 1.94365756141425 1.99803018367238 1.89553166343361 1.89873174963753 2.44840121255758 1.82666134962286 2.02864138773612 2.59243280209954 2.04119614966471 1.82754965464788 2.2595989366723 2.07523567001837 2.2328570196404 2.22304092181926 2.21395325758191 2.34034457214222 1.89552187594918 2.05779256443191 1.59230143937223 1.78596476072895 2.66522172487507 1.96784320226399 1.72592902037975 1.74122960519814 1.89849538352318 2.17796729338761 2.09282415769133 2.17725103254574 2.14259788835081 1.96131239969587 1.583994951029 1.19433808591205 1.79223784872477 2.19093034263989 2.42742881251845 1.84669565995303
"sp3" 1.04391301284455 1.69190629974263 2.33124205514145 2.33921074048606 1.80545323750279 2.15271753434469 1.88320652876422 1.43293404717564 2.03189286590742 2.41115212075641 2.34793138648434 2.15291429723626 1.9098410441771 2.24381729131988 2.39953887711778 2.2261764749304 2.85013313617577 2.87321295009972 1.70777655054239 2.8261764191857 1.81101812229025 2.24910631342576 0.787335484756204 2.54662358810309 1.89747988632312 2.13737099691928 2.18915465138326 1.72388137228481 1.71383590924363 2.21205519533476 1.45849718609217 2.33097612153909 1.97318485845646 2.0521593573801 2.1115503276503 2.50423865767021 1.59324536359553 2.31547619861071 1.83288754487159 1.92592635336481 2.65598481129783 1.44661019949089 2.91061877973154 2.1099173889426 1.53206788885263 2.42336094322668 1.72544172884913 2.93334063162994 2.31727948132515 2.02774744456147 1.65994753619992 1.32781739336896 2.71662982001523 1.3823475450236 2.28577626794951 2.2987105835108 2.4627614008726 2.17289844618536 2.34795513446842 2.05366716769496 1.65582536735171 2.05556187540283 2.2500677036382 2.2325374977569 2.32403324354695 1.49098066792755 2.57460158625874 2.03951273423875 2.37849220393123 1.67355680115781 2.63427805229585 2.13903731456194 1.44803387300226 1.80980762078575 2.04542984110532 2.71853202046438 1.80946262761727 2.23789308547973 1.7130760583037 2.62689173603208 2.11623345379862 2.02148057337131 1.97359526471232 2.87791898057241 1.53313878089679 1.58352266561832 1.8909405193917 2.38188802593041 2.45127324254243 1.48090329823181 1.47303292556657 2.34550892721725 1.72768918649512 2.0391388880156 1.16555877968517 1.82405945536582 1.18778701606306 1.82870760652928 1.94630156024851 1.89562652768604
"sp4" 2.6383302836362 1.85878679222563 2.57297471050014 2.60833776650515 1.52352393541554 1.65366794456519 2.38246363046283 1.80553722434527 2.31711855491238 1.82819189904883 1.92391414411497 1.545560239015 2.14113079810849 1.89760826490755 1.95786811576337 1.36286659808401 1.36580099504582 1.88121491389772 1.962243449822 2.1418599591837 2.0281611864192 1.86939743208073 1.79223384799393 1.66545637446682 2.58820315152371 1.86783298088986 1.99998803090141 1.45642752779453 1.87311023655976 2.27750275427797 2.24334634876402 1.86381138967859 1.8742927363676 1.65795678493987 2.07354239056731 1.78668942341922 1.85834045727248 2.33266233143504 1.53460945874413 1.84971244887198 2.01318576283774 2.20706308498957 2.14447794226242 1.90824919113399 2.26603419755033 1.62376040535581 2.26082735436944 2.17843532708939 2.42971522933077 1.72396164979341 1.9810629620931 1.96546581238985 2.39572170865131 1.72044035793706 2.3946355246327 2.29656096534237 2.94978170855204 2.1451622105545 1.99043989752373 2.31915266831805 2.11339198940735 1.75658369892859 2.54220174616697 2.34469710552814 2.00706572795334 2.0862170833854 2.02466137375762 1.7714397864542 2.27884859472456 1.6579087678209 2.29872323355498 2.29540023797444 1.48729278703056 2.78659278489868 2.46425648431481 2.07172313889948 2.08753060469461 2.01755783117791 0.985246767016281 2.19836643386043 2.05333190487071 1.67167722073274 2.59161693874289 1.14446970345285 1.36889854870178 1.83938226744872 1.09559003999564 2.58009392169382 1.92457853717547 1.59385286335537 2.32898070251554 1.85317462250519 2.50474950997939 2.12401431202157 2.06714431627571 1.89092327425017 1.99407397055403 1.96542119754081 2.09711367405775 1.98688538199127
"sp5" 1.89752939386882 2.30918655227203 1.61183106553631 2.43106421279509 1.90305150163002 1.88307103678124 1.96581977045649 2.20847623076935 2.29671996594018 1.89219827310487 1.8499657152434 1.99925752440699 2.30645236204162 2.25291391387227 1.78854260254064 2.33545868050228 2.51214529157296 1.63317584310528 2.28156175142814 2.54161219339177 1.87558167611159 2.15693734631846 3.10407564461694 1.40855610747854 1.6449764542019 1.67905953585252 2.4145331649276 2.4379862816354 1.50013611493478 1.92911049430655 2.38742209036108 2.08949229772142 1.49446089219167 2.04358197173096 1.60417121856344 2.47749133723974 2.34799067200482 2.03170056525744 2.07003822048209 1.72462030142223 1.71797451305489 2.46973265557372 1.93841354699003 1.54520028092527 1.56279266116542 1.64206478440436 1.96196737676296 2.20301734514582 2.08774808801886 1.86077686882282 2.29803927575842 2.01445867309587 2.25421076939091 2.3840156271032 2.00790030363477 2.44665559738113 1.62288399149668 1.11889255870923 2.40064021637788 2.06565679157227 1.40315540903428 2.07778296126312 2.00918944932581 2.35864828683128 2.02780743811454 2.40591852678583 1.62752037607463 2.76283239598285 2.23735379658679 2.00966983580453 1.70543878928929 1.67735888056204 2.98106598566446 2.06522095766212 2.44158053369842 1.76587461136133 1.5325826935712 2.1804281930971 1.59540160055389 1.93504138872424 2.03846850480451 1.62103104581693 2.22550958523518 1.70894357442037 1.41264030199082 1.99165788477604 1.62631559042958 1.88684442330462 2.04929416944512 2.14791172799467 1.5797062500938 1.73074383671156 2.39177954329493 2.30183005775328 2.61216403166217 1.96307611053004 1.88574834948926 1.5201906859482 1.99717751360569 2.14819742884449
"sp6" 1.43601322830727 1.74686390704266 1.11357248596131 2.47143024126959 1.76665953859613 2.73449947805844 2.05849518550537 2.19763334492878 1.65400168409199 2.67063696837755 2.25569476430339 1.67646731515343 2.23984868438246 1.86287566529204 2.26353240198249 2.19187668595782 2.15317780227654 1.87266255011376 2.81502523979612 2.12208794899229 0.998155283646123 1.22064358875107 1.92794120516085 2.25325210841483 2.66194202282299 1.7802569620166 2.03743800162749 2.63678123775799 2.3425148164038 2.207590704648 1.84162920387887 2.00578789120918 1.84370389694956 2.13055686856431 2.3019994418831 1.60884348594584 2.21239152643921 1.77327198678171 2.22743250818843 2.32957713598075 2.27621570995707 1.7974843242702 1.76984482592062 2.08698306702657 2.06690878994512 1.5877168146968 1.89260940511677 1.57518562227479 1.64694274643766 1.94377417328464 2.1675428290017 1.71107398129256 2.61532004968704 1.38166826430024 1.54747517888084 2.09486301442015 2.08037678881123 1.40398599947842 2.39123826858328 1.92059590677346 1.51209579611643 2.09309304518555 2.51248637404019 2.15270449697412 2.6883008451713 1.91689549526249 1.814308099096 1.70649157158366 2.08329919270559 1.82827890096816 2.20193208478271 1.79777913728778 2.30566907555961 2.09733965766933 1.68493084254238 1.78721723045961 2.16811256389411 2.08407253178299 2.47073803581136 1.95486810268669 2.23230621376112 2.06231668910551 2.10566225194167 2.31525474454431 1.42927224709175 1.55225738665186 2.52209127201904 2.02126611119934 1.67125505418511 1.94182247020389 2.25872621515874 1.74645869561506 2.75460151689436 2.31628886024459 2.69862306944055 1.80244479368828 2.248669454104 1.64078132175454 2.08249428352729 2.61653349379565
"sp7" 2.11673351456016 2.27374197650189 1.90577013744658 1.9551578867454 2.19991675642263 2.49090058479229 2.2025855978939 1.76373600769882 2.62605485493432 2.42889627195191 1.7297218150736 2.40095499558845 2.08823562430872 1.66059907307272 1.95139967429026 2.29335821030706 2.2246384128259 1.87978527214509 2.0427150505852 1.81360258578089 1.46920098445296 2.25470808020953 1.74374603176818 1.47529756852495 2.25151804803803 2.18286266289206 1.68403148967039 1.34583835979862 2.13703727171089 1.58467334589392 2.31247395807193 2.37796082292992 2.53654824950171 1.89069485342361 1.75441172650514 2.44295030043325 2.83670530109218 1.58316131481777 2.85216025242674 2.39724193061287 2.20351324076219 2.07577985035526 2.04985161107534 2.16146991384592 1.78528283268834 1.38212473111926 1.9341259871623 2.67049158194638 1.8894707767541 1.9526970312902 2.08290846864017 1.70730206207604 2.16393166609793 2.15415712639737 1.74328345351706 2.2155325997294 2.22754418464511 1.73484334666623 2.55845669452087 1.86581192445424 2.16490395687846 1.69946618675847 1.89227455124957 1.95176502674469 1.87353097073944 1.80832415019819 1.74586839636884 3.30500056174566 1.6634136594026 1.63119066038592 2.0033711526039 2.12880561829483 1.93109032541191 2.52350393652816 2.18540341742634 2.01847247272101 1.91477422915921 1.47348691052398 1.64141192054583 0.849350950010979 2.27869734823164 2.48827343241939 1.87270706921829 2.5170821420838 1.84256009401269 2.77601313611844 1.71167512105585 1.77854756992553 2.28679739320865 1.39948320382623 1.90042089992058 1.87352337918981 2.31629388303723 2.52755069754568 1.38881395839365 2.09421285302205 1.71739550436811 1.62941602991757 1.93283270253262 1.49923485306705
"sp8" 1.5130863685428 2.98765015181085 2.31054603033368 1.57529678414216 2.33547949900912 1.80508347353658 2.35918918055769 2.19411234489519 2.34408849768494 2.56089014792793 1.77637444219055 2.78759001792506 2.15037534200734 1.61358292820716 1.77492465786487 1.78039727356852 2.34694488479264 2.01320261095532 2.10885716616305 2.23635624508944 2.45718228268031 2.38126839562411 1.86813530167668 1.52830392672292 1.96939553983602 2.02666493602199 2.64539857489517 1.55720483127322 2.37855345605281 1.99862433124888 1.29796674445304 2.16543662947468 2.84507843657636 1.48937849538045 2.55893549604273 2.3999099807306 1.40613185443561 2.05926259582126 2.26040340991667 2.32002595445264 1.53567796795137 2.04159999753979 2.26694107610227 1.76124358216308 1.40010943303968 1.94827063288231 1.94954448244237 2.24721527728601 1.89209155152607 1.77149723730606 2.54878077934496 2.17870369102373 2.1482222990434 1.30975162846841 1.70796066236195 2.58580030371114 2.2514471784774 2.42121786506167 1.99050270139901 2.20112862862595 2.36424260983067 2.14230055898601 1.99538728612154 2.32398258206685 2.42858880091884 1.9481546669976 2.07966577629024 1.29770590043231 2.25949154902133 1.96105709287865 2.21929301270232 1.99498292904098 2.3031456613514 2.46543098095849 2.10310310527313 1.74973407287051 1.51565309880494 2.34923555310202 2.92263565033517 1.69822142630922 1.99251629109747 1.97656744413538 2.4221608562058 1.99356294333526 1.75985274662769 1.86234485572241 1.7743362394714 1.5821867955124 1.69688054716848 1.79777980515085 2.79908455157608 2.11312829074918 2.4907609546355 1.74037627572034 1.86097932231587 2.13564771120028 1.7850126082782 2.27999820083501 1.6714075522534 2.21076807924943
"sp9" 1.79165886470305 1.80320722022103 2.49211490795456 2.82559230146371 2.46676449318879 1.42954320424341 1.56710195887172 1.93696470427596 1.91884251325158 2.01459929378907 1.81984506958236 1.7059374706927 2.01263718268097 1.82445833815684 2.23958316866444 2.12697003895873 1.75964876906332 1.58078561821411 1.67707677921556 1.3429420973146 1.02749211652574 1.4445459446404 1.7853860626848 1.79916505815818 2.25680825764895 1.84323303558428 1.9245886107528 2.16877340194136 1.69912492080533 2.1687176460069 1.89802361279034 1.77401133011783 2.2535088868283 2.39243372604688 2.56908032247635 2.05781626930888 2.01935535226614 2.62941571256104 1.62539915904455 2.16014693901095 1.6435536828746 1.97836340848117 1.53472819910287 2.43922775672921 1.80372519739679 2.3059862919033 1.75604876980409 1.82501573797076 1.99370827900843 1.58383733609163 2.45218814245758 2.0190644923785 1.83579485555943 2.38664785249644 1.88221496511541 1.46344938785069 2.47857306376448 2.37427185930009 2.03563811418241 1.92299019579992 1.97415416890591 1.81655405001603 2.09935557540405 2.30239734607784 1.89474853098088 2.3350332010219 2.19152186605717 1.43576583506109 1.64867279314754 2.21063301274406 1.50662880388426 2.07671190991246 2.1713044330304 1.73002219189572 1.86898493301842 2.0031398084928 2.28371880217423 1.82515499277843 1.55260382620185 1.91288060964422 1.4801821206645 1.67755403472071 2.29236215509173 2.40632830578704 2.48980572733026 1.96257358573584 1.83673923112396 2.40379233091661 2.19926347600043 2.09497556983754 1.8320807247268 2.33242794930187 1.73157503544337 2.18119893494391 1.70741815135122 2.31359011975318 1.91722630858876 1.93170577892796 1.71809225067665 1.5683621496594
"sp10" 2.56000731689498 1.74915925382889 1.76291501039315 2.3774360650232 2.11933890364375 2.11244203072098 1.66960084304011 2.33650582610974 1.30881156711352 2.73515988777599 0.718750179451198 2.05674050638383 2.27118635595544 1.97020045326711 2.2296980499474 1.38605951579828 1.65370117610293 2.35419494988463 2.34256231525629 2.01587313718128 1.55231198477716 2.03271828583507 2.12945586402665 1.1836563863227 1.53528765593406 2.11970268817177 2.75812450655376 1.69691562262048 3.02389050090399 2.21486019322363 2.06858781688291 2.00515349000659 1.46404302607682 2.20614470701071 1.78893084576109 2.66818603789587 2.20716642508961 2.14980374917178 1.50119056557316 1.74462529547689 2.0892459363645 2.34202731742684 1.58406046258223 1.46144999093644 1.55127049565161 2.1167174293131 1.92344611785701 2.60700413833971 2.04695509876014 2.20977398761714 1.87581659035347 2.31600722177027 1.70830560752331 1.81045759495634 2.61751626605282 2.46524516975406 2.23177972097129 2.12232842034746 2.43819495477129 1.63212426129719 2.32508380694283 2.28564759158314 2.35717669909216 1.15895885665176 2.32142612428266 2.17208526810149 1.49754808420647 2.46503312101334 2.59595083373284 1.63455811102348 1.57759864992272 1.60692846186368 2.16382801985174 1.30500771309128 1.45631081129359 1.81669139598227 2.52564677640105 2.57707665342353 1.5202637468653 1.87828083087391 1.99456081640112 1.52638583876559 2.33247677476226 1.44407864164525 1.35292023050014 2.46265144797678 2.46785329243252 1.57947247324302 2.4842643890062 1.63161528846175 2.29593436754859 2.12083543396411 2.23460881026286 1.84927804683442 1.8678382058112 1.82750580665198 1.63149258138197 1.93872366833863 2.17323470795152 2.00293223745046
