"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"sp1" -0.114369858085693 0.179247486254273 -0.0626440958711194 -0.0206168964817253 -0.018662029926662 0.0917674680052865 0.111214545969776 -0.0933125585658743 0.0396274692328573 0.0552020816065104 -0.119432674939466 -0.16948048711217 -0.0122883339178812 0.0594795045521357 0.00159507473213274 0.00771894793330748 -0.0812319643529541 -0.0764768712657175 -0.122879884318367 -0.038231436933687 0.00349426056172613 0.147359087111965 -0.258721999123684 0.0455050212566919 0.191858353201856 -0.0272343421509686 0.122031430277464 -0.00568378492758426 0.0658769490577889 -0.0306463673111766 -0.0274464384356906 -0.0372595738877156 -0.0258178548963778 0.0448776040562839 0.150129695511077 -0.0200613386908901 -0.149480490517925 0.290503248090462 0.143828791754067 -0.0445719515203797 -0.162271690412596 0.0377892068338705 -0.106973565562203 -0.0853131553544723 0.0206096849841198 -0.161073945356565 -0.108196190818674 -0.0439566714361505 -0.020543660159588 -0.32919308941588 0.0289425784223566 -0.132473309141246 -0.139145349186998 -0.118960016145731 -0.128881934989335 -0.0570411901230701 -0.109306013650601 -0.155807834175883 -0.0666816165094221 -0.108008231450266 0.0407651386075948 -0.0116178008383066 0.140654839125364 -0.0350795228329823 0.061905665251298 -0.0396784488544915 0.0679976936843538 -0.0525332157662595 0.20822268629123 -0.0614403083328143 0.219557340185834 0.156931357235762 -0.0352684674389621 0.151485591773435 -0.0566731009395262 -0.078576051191635 -0.0335354725812566 -0.118073057247439 0.0605939184973007 -0.0978333375010891 0.112681717949347 0.0833753760506698 -0.0758529183881598 0.0214051118434992 -0.119150572243485 -0.0342621173459497 -0.285586428892212 0.105469836921793 0.259220760369587 -0.042876086320332 0.0179278015761418 -0.156311349779142 -0.170954638751669 -0.156270953354437 -0.261317812611659 0.153747610444327 0.00233921882779014 -0.0278800422697845 -0.0862638287322959 0.12577465944403
"sp2" 0.0542500847025767 0.00211895313112941 -0.130214696119825 -0.0374144071703822 0.15954541509287 -0.138285856705669 -0.0731594849767143 0.116416425286766 -0.0683856771756702 0.197710618049598 0.116675932988078 -0.189399808471513 -0.0176547398757771 0.207555709063351 0.042272936480407 0.0187832725348502 0.00541012143827587 -0.146506797777112 -0.0440228949828354 -0.000934778507487789 0.00601987493204904 -0.0585023690199921 -0.0167253026886409 -0.0534859336529503 0.190176910988744 0.0631623919646997 0.154703988772661 0.103927777113064 0.0372827113225643 -0.0115062488594606 -0.110433409979714 0.0591180439613327 0.0864976086112962 0.039685214974642 0.0113548442400358 -0.0765709714693568 -0.126601944795001 0.0236918865286641 0.0871113178664007 0.0699515532778549 0.03613054024365 0.12196396864377 0.0734387595322894 -0.0722105532002056 -0.202787078875861 0.0849047423652056 0.0287854359408981 -0.259968051615688 0.00726222918153095 0.0218472856408685 -0.321586574202205 -0.177646838568288 0.129170556069335 0.0505743146556825 -0.175544329252269 0.0475510840070494 0.0696081860362025 -0.150677064922106 -0.0475007781513236 0.151250824180129 -0.0849497140149414 -0.190926913437348 -0.0896226548332987 0.147909117139302 -0.0413366194524718 -0.0177107505607947 0.026008634190211 -0.0451688502149073 0.0296550048580287 -0.176343082047337 0.0773347020385568 -0.0718262554281218 0.0373530353012667 -0.063223800061621 0.00142209444141788 -0.0827670234214594 -0.310775619265275 -0.00123709717296299 0.0344884820446116 0.00656860002788174 0.0499144188216313 0.00922245077067223 -0.111765898347694 -0.0210480208783194 -0.17604446994518 -0.0733177842245528 -0.104287603631429 0.00551128336760461 0.210812249391968 -0.0321932257730769 0.0320803520195288 0.0585912839650346 0.160635456582298 0.0861049038901806 -0.0926190286509021 -0.0268659092992031 -0.030252129079749 0.075695563707083 -0.0942133803241182 0.0849190685028505
"sp3" 0.00398364672552069 -0.109572931041516 0.0333513868892027 0.0539603320045331 -0.031307699880407 0.0216183284117241 -0.0966078491064345 -0.0565744982901776 -0.0833560732880919 -0.0179849263024749 0.176485903457165 0.0247059757643369 0.175513126721737 0.0473706393605614 0.0401022287989222 -0.0680713033126245 0.0571655968071998 0.0746857585874705 -0.0173133134748629 -0.112303566257928 -0.0916950040745129 0.0126225177846092 -0.0327742353380751 0.00540879862386159 -0.0467513904676457 -0.00209723036318805 -0.00740324399649272 0.165629812714201 -0.167116435254696 0.00845002076665091 0.0787639237132648 0.0672607460886394 0.0541936005916806 0.0981498022321862 -0.038373869729869 -0.0424445324334763 -0.0334295861708172 -0.0520633742787629 0.0245896570626072 0.0173485209674012 0.19130905144413 -0.0198660953666425 0.103252118535247 -0.108155343012849 0.0419288641591455 0.208540361379107 0.0859093624498442 -0.0440903770533569 -0.0210143938484657 -0.457554781845566 -0.162196291868621 -0.174931854656878 0.133185366633412 -0.018729025377026 -0.0499106729328831 0.0740457998562623 0.00249576801957005 -0.118647216825787 -0.0319691039356876 0.0544927780646937 -0.112759468080892 -0.0798906945079104 -0.248630392333838 0.167452236654501 0.249049297921205 -0.0405605614162024 0.154160731151198 -0.0840895044937186 -0.010762834275186 -0.220497856625262 0.135258485589306 -0.0160508496893681 -0.0183215007108528 0.113434686683628 0.0927728496373247 0.0808118021074707 -0.0573922896119895 -0.035115717312637 -0.123462560029778 -0.0415802335971114 0.0366073488335321 0.191502067707603 0.0979882242931114 0.102268341050906 0.0367759721249091 0.0695319831566624 -0.210247253410179 -0.000639714475099441 -0.0593356628838729 -0.0123264496713154 -0.144171940098603 -0.128298366565296 -0.00521563125792764 -0.0800776999868589 0.0909454281892701 0.135418052413964 0.117298125785889 0.0348536541134512 0.0295010165843517 0.178221250059376
"sp4" -0.0780694281036823 0.00748783224603285 -0.185957522312604 0.151245453048284 -0.0679893114257861 -0.0322549915668121 0.162184403004618 -0.102047546951198 -0.0179511483273338 0.124645976402903 -0.165333776339753 -0.0440524863586729 0.104021578865091 -0.0313693898387802 -0.204238123126874 0.0274784104315189 -0.0410749135210488 -0.177904771464737 -0.0579457502769248 0.0563787335314146 0.0480909210993178 -0.148802343386664 0.00079724591948971 -0.148855639669595 -0.0837271567549449 0.0626407250747832 0.101551896247342 -0.0774484121780706 -0.0908529147602044 0.0594288626976478 0.150004731034816 0.105362350488346 0.00901146860892047 0.148025889847587 0.000309341885816604 -0.131304528558347 0.176535323081576 0.0252804438722838 -0.031595209926067 -0.0920842440182365 -0.0501132425165596 0.0739177172866161 0.0624152511815552 -0.0447235786975017 -0.0537817267155253 -0.127781347896469 0.0563114329828008 -0.102788573065386 -0.0565859048823428 -0.405632763298099 -0.0146189914006546 0.133290738689588 -0.0705870779117016 0.137380161075873 -0.191731543997797 -0.188842290140612 -0.0804054349462033 -0.176299829087427 -0.0487514544072829 0.162839863314087 -0.091325232433286 -0.0114676784552916 -0.133025980606944 0.0698346711155731 0.0638206621167123 0.02793882849309 0.0478069318191374 0.147532750540859 0.0558078151366386 -0.0988698092368774 0.0947616140975783 0.128892507705913 0.185619999622985 -0.0729242059798717 0.134547497964236 0.076855909160752 -0.00420780456313323 -0.012443180811695 -0.00975826815967114 -0.0193145253488666 -0.133804164672024 0.082792807353693 -0.146226524942117 0.0123073242243254 0.0252931134150244 0.00767305539957147 -0.14057862436063 0.0854664696304145 -0.165158061289388 0.00109036828404209 0.145274958694421 -0.0662034109788057 -0.0194502532258892 -0.0101057136070704 0.0123735985700978 -0.0251287725283143 -0.0789142795455342 -0.113957039164528 0.0314554305724581 0.0359569304449021
"sp5" 0.0799990492967865 -0.202423880019638 0.00571900943401738 -0.0242590245351775 0.0139001804609415 -0.0536717191460971 0.0553624466202137 -0.0562270361813038 0.157088097024625 -0.021013255402471 0.238508673906192 0.0750929348460678 -0.0703321011406505 -0.100132725869687 -0.316651098561003 -0.0382357691325914 -0.132331045914257 0.0549062848345755 -0.0502903655866345 -0.214851235119471 -0.0318009089317933 0.126112921812159 0.0105873805525279 -0.0992587794311534 0.122989062060143 0.0922152235742563 0.156541824969582 -0.0732999345668517 -0.0834266706281755 -0.0273009703458549 -0.0671830787417558 0.060962216676327 0.0527388790715398 -0.136583665774699 0.0173644178788914 0.0141410898926806 -0.0284111431753125 -0.0130300914397389 0.0893039582370251 0.0202619366661131 0.0706477704496791 0.1622406235547 0.145201465655539 -0.0395220997566816 -0.155264340969536 -0.165480281095658 0.0739639629359332 -0.115312803070913 0.0019498796493892 -0.400445352740663 -0.0609998806388535 0.0586378123581544 -0.0206134753129757 0.00162764786210234 -0.00761909483599485 0.0235370881479808 0.0281897476301861 -0.110247686629644 -0.104637393968827 -0.084940405581298 -0.00413752841294153 -0.0826048585030829 -0.0607031850636425 0.0989868211121182 0.182026213373006 0.162604311347242 -0.100353697041542 -0.13775572025732 0.00476664608603029 -0.0332828886574488 -0.063156884790714 -0.160464838527795 0.0666778780607347 -0.102196026348625 -0.0064400570216992 0.118526232181649 0.0604429504263264 -0.0107265340373564 -0.136641112359831 -0.0408351628407185 -0.0404214683973676 0.0886612388291984 0.0260219895293759 -0.0310372104495668 0.196079470147621 -0.0559248997980348 -0.347617682844086 0.0694037381218688 0.424092890687284 0.0537310033652921 0.0453413943769072 -0.166217609942451 0.0399387246604976 -0.0395364549778843 -0.247198177887098 -0.0153653802200263 0.007949802136069 -0.00149676291266174 -0.144330378396164 0.0674649892666639
"sp6" -0.0290680215985774 0.0131905503378225 -0.233627130455518 -0.154031121035758 0.0404973006967789 0.180784946423677 0.0407660569404266 0.0546624702789826 0.052122794360057 -0.0873844247385955 -0.0411980771905528 -0.112271241610171 -0.0693754460749735 0.076589671748912 0.218757408847355 0.00839779206873024 -0.112451731524048 0.187901946301522 -0.0440112873227938 0.0402595980636073 -0.115218460646775 0.00073068868273191 -0.0513406756026879 0.132842926232413 -0.0283082225128865 -0.0327570621416997 -0.0967371788822167 -0.221762210738803 0.145093279616605 -0.0847959953641626 -0.0362246826426663 0.138923825082318 -0.110988224012297 -0.247179409704829 0.0694960517558518 -0.00800646986774998 0.0216905665850767 0.0365818114649398 0.0682140072755394 0.048685382170038 -0.134021394854894 0.0812580005829166 0.0588228740257379 -0.0806758839790643 -0.124602128756042 0.124201500539589 -0.0422899516121518 0.154978993822459 -0.0367660033330986 -0.459830078668813 -0.241031480688779 -0.151645063606651 0.129506560488554 0.162576512579303 0.202222359839253 -0.241095310701934 -0.0534184370451092 -0.121122824385525 -0.0761980853471206 0.170442641204677 -0.00201532697443939 0.0764350097068993 -0.0623687316745717 -0.117617904747858 -0.104238523682846 -0.0785506063414232 -0.0157115581054295 0.0970588684291027 0.0790820382052055 -0.00337988409658321 0.10948778005755 -0.237846811883034 0.0491817325015898 0.0174324973408739 -0.110706263756007 0.0186519604202798 -0.126733099178682 -0.097559389396962 0.0995724035276931 0.143110276578435 -0.13575174315969 -0.133799849437662 -0.0417634209617871 0.084993577431447 0.0233773086954064 0.0498793054934188 -0.0775608932356616 0.0119340245734137 0.363486296794031 -0.0485424028131652 -0.181559903565463 -0.0716843965936669 -0.0710156147128889 -0.103644791450649 0.0699375144790982 0.117308414115447 -0.011024658482457 -0.027344887025472 -0.0487311839176598 0.167168615287688
"sp7" -0.070425928331749 -0.0571566821002232 -0.00889506471822107 -0.158506010997524 -0.0246575275870618 -0.180988078131139 0.0210043743549865 -0.127567849328512 0.0933013849327097 0.105972594177681 -0.0120818982608239 0.043482895471209 -0.238467658636833 0.128223236523622 -0.122164792897839 0.191936350511025 -0.0402652867149691 -0.00347245768310522 0.185102000988972 0.00163701736888802 -0.0273791249310795 0.0758287713315834 0.134018917698242 0.00201143793417066 0.146013695555096 -0.158607765162262 0.0559512749803701 -0.175443983928979 0.112741555700542 -0.107144171085251 -0.00112892654937307 0.0908900314923662 -0.0646813233650671 0.138717788835086 -0.0381900360029542 -0.0754544721176126 -0.0164148764232615 0.118390592744206 -0.0551289948201092 -0.0960832777061431 -0.0540165553452613 -0.12480631845222 0.0408353297613221 -0.0451550755411441 0.171510555872742 0.116995987364843 -0.189152587177924 -0.0266898756275865 -0.009802476864228 0.0888442586586689 0.0765498715565531 -0.124182008639935 0.151671212039083 -0.0172754617743773 0.335053953876174 0.0976927462827036 0.0122997688455273 -0.106806701164197 -0.107913999667349 0.246327294106787 -0.0366021511871625 -0.0950711560897241 -0.026703209649018 -0.00367111724912859 0.14852032770388 0.120088562478838 0.0851714921578236 0.0673211707414527 0.00912895332337893 0.071379961068577 0.0529627894016438 0.139525795222116 0.0999373213038308 0.0762944620730425 0.0492905942791952 0.102863322575509 -0.0234412199807516 0.0251795089571824 -0.00256486325035651 0.103940826077019 0.0013722307040186 -0.149780668316432 -0.00817621762580941 0.0820593182977329 0.0232612668124304 0.000755023585896124 -0.13360993200515 -0.00739778941330753 0.357926013232796 -0.0766012927675614 0.0644168193789763 -0.202270009892486 0.110646750750706 0.0266008093526151 -0.0802753122493704 0.101651808567626 0.082625833854442 -0.0822200142374746 -0.216208830426471 0.0539089323642347
"sp8" 0.104476886774073 -0.00184942501497273 -0.00155131990068132 -0.212933963594874 -0.0317510567188728 -0.173866246148664 -0.108455464293173 0.0635522013773458 -0.032059415379544 0.0240618509074755 -0.00829077345058283 0.18494707928219 0.0824551513841059 -0.0778200230499369 -0.0456728604134626 0.299706928972582 -0.263787803621506 -0.046379833468909 -0.072422018446077 0.10547168634191 0.0492700987088825 -0.0557780144445357 0.160310085329989 -0.0779519683051019 -0.0307741570167797 0.138263959141598 0.0969407740107786 -0.144356764265946 0.147746695030625 0.144630255819463 0.065004254282381 -0.105062123935462 0.0875615689386753 -0.0237344323023436 0.0508763651460481 0.0306824652660687 -0.00454025142871347 -0.0692065734708821 0.0707162856972497 -0.0492267408728066 -0.158582309263237 -0.0481023482881602 -0.0425470514394839 -0.0271578684227588 -0.200871715153697 0.18798476998587 0.0402502152999764 -0.130011790637107 -0.133556557019995 0.206258612647698 0.0206206954536814 -0.0600121264261855 0.0970441711424288 0.237033172150896 -0.00395054813059902 -0.107268791145314 -0.174253630532741 -0.120987578313216 0.0792773444994775 -0.00491479368683292 -0.0446440907388209 -0.114412888274502 0.0140180893553623 -0.114242159722556 0.120860187448189 0.0920036581368481 0.210901619144436 0.0387484338380418 0.120075498550244 -0.15289312251968 -0.0366186271078306 -0.0662893469707491 -0.0148598181800857 0.0335992554650335 -0.0210238866419275 0.0259852850862063 0.0130398378510526 0.10042726007125 0.0555532932271891 0.0940865678603686 -0.0667712962612157 -0.14841439186962 -0.188462866096685 0.166523618674259 -0.0542641732679787 0.0874076229575452 -0.173205459986717 0.0606512105778223 0.449716281244638 0.157092253328993 0.0320685308779324 -0.228403854814379 0.0397978748472095 -0.0853395777744277 -0.0368969278452218 0.0740870099830822 0.00803401739678712 0.161396700462736 -0.0746904019326428 -0.00233013430380543
"sp9" -0.0869276988348345 0.0514436411795236 -0.190292487774905 -0.0433504688327669 0.218310357144242 0.0618493656645729 0.152351838157175 0.108888796932044 -0.118144297084677 -0.0993139766712299 -0.0658415584699497 0.120020031695637 0.0585114178568147 0.0840753773268559 0.0112688410357505 -0.185037251280961 0.0837592201365779 -0.147800683591781 0.0883206571457505 0.0927949503879756 -0.113832388060958 -0.0344456841831824 0.119301751376945 -0.104675422727802 0.149706947892175 -0.140898052009261 0.0116100958899052 -0.0247377424262053 0.249966417004807 0.0293413267560868 -0.0354536980629758 -0.0325270940286391 0.111868328470151 -0.182974329959623 0.0536103682233172 -0.178557917944111 -0.0783690475209294 0.0755796849909695 0.104255677591688 0.0381741019140598 -0.0709345943445185 -0.0777139168906002 -0.0477684660479918 0.072798158602584 -0.167075166083964 0.213113946617472 -0.0631860976787979 0.107656253330435 0.0445857272517775 0.176283151508111 -0.0369695195703439 -0.13064477905559 -0.00416249388042401 -0.0138432199123541 0.0920665136582443 -0.252203001810962 -0.0331025684773694 -0.117430062392998 -0.00548813264825597 0.128123137698875 -0.0931433882316038 0.0788447994556065 -0.0269912880907538 -0.0368911250969556 0.10489715130715 -0.0539742366254119 -0.0642893060230243 -0.0691007740534221 0.157449905532864 0.0776065935916841 0.0848326214664925 -0.109718413003889 0.0172261436793525 0.0415737772516293 -0.0819333810115003 -0.0238557599416441 0.104423975716959 -0.00209691835183936 0.150743377869234 0.159595315235874 -0.0996047082358387 0.0989450837090097 -0.0812470588721492 0.0508208345375077 -0.0560713805252035 0.00198465372656887 -0.0243812587714175 0.0347699208443925 0.322266460294116 0.0320830430916888 0.112908581350637 0.000100296963490224 0.0369038469892481 0.0117085771222702 -0.0613365554938635 0.031684440036552 -0.0858679263135147 0.0988249506683424 0.108466955655128 0.150063385965313
"sp10" 0.1637999384111 0.135296830829453 -0.0224435922827988 0.0504456837639932 -0.215502918408575 0.0076483409503506 -0.0139439456813973 -0.104991817897257 -0.118741593148881 0.11671630245813 0.141150185920734 -0.0882189698623295 -0.105198607328823 -0.13622650484535 0.0551997436028177 0.0409479916415172 -0.0599449104314131 -0.0871174043842498 -0.130809108699054 0.12126875907985 0.003820990444293 0.0557771266190428 -0.0812305756261232 -0.0495909420465075 -0.0797070925154666 0.105405014682617 -0.0215391138189949 0.0453751014900523 0.0751289999412879 -0.029890802661287 -0.0849018707176411 -0.0812681995365332 0.0241501475130207 -0.105647093928915 0.065021869462326 -0.0966531179769008 0.114328723992508 0.0679863714732554 0.0607270272983323 -0.0392429404587565 0.0105530836120359 0.119198424208144 -0.148773711026229 -0.0706239408293011 0.164226666585453 0.141161229331539 -0.168700834380217 0.0500898839897495 0.0118869353946716 -0.402197968340699 0.0143404074322603 0.0153556781156319 -0.104863063395032 0.0966075010100269 -0.281677354966634 0.0227177958735345 -0.113166661814513 -0.113452949419992 0.0165130551231827 0.239458138704691 0.1095351495879 0.18587654794721 -0.0496198183806395 -0.0589501502213075 0.0590905947026411 0.0136760939689397 -0.00365978547936388 0.0262629770698015 0.0558517607850335 -0.18283325992523 -0.262195849593412 0.196943320023715 -0.0534960967693247 -0.0269286057596551 -0.120341461615209 0.0198131683663594 -0.0116907802625685 -0.0685612886965561 -0.0136117156521512 0.0157771930390319 -0.0470660619067385 -0.0638356052810537 -0.176097036675964 0.0810123880375242 -0.157052706068213 -0.0951843193641913 0.0186674105011697 0.14307130877052 0.490295422342065 -0.0774563308641848 -0.114616091436659 -0.143324942653646 0.0757409801741682 0.112447945882472 0.00318351889979833 -0.142384066018157 0.103422656544849 -0.0402128888258902 -0.0684038329185123 0.113439716838595
