"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"sp142" 3.45699327567243 -1.21734443150061 -7.62266056209774 -0.0872542058920882 1.26232534493994 0.570341316154041 -0.978647142249376 -5.85832062901402 1.82115440190033 1.31050873750402 1.3775527205611 -3.70919579293226 -6.30087889002114 -0.875914955101459 5.34419264765092 0.727774462312635 -2.27712332799004 -4.17613935028867 -1.56383344072454 5.74725398421511 6.9930660024039 1.75549812379661 -0.168196424932212 -4.90635778763049 -0.0652299416420368 0.0756876294991731 0.115192087073629 -0.515035577664811 -4.82127987986147 2.89485093040317 2.29171758785926 2.70806961544765 -0.782446998776449 -2.14831395211844 4.5188421725928 0.51581597145924 4.25777691007694 1.57085606344906 1.86855576745373 1.46468309110531 -6.47483951098858 -5.6666400469593 2.89775642333196 5.47219112081864 2.87098576320441 1.47733120672058 6.50814455652452 -3.01898609479318 -0.929131980060049 2.55616778972646
"sp143" 3.28859006134623 -1.9010018148009 -6.42746932538973 -1.18272790159389 1.12578290560299 -0.204989215902607 -1.82647705316288 -6.19154149251895 0.468894519255887 1.10290581790723 1.38669242180744 -3.10137556588149 -6.13456781209114 -0.579708856131178 4.39116722590042 0.655418990370684 -2.93698368977767 -4.07584290808328 -1.09053132769257 5.38153177712648 6.4523858833218 2.34612904010031 -0.526658582204946 -4.80921678644683 0.345120352467518 -0.504687367941406 0.596564901433962 -0.330849880638364 -4.97145032911471 2.12090885550077 1.83024440143163 2.67086073645834 -0.709291249809995 -3.16374568109115 4.16346755001832 0.425821828129919 3.75918930246903 2.24900121152178 2.62863490820201 1.50292108355854 -5.66605750668531 -4.57253521928888 2.01230613277523 5.24907074116872 2.54935712470012 1.29766537247132 5.88034836284164 -1.6649573725629 -0.934051547124293 3.29312920834057
"sp27" 3.29556628065717 -0.584482364425257 -4.49043096215107 -1.00454782743681 1.56019472769841 1.18024379588421 -0.359219309578336 -5.71973680730115 0.0684548818527298 -0.210638326278055 2.94876430029213 -3.51436007089787 -4.54543572442528 -4.25777966515487 3.62269902341634 1.57454581517697 -2.63795048665319 -2.71030559782003 -0.430512086678804 3.53087234977287 3.41102361448884 2.38354632722614 -2.22531256077389 2.23412825697977 -4.30964161908733 -0.398958335221409 0.663115870608646 3.57618503273616 -4.61525907125064 3.8301171000847 1.13823296760122 1.65897882857268 -2.98001056007608 -2.07456991911605 0.996489850918295 2.1238458323965 4.83409000207959 2.8888541750321 0.890197705049596 -0.738059645962897 -4.67190766333017 -2.71753940766352 3.64217601670807 4.56483199318293 2.52898614423404 1.76874922186325 3.21301074993791 -1.94579562273676 1.2733857435494 -1.69113788429577
"sp14" 0.216318272133548 -4.11161527523833 -5.926467300984 -0.200939795196465 1.51207649219659 1.4720105622072 -1.63120267798626 -3.79367842861629 0.956297054640526 -0.344164045519089 1.98720778445668 -4.53862113405388 -3.75929077453167 -3.62881644415074 5.17113466188184 -1.55484968707041 -0.114247217922864 -5.29853113218762 0.0957605095168823 0.563485074624236 7.91433090879906 2.18448530641372 -0.0217010719451458 0.442026230722727 -1.13235129805663 -0.00207393035381409 -1.51831309377419 0.384762685148476 -4.13763001181305 5.04479966205338 0.410970958763649 -2.26099094494943 -4.51848653869574 -2.21200180404552 4.20277112985339 -0.282020812276104 2.39876868492651 0.0192738149616084 1.52825271178494 0.926357829573693 -9.51188872395844 -5.69119131043672 4.44976241472979 4.68323075422302 2.01635402129032 3.4363258613256 7.69143431307932 -1.04473393055215 1.14411095880583 0.00479321068947207
"sp4" 0.407074343675118 -0.365046908666624 0.51398028565754 4.50985445921551 0.833496514941628 -2.50351551436877 -2.82795696301729 -0.798238110987499 0.316874553873771 -0.346721972548502 4.27239290570104 -3.12510787407239 -1.23384711244122 -2.83726397240017 1.82434730485428 -1.82217614829131 -3.51953624734128 -5.27870781662233 3.70150712508972 -2.20602707034944 1.68266290530524 -0.311283403384415 -1.91732946293386 0.597956048911475 -7.59599546084918 0.0673462899227558 0.403779849374406 0.871134637021353 -2.66533521698485 -2.92841568110964 1.04119411309833 -1.52197797333984 1.8028683973771 -0.723723592585681 3.17319060583796 0.341710466057043 1.56533184011957 1.1987416491772 0.225796411083716 -0.474862913701563 -3.9243315793302 -8.39272153389777 5.36086944282586 4.12210983783876 1.4563456797764 2.54969778261597 3.49411651369256 -3.05037062754991 0.188482709395605 -3.61616660761371
"sp6" 0.154926999956161 0.0698383715370203 -1.22260717012583 4.27218661089183 1.47279789179682 0.0784326450834321 -2.16064955385501 -1.64369675512139 -2.7688685683955 -0.896772034773555 6.63686847306428 -3.36742995594651 -3.89913451374258 -2.84133939268352 3.8060315271988 -2.91575895617921 -3.96033877728752 -5.43070294492669 2.32845130927549 0.987346776006794 2.05289910686609 4.13178166123024 -4.31606667221042 0.226114396548116 -4.29423214842071 -0.537021348876944 0.781895809409694 1.80044064438346 -3.95029641832398 3.9808467794258 -1.83406629649339 -0.925332612751587 -2.23671150391657 -0.719629253846888 2.44634132067042 2.19064907905945 5.36245496043257 1.57235763724011 -1.31045349884536 0.315175141262495 -1.42358873348831 -6.34985864248834 1.36528027242207 2.95666112659686 1.98651185192016 2.57634673626559 1.71479041072102 0.453773253089163 -0.632819257025643 -2.10112314235548
"sp36" 0.205540464051934 -0.0998615950066819 0.341180133729232 1.93947169924958 -1.27998841633805 -2.58156245941577 2.6936520645699 0.222151857762195 -2.12501907841371 -1.30069522128105 4.03339958084543 -7.82967593566423 -4.19993556061892 -4.01583703562878 1.00901107451038 -3.41586544055489 -1.54417563299142 -3.28723141493982 3.49059451528344 -1.07192658980365 3.95629675758268 -0.360556204428463 -3.23145032562616 0.446102325981189 -3.47226647867789 4.0827167619219 -1.81726973870275 5.06657868106411 -0.724282671961295 2.88525637080578 -2.29551110543522 2.69922552428087 0.718444065750108 -0.913305149253202 0.836384944498624 1.99007361565079 3.64157836165969 -1.90228701005374 -1.12755053366491 1.93516755689284 -5.15276369785737 -3.46916245721404 2.75933183737564 4.43740175392918 3.28462894108273 1.07215192108144 -2.43560186032778 -3.37478787206033 1.22192045966661 -3.87035824974913
"sp37" -0.562106552712729 0.817201558048265 -0.233153523926078 5.62823329418281 -2.84976170234415 -1.83581246912487 0.477098964981553 -0.0637240922320538 -1.60496535696905 -3.00821453687563 4.67915969708406 -6.9008222542006 1.57799136655798 -4.0037569151702 3.98126723035537 -1.33948678378721 -2.06230365060213 -3.92202035847221 2.97590329225709 2.73486561211523 3.3740262145586 1.57294204524687 0.140031095641967 0.404234004818346 -3.94546620485662 3.5919501160964 -0.384651400927145 6.03784343380076 -1.58421781956197 1.5947283892225 -3.36071795667001 2.31608118236139 2.74862272572408 0.418756993332239 2.43228557758838 4.1060359661568 4.71084426290373 0.406411735089556 -0.550168608085634 -0.251649373254637 -5.48332550197157 0.402375800914414 2.02858038784291 2.75408732071838 1.46670563915207 0.695745237185779 -0.972756204229868 -2.21114851682692 1.64601412820759 -3.68842781524926
"sp174" -0.317089862044023 0.266126509230549 -1.43715230883899 1.40358727860669 -0.552990048531501 -1.62572242730998 3.52712235878211 -1.79626872529235 -3.74304886567994 -0.339924646736759 5.7713226413071 -4.21832821788973 -0.566400726091673 -5.12923749692953 1.90298024239186 -1.83299175709309 -0.794800734573884 -4.43189912620082 0.335075219933873 0.657157723223632 3.16138379313402 -0.64843602566557 0.652301972124027 -1.01308502280098 -6.13054283591489 5.23702897783636 1.69954127589044 4.24519442875165 -2.82971224125546 1.79363079323294 -1.16140112280702 1.39432591346044 1.07389056690138 2.32099916337185 1.11771579741484 4.63370558102309 4.62997777111929 0.194724243108905 -1.60438913555999 0.229462559796175 -4.83584204400409 -3.18607747418635 2.07941659088452 2.95585025501005 3.48520168547478 2.38541902066947 -1.91678373108751 -0.837919044188682 1.27307505635083 -5.0625052536208
"sp175" -0.141902469351908 -0.165936368183827 -1.47910239060097 2.13103837783889 -0.712014688995505 -0.808513771829037 4.07279119598793 -1.52279208073049 -4.3377442102868 -0.172598020877752 5.54609544354283 -4.14607516177096 -0.89327087253774 -5.3083657210111 1.87529004410976 -1.52000043108764 -0.130234724800181 -3.92261666190978 0.699878226977298 1.09264985994031 2.72240806883116 -0.0748385699783539 0.77575889350839 -0.936271533624674 -5.04859813801876 4.94806248045757 1.77685712233129 4.48070078604038 -2.80095061657597 1.12239833765622 -0.993212800130705 1.43708211569715 1.94092898980381 2.65429392299713 0.563515122966526 4.35220450425957 4.06279286783514 -0.660423570113571 -2.30348306485095 -0.266949542225785 -5.64191128976468 -3.85291536649537 2.63993106627781 3.32089361314937 2.77853041056368 2.0994370892425 -2.36469977618782 -0.535729824272063 1.35286122797837 -4.8105303564064
