"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"sp80" 0.110928489626123 -0.961139616273774 1.6563335791745 7.66429438724122 -0.928122020160363 -0.833205474701092 3.15254958958562 0.736768459279895 -4.80557217835624 1.07619883170435 0.428359621419968 3.16883284362576 0.640474274538189 -6.07678630614567 -4.07592710159303 0.426013398090187 -3.7886999259761 -3.23312234988664 1.3227773419423 1.67936158508001 1.65392040269994 2.96935780193013 -3.93166640600104 -7.4633398017744 0.497874058908028 -1.13220349320627 10.4619172799973 -1.78507681595372 -0.715269844405119 -3.23305861468438 3.94570450477236 -0.64559228129568 -0.494562014091867 6.56595535524241 1.08057168479048 4.64575964920469 -0.344015239309553 -1.35566861916084 7.96288620827573 4.91748605484154 0.293917466783434 -3.98043618983905 -3.53790715055599 1.50807786424536 1.85811694951401 -0.93428385019172 2.09690656735104 4.23538631159355 -1.66949206158995 5.10823005318983
"sp125" 1.25618616884267 -1.16053708799932 1.19139565330408 7.25824152672643 -0.720837388739683 -0.653482550017354 3.51832769445745 1.49798934115284 -7.06745618317706 1.2801845527047 1.99229763047507 2.94560930331509 -0.42277871628079 -7.79638056696287 -4.25194854825304 1.11223204275632 -4.90512516019118 -4.39281198003995 -0.213612627829539 0.776464170427457 2.03680144324652 2.65434292075211 -6.1978064083035 -5.97921336895449 1.71646164628809 -0.948234759408612 8.26183129319946 -1.06684113663521 -1.94296399924685 -1.9713086421878 3.12398207535561 1.00096570670792 -0.11124756316792 8.23454107313322 0.764625375306942 5.65276943680081 -2.31437277325011 0.559215757904864 7.87086183808209 5.37440614415731 0.761869886929951 -4.83299653445257 -4.94629879644013 1.78800801257087 0.668371081789276 -1.96992324206578 1.86062909982491 5.7037753349537 -0.803875595594556 5.68970621057006
"sp126" 2.01148223730039 -1.03948418038153 0.601935589337899 9.21174908400514 -2.339673956847 -1.09520974348291 3.79837477925078 1.94039242464703 -6.68134651207213 1.11254206251099 0.890191604395663 3.95336973023383 -1.10470109234308 -5.25407379168707 -2.34643607111792 0.151473451734731 -2.87183385764106 -4.12831144680241 -0.783570855206486 1.71216045065681 1.70845174521516 3.53297030349921 -6.36264111506774 -5.12392493156762 1.6711959094985 -1.63186900200119 7.29435995238602 -1.02229831800024 -1.06889561124755 -1.46089656614195 2.48562464153894 -1.17218526175409 -0.469876901603315 8.86503432943246 2.03372764608461 3.84988996893839 -2.02969125998417 0.392489140529227 7.29734277943881 5.62046777860205 -0.0536209282437316 -3.95502503933539 -4.95718903078254 3.42160461168976 1.06109328737738 -2.43739970214971 1.80597573221814 5.97209814378139 0.482018436309603 6.82174331782757
"sp36" 5.05694368238579 -1.11588588363433 -1.41682148781014 6.79539950886187 -0.354236409667299 3.25157997192969 0.786798220136914 1.42126854203772 -7.32560406407976 -1.10166327977595 0.766355022514929 2.51326302634643 1.06902118469428 -4.25252737277326 -1.77832321702515 1.34603512389178 -1.49404544691943 -2.97918917544916 0.323423328711772 0.569324791769735 -0.874851942803093 2.75136036934019 -2.91601445269119 -3.1229320968574 1.91711260495707 -2.55781819420014 6.43957940655488 0.949430476310611 -0.733957292054134 -2.69119749862536 2.47480137218249 -0.796097115328845 -0.431027576805278 6.13815844232017 1.67817920883974 5.47937882557968 1.76981121211824 -1.12539818930926 7.50923549809249 6.01914286609878 -0.625509736644296 -2.78957961965494 -5.94132485191338 2.28361524320722 2.98186774492134 -1.54577300209121 0.799961327456146 3.26370849863306 -3.42110531491228 5.19201583099311
"sp26" 0.462712829065748 -3.20719856222917 -0.0551032621875675 5.33656917136116 -2.15546440245928 2.58059607613131 4.00190237878965 1.79810555418589 -4.86276083065381 -2.16914092655279 2.381992242526 5.28683385436965 2.7043097226957 -6.16229697470983 -1.47657882529082 -1.96497146376539 2.15926509027178 -1.6048816848669 0.770595958789295 0.838937198978442 -0.517503312036916 3.56754570399712 -1.98318551857752 -1.17157149990398 2.77924204940547 -3.60734242727212 9.79654791901605 -4.00800390953976 0.393134072352024 -1.07788702087952 5.00712102086433 -0.122290721658746 -0.472977066017073 8.35948501086517 2.6678187039164 4.93329227977446 1.34344370737087 -0.715091683315836 3.50187931169897 5.28786506700196 0.919314772932065 -3.41671205228204 -3.70240265191472 2.35608166568515 1.35778005843067 -1.47312988779869 1.52513363288392 7.59556195850102 -1.70694144218991 2.57699210290831
"sp193" 3.72289646272422 -2.02870339386757 0.390932550659789 8.45340330779056 -0.724238238774807 -0.192650816682136 3.51370244167891 0.730886928357169 -5.49071456873308 -3.54776151295128 3.25263374452796 2.84098454311584 1.20017186207653 -8.13834420674168 -2.84779810515107 -1.15150193912821 -0.122797153273479 -5.37986486623324 -2.38748244603777 1.84255868845298 0.239233261493588 4.97440666254075 -4.61867413078388 -3.44022942041862 -1.79032936000834 -2.77659241427033 4.45886018090258 -2.98491178246217 -2.73572494144002 -1.4151470128261 4.41351501503687 -1.47010412956199 0.67534126438186 8.0964847053728 0.856540750568921 6.19155125032757 -2.190958209 -1.90858514935477 3.04968258348469 3.68881524233646 0.130101179315901 1.30760754623851 -3.44615639701309 1.12491637516647 0.81271393180357 1.29334197098885 -0.0796528551171733 2.82666969201842 -0.67173611834495 6.65205346936348
"sp194" 3.60849522283417 -2.16686183346423 0.148352483571444 8.51553578875294 -0.866909073498474 -0.471810204758919 3.75986492764201 1.02006754983816 -5.29854166685254 -3.30721311000611 3.27562529995352 3.06566995111608 1.34832615546605 -8.10798852027301 -3.04938733831849 -0.813531025475122 -0.136639891650767 -5.44106762646141 -2.11374249944605 2.29086998014595 0.316524447302625 5.34387850122911 -4.85436666136043 -3.5574254602154 -1.77493543661097 -2.63134341733534 4.52406246677998 -2.68196433666609 -2.50710706932225 -1.06692014028703 4.63249350011048 -1.49482819535179 0.848379129508293 8.53487767691247 0.826534778321665 6.08732494185075 -2.29953788288062 -1.53371575210169 3.14773421530849 3.92856202064993 -0.021066988402966 0.841940072400106 -3.58136301477256 1.222403361759 0.877272255960805 1.13480007431574 0.336783451880608 2.31815988885563 -0.168625111754752 6.73285697236726
"sp58" -1.83403310378209 -4.49402624426496 -3.07739527285778 4.109521912269 5.10165712220599 1.13987105652654 1.75811538109851 -4.50078312328003 -7.84400211212488 -3.61010353821564 1.50235126562461 3.02701571006035 0.960165484716457 -1.91810920017369 3.65798688913467 -2.36927284969823 -7.08991356511529 -4.39537272832644 3.27471484049834 5.69882648590262 -1.10061969705674 6.93746956671671 -6.44716321598102 -8.24593076830812 -1.34278246205518 -5.92571555813938 7.79000068660506 1.80647826469165 -6.74616186356092 2.94754581072893 -0.416851142372715 -1.63088523483681 -4.83589042798317 3.78430733019596 -4.07573825402336 0.77355227033477 4.2831578752406 0.544588142982218 -0.231078206115593 -2.49942500966732 4.9901743721255 -1.3278061761041 4.27919557012671 0.737278856574165 6.71798947366696 -1.89961080036521 0.034503141447591 4.18042917072836 1.75449781866985 -0.541706064262564
"sp183" -1.92532364035197 -4.95701021496938 -1.20636459508379 1.27913546385416 5.74931184817994 3.16494852780599 1.05135866207347 -3.50244792966481 -6.57453439380019 -3.09389428568072 -0.251128272885049 5.52256447456969 -3.67481376993666 -2.01298615808015 4.67912166496897 -4.79420366812188 -7.6461657473003 -2.47645440962797 5.24992843427817 3.51506078172315 -0.72926091024731 7.09027157688315 -5.88866636565885 -6.97890582070967 -5.0189843279368 -4.0884702673663 4.45841295346357 -0.768018209452658 -7.45124095357292 0.194332572140372 -3.72447451512204 3.87668916965352 -5.04341042091021 6.39354575134131 -1.50825819035587 -0.251306471646934 1.65991814029526 -0.317280657821339 0.0268338850896166 0.876274416117467 2.87992723283409 -1.27639307796259 2.57562071007203 0.911797531788452 4.36219754345687 -1.62809410826895 0.0102470293695464 2.97498245362183 -0.0606385887104885 0.869358778985454
"sp184" -2.08368540887733 -5.16524042251757 -1.68987536091341 1.9198968252467 5.27936465005127 3.245932817121 0.980921491213918 -3.83812400441096 -6.75147746885643 -3.04013069492388 0.00339557692453668 5.69564821970457 -3.25203783540493 -1.78005477304681 4.54171326044618 -5.23600541273386 -6.73284668274006 -1.73732807397043 5.20089759388303 3.80249997719574 -0.940939207734692 7.41703955075752 -6.06759536777169 -6.35733184253626 -4.76908202575955 -4.16071194957672 4.00653010393598 -0.79645319827211 -7.61070906050202 0.0722686145754318 -2.97869912861436 4.03836067039754 -5.0023813198435 6.43452955917669 -1.84085800493594 -0.592405899637419 1.5891790677698 0.286782854592768 -0.209814556820568 0.3674897263517 2.83145903942015 -0.727625727838744 2.3645334675603 0.658335230674549 3.81957236210372 -2.17119909414884 0.405101017298402 2.96129887952947 -0.147919334988478 0.79922882994561
