"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"sp27" -2.55764681481142 2.00160779917717 -0.0515998934311251 -0.410404356971129 3.66466797108869 3.6015672872893 -4.60092445136487 -4.93751785079942 -3.47919884618867 1.40406012864873 -1.12188420622485 -5.05591866555325 8.21640145797649 2.64182441121746 -6.8834466129706 -4.02019343203214 2.34049726801657 -0.843003656743289 0.685329792580191 -0.370433730697367 -1.94237958298912 0.607757486752472 -0.506888034044644 -3.54853531710517 1.43757296080033 -0.260957465066593 -3.87754352712807 8.15337000364494 2.50748976888422 -4.76881277668333 -0.397361244270201 1.27756514667358 3.30314025398514 2.25670861483534 -3.72994497072211 5.48159150670547 -3.59433820270871 -9.43986997629478 -2.39893565605304 -1.60430182378539 -1.4841248170744 -1.62280976059204 2.53941370795508 -2.94944527940387 1.14710073070525 -1.30371860473315 4.8344331890306 -1.98739457430773 6.47053218783186 -3.77817761654577
"sp181" -1.46676315047888 1.52356197121346 -0.449431996444548 -0.163415182318867 2.35813855700632 3.84681011178083 -1.8879048430084 -2.08377026286173 -3.77316710739489 2.7194538729794 -0.91841362687535 -2.4816537169445 5.88496065650753 2.36987669701338 -5.13035252358831 -4.56449593857527 1.96739675946236 -0.232531430624641 -1.69180856034968 3.23088025647588 -1.28046072553233 1.48619413596033 -1.87949535179662 -2.73242113868408 -2.42077053176201 1.80890014307903 -2.60407541558811 7.89684804969921 3.98053459814222 -5.13162851329176 0.530082118557986 1.80226178191038 6.64579162194459 4.11779608015579 -3.13542367090827 4.94023627131924 -5.46782046122803 -6.64883672439475 -0.0914328754061524 1.53011372936881 0.550511946711834 1.96447116749193 -0.479562782397891 -2.0186169566495 -3.01083890271524 -3.61421087415154 2.29639340382162 1.62608147926397 2.81605231059842 -2.48225974778302
"sp182" -1.28519985292949 2.02246839750388 -0.690151167410793 -0.309758781581092 2.27820160530067 2.92477272489103 -1.96441008381413 -2.71482282955967 -3.487854982838 1.83306147976344 -0.70989506600877 -2.11006300207497 5.20228520737281 1.83604542922646 -4.54505548844859 -4.08263786593166 1.63269315384944 0.253978190604715 -1.26360576154172 3.81568191918334 -1.3226285982911 1.05845147986103 -1.61316606765435 -3.00270714880451 -2.0761539336597 2.30069401632445 -2.67383808371354 7.26283751494167 4.5706925233233 -5.25871105448435 0.561899094248928 1.59178808696359 6.64119503027877 4.01617044106023 -2.86170304638541 5.08003539565276 -4.49625796520818 -6.6826154680788 -0.323908112770538 2.29838850154981 0.98184686462738 1.33446634079075 -0.572258192748212 -2.16237124843689 -2.81767675675363 -3.86604017190942 2.31016275215703 2.17510364590433 3.14980047563145 -2.71486868547061
"sp145" -0.566757718113686 0.548040076444128 -1.8373449831303 -0.180568101798997 1.02743150965774 4.26112580694657 -2.24935746274289 -1.80029978652647 -2.17562731926068 1.92680705792729 -0.459119542918358 -3.53730501162674 4.94054806418517 1.47439839035314 -4.73772539685411 -3.98142345026798 1.09621942991252 -0.293312818688518 -1.46086097828443 4.54397643095388 -1.66496460278155 0.818801298704429 -1.65460264253386 -4.02268809839572 -1.37719488520951 1.42685732515603 -2.5768848995071 8.31862116014911 4.52489646441583 -4.43153491238717 -1.28347278016315 1.75264235008681 5.94503965498391 2.64264611144756 -1.63162201894526 5.07948644834442 -4.89691713027416 -7.96172760905367 -0.763651585951876 1.2316086198597 -0.0355320396874855 2.76046956757092 -0.102783319923905 -2.55505987920866 -1.80189883534708 -5.06913028278947 1.98965235999592 2.64018454380322 3.30130186865575 -1.12735296828632
"sp99" -0.257709790251638 0.788781716947559 0.555582886196938 -5.45118272537521 1.3341079553798 0.761418608449676 -1.84351884066937 -2.14402560951825 -1.74545033250441 -0.701297349968274 -1.90269600848656 -0.559688438943705 7.51566749450644 5.04848674309312 -5.56613009867977 -4.20013270756508 2.09778262210766 -1.07439243680843 0.450229886452204 0.850026252568989 -2.77798543232455 -1.38175454137951 1.25080459916857 -0.886106350372594 -2.71450543045607 1.56419254448958 -5.13040172648101 3.50705367449797 3.31522623467738 -5.17578820318899 1.11427748311005 1.21650068395951 4.83253540669636 4.76067389131106 -0.550322864486574 9.23442453007692 -1.61518327098614 -7.74143434539308 -1.83873133225045 -1.55798392938397 -1.85839690405946 -1.3393130114805 0.921972605366001 -1.75942236252397 -0.100058664543663 -4.03624302432289 2.20088196375077 -0.613001534772595 3.529343388891 -3.45253119085749
"sp199" -0.447646484532337 -1.72502323506136 0.153052589328887 -4.06834617202695 0.77795014404023 0.934741602386361 -0.508409809716398 -3.60293116864419 -1.74565503019771 -0.455068536422656 -0.75671868962733 -2.02124028449603 5.92783985508236 3.48242351522339 -3.82865418110488 -2.79580432224284 1.35775642088548 -1.29472845789396 1.77640292742117 -0.107200406677452 -4.41701381753384 -1.48708878229113 0.755484489157875 -0.421603823710786 -1.46586102665707 3.21578150393483 -5.02358789021091 5.1670586790791 3.77959721597129 -3.75199805478701 1.1480302191217 3.60188469928606 4.31682444317769 6.21347739316751 -1.48268894433058 9.46647092902904 -3.07708310701582 -7.79390884178605 1.02083635258589 -0.91670439972654 -1.1881114792136 0.297054484811256 2.53139104568743 -1.19006893230435 -0.173651870844743 -4.64632701141982 1.14173304168805 1.72970551754879 4.29258391415782 -4.61856428728787
"sp200" -0.203091532881133 -1.64310977742927 0.425040464491053 -3.99199737546207 0.389559037547731 1.43716385317834 -0.39820679193897 -3.65953442727228 -1.82178679116536 -0.457472527597408 -0.595205327210741 -1.92147730531137 5.90347603348366 3.66778635508008 -3.63109346136597 -2.67131732176587 1.20621249650344 -1.32499685694411 2.11553364879116 -0.0623167878628059 -4.40600681046599 -1.33974017234135 0.572558138112902 -0.608064925505173 -1.7479462669509 3.43975951820922 -4.60874877836866 5.19592926273924 3.69290613406936 -4.05864568511235 1.07231009732762 3.58326189520138 4.39115642299868 5.86949763452243 -1.6186482836573 9.53054846192919 -2.87313924309961 -7.42371234379476 0.672340699231154 -0.682166077678631 -1.08862187568256 0.326097416018189 2.1640594008169 -0.874206351466434 -0.196958807433618 -4.62526112655221 1.13315331030897 1.7001095275154 4.17702918773153 -4.84933515900479
"sp125" 0.998180918917699 -0.901550026869035 0.181549193352105 -3.79280657251356 -0.319295547722421 0.87311785493167 -2.35102290219741 -4.11607357389894 -2.60630042969811 0.335635391728454 -0.423031017744793 -1.3472410238308 6.55959315292569 4.90040506102361 -5.62504714482585 -3.08273610710061 1.15808360380005 -1.07418304862249 1.23834047053403 0.923357352561855 -3.20704918422509 -1.40875705325641 2.14952305335778 -0.455187868721318 -3.50406531366019 3.16128061464844 -4.20662949360216 3.35386471384005 3.77986627865239 -3.26374439509656 1.02293406478095 2.07580321131275 4.23676180968636 6.37189419684552 -1.18026464773885 7.11882333257342 -4.66795181321083 -7.23682534469384 -0.338142291755717 -1.56474413919992 -2.88203111101174 0.228147065336839 1.96769848619559 -0.513367574239974 0.700531209471517 -3.2256570872696 1.04878134490979 1.04793605783823 4.17234422796115 -3.75785866644848
"sp94" 1.09594821181259 -1.26278201924153 0.519757960272971 -3.50127464817944 0.21273080715234 2.42393877474065 -2.28893720157532 -3.63730786050366 -2.2010726971089 -1.7238893274456 -2.48750604008598 -1.32483052826284 5.41361262205764 3.82538879700641 -6.09658824527905 -3.71431224575945 1.61272698095514 -2.10418081501455 0.874167125701407 -0.621169517660381 -3.93399500995685 -2.53417855033573 1.67192510497495 -3.16391908171292 -3.04222494870422 2.10941989795039 -4.6622959789015 5.143747352249 2.85807770212471 -4.48921355837038 1.88040833973381 1.47164167179736 4.74065041488857 5.88493479713452 -1.46896966891571 8.14713730381619 -4.44610679476325 -7.87049426015177 1.30926525658475 0.743717537138122 -2.19325118509894 0.346428532415888 1.25651546924307 -1.57672150234699 -0.871806645957854 -2.15104675855401 2.85534352897648 1.58619150241027 3.32531105302526 -3.65217141641716
"sp195" -1.97084683070212 -3.38570586270093 -1.47722493744114 -6.29994616717123 5.15208835643317 3.69992780519765 -0.566622875408442 -1.88147723894522 -0.311975962359432 -0.0885173706457111 1.75922185911774 2.77602363481844 0.869694341962925 5.39850197502036 -1.19538238554108 -2.87699846619069 -3.1299505235777 7.33849100777631 1.54675856566711 2.54236976974456 1.0373594666744 -2.38183440693525 1.62573808600869 1.19876111265995 4.74176265224592 5.84358523450333 4.40455345783489 -1.47090371218497 -1.53262774212242 1.4286852092035 -0.741493873777894 2.78692403369937 3.64117692521905 5.32267706969795 -4.97854673922733 2.89149446871763 -2.35739968101398 -3.62743627388939 -1.33337414853259 -0.654313243753275 -2.60792920973275 1.39757468691868 1.21598108161108 -6.80308450554312 0.742808532591798 -1.32815381861718 2.45612451327717 9.05522811032822 2.64161775399974 2.95891607649873
