"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"sp1" -4.24295437372272 1.71057478298218 0.826133016400037 1.71749647959508 2.80129050508345 2.44250465034793 5.75392721648133 0.556779284374506 0.868127237884595 1.97631271307049 1.90172925631422 1.07421008374817 3.37811135498976 -1.7253779745711 2.45860615712085 0.598334000981218 -0.741026255826066 3.75445406413194 0.485763058786627 0.961931308344771 2.07444011343283 -0.723748874689141 2.39134089848648 1.63463052927792 -2.71145889581299 -0.248135141594273 0.671871950152405 1.63622627358161 0.922656134086728 2.37802281375869 -4.30744290541635 0.105218436159554 1.74938596205326 -2.20747780087339 -4.92909395091859 4.60332447988121 2.96425328167988 1.81577657474381 2.47505997377872 1.97907323725748 4.97762705107421 -3.20320395505209 3.20211023385262 -1.86183914357066 -1.85692969758022 -4.34669507765891 -3.06614381801225 1.62099397565323 3.1099690764849 -0.859586305674044
"sp53" -1.14342105967721 1.13989959072894 -0.839944926106371 0.762735875277737 4.2582691542388 -0.924603315574456 2.09140520610568 1.39107917256831 2.49173256379826 0.11556722857295 3.86488624291558 -1.67596875509557 4.51192259726396 -2.87931993504231 -2.176396983621 -1.34174757585801 -2.10227498538946 0.814751133421196 1.53950006863681 -5.76193794012851 -4.32013743148746 -2.16825267452068 -2.58244919457938 1.20801581488044 -0.136710332460613 -1.81761952154445 1.90763589194675 -3.87296854900629 4.56342389541533 7.70787349914368 -2.17654728556608 0.113287922609511 2.82404534505724 0.588088923137096 1.05316192591812 0.98310248989016 0.168195364270221 -0.881616614220049 -0.933173133018883 -0.689898379567744 -5.89887843295714 -1.29913664514366 0.954052188821172 -2.43137110924555 -0.467796861586695 -1.80115047491466 -2.06370205317178 2.16705083681387 -1.70546432088821 0.942414626362273
"sp54" -1.03213505021116 2.65458739704047 -0.574424940147227 1.56021353601154 4.05027712398894 0.896333777235303 3.45233068612791 -0.271909302597294 2.25982350041016 -0.656488097547482 3.55202916868086 -2.36857130204625 2.22480997896443 -2.38692854159553 -0.822784212815247 0.241168262963906 -2.67919517996689 4.63979857297105 -1.42108382286985 -5.42540819409504 -1.43679162663538 -2.55923465978419 0.333799770041572 2.02255954850211 -0.140484668250189 -1.60912402793123 -0.0647720310636971 -6.26562956207465 3.89368063306776 6.13304932733443 -2.85468009286626 0.750726615070501 5.03868530411854 1.5679375852411 1.92900461539042 1.11366574921528 2.18206257780315 -3.21614917173741 1.45820831697473 -0.500929824708066 -5.15983298032054 -4.25278471325469 -0.448739241115499 -0.958893476019838 -0.756665299779274 -1.14587420624166 -2.46451538727056 -0.96124607694816 -1.87463896493195 -0.208874540455231
"sp108" -2.63716552331428 1.7896644503364 0.17289871649191 1.90528308112597 -0.84326116279839 -2.35392417580933 2.00591532468077 0.577202690251164 4.54779215572358 -1.47863945479113 -0.76510855013468 -0.983846828357783 0.944513013706162 2.39185440951127 0.756842107264679 -0.0153253793917387 -2.56312152632157 3.78775834858023 -0.559069515182653 -7.87484495788113 -1.21966805031072 -2.93950451613975 -3.37295209180087 1.30526959411584 0.903790102242603 -6.03802952775563 2.76074179688652 -2.52430700155837 3.42526911554462 6.3558092426739 -0.782030739924432 1.85915560199287 -1.58759488590096 1.98022827188413 4.30673793475952 4.26724405731799 -2.21772205516936 -2.53372801613279 4.14420997006787 0.199389418681772 -2.73045407743927 -3.945881700062 -2.54088682641271 0.183797649593242 -3.2101687247577 -3.31521723643773 -3.70089633959262 -0.642813628481185 -0.0860085202690705 -3.85173518251319
"sp109" -2.42202007420052 3.58194860726624 0.0564017262012703 0.748942459968176 0.231141936426346 -3.48511710209968 2.49227168973383 -1.26322831034768 5.0284653615082 -1.47258787023264 0.298812874682577 -1.97953977390098 1.47026925631911 2.43534249510942 1.31473153336214 -0.11273410312268 -3.50943679137857 3.31581123304923 -0.876753291069096 -8.13946732323573 -2.47673547112171 -3.23239166226354 -3.66309941961252 1.70404034199396 -1.13490161062708 -6.16507090187385 1.11210626755092 -3.15174287663924 2.77784681777973 7.20267223996051 1.13703077082442 2.68325989149172 -0.693548835316498 3.01320221901375 3.51180152975104 4.183002326924 -2.41282185995389 -3.03966620784141 0.703287974353411 1.55026169249385 -3.80866577741117 -5.08823853844769 -2.0056924955775 0.738248260969451 -2.70744786083603 -1.58109312980318 -2.21957353233608 -0.682922403048332 -0.727495696752397 -0.886077609469296
"sp66" -1.65273574771127 3.78004522624029 -1.12726955960827 -0.962942751931856 0.0988129148522497 -1.83025509801843 3.08541944153526 1.7751171483027 6.48884471575413 0.0381418327593379 2.74505616782427 -0.680809807253242 0.961861809620534 4.18224641017881 -0.862881218588135 -2.50501977993713 -2.42516702548406 4.57000546222836 -0.424266061761728 -7.27703812508038 -1.30209374445912 -0.180309113461836 -5.09958477393803 0.469990257009085 -0.714354171375235 -5.00855308504442 1.26026440506414 -2.47669117943249 2.88052160489383 8.3239986994309 -0.0968751256019812 1.28655277766314 -1.93018665864451 2.79306150443106 2.82162965764727 4.31275950215629 0.999485303128595 -3.86487417849959 2.26813473344887 0.580610833033366 -3.32987875728929 -1.92158954826818 -2.16486052078681 0.513707413801212 -1.65020905891096 -4.29860920278342 -3.6546117536441 0.0345720630947223 1.49432540409279 -1.72803669780587
"sp67" -1.95191463664229 1.85740110582926 -1.63061035213236 0.0238782509276622 -0.0136878933821839 1.18727203185876 -0.525835265262338 2.80614430837615 0.915019445773704 -2.49640640471509 2.69278528092775 1.08151154677109 -1.34308147823182 -1.3263528076844 3.13129312291955 3.10007748787904 -4.08185974895142 0.849986011992039 0.568902691661528 -2.16661640588239 -0.156105151230343 -5.32996850583442 -0.774486554134377 2.34544473087147 -1.709391668593 -4.13938626325609 4.69242752073193 -1.53263802939654 2.82049758561491 4.02503927426962 -1.809772810336 1.3868970491071 1.70527094261878 4.51367856521365 -1.17740427895201 1.22758195546331 -0.33480255448445 -1.82147155542497 2.2644583086679 2.68451651718224 -1.9616352247744 -4.40085061072919 -2.44535524280864 -0.394732167364263 -2.14182847245082 -2.48091429333004 -4.51704355721302 -2.83294786769498 2.32864701545103 -3.2918598750143
"sp152" -3.5025724337614 3.93045399365514 -0.239510593200197 0.0319005372122649 -0.625491826680234 0.645948039309794 -0.815736617453201 2.06934555749618 1.5749012417903 -2.00664682982607 2.49897462311787 -0.434386014316238 -1.86236909056989 -1.90187748090961 1.76165929431348 1.61304356891772 -2.22675383467214 1.20928576484807 0.492773107370601 -1.78788983280101 -0.221652763026738 -2.69731381725398 -2.42622644079313 3.01173442517732 -0.39305207567139 -2.70966095233408 5.88304757387179 -2.24763209566432 3.40753135576703 5.4254680927453 -2.95028117138729 -0.413733558144543 3.88415649398788 3.84902114500143 -2.50825722688343 0.200983144927657 0.235331250042493 -1.00676568918662 1.71983473510884 3.15782367018605 -0.789962309283488 -6.36972360428326 -2.36790689324627 -1.20799068460335 -0.839424668583709 -0.299130400175615 -7.46587229387963 -3.71902634684098 -0.107252698236504 -3.83551129423582
"sp153" -3.22464260726754 3.27166486817543 -0.20166387219612 -0.889513856248341 -1.51440112765036 -0.263388123029203 -0.362518557728089 3.31307592371823 1.19028426715907 -1.92431619263432 1.9040227849494 -0.384336349032119 -2.43514979279434 -2.62837963400029 1.55251690316908 1.17029639910753 -2.50111805588658 1.83633728892601 0.0502617617439656 -1.95579923258341 -0.0581943472602191 -2.99671154492669 -2.66197336014081 3.66114834930549 0.124589257096654 -2.56045679330803 4.37946418160108 -2.82715049613292 3.5006621745901 4.77872606015721 -2.50646934430779 0.114188965802568 3.51556600808469 4.26338577719318 -2.31191819863084 0.528527406492466 -0.430399760664643 -1.75412012819935 1.30542200484784 2.06386352447362 -1.65782790168981 -5.25176514222507 -1.71841575163473 -1.54083631156399 -0.569691257449019 0.00230430285707151 -7.02330201700179 -4.15717130382293 -1.4160508595998 -3.49253901507292
"sp104" 0.102803956922687 2.15090775470647 -1.37415344018135 -1.5837148336712 -2.63723360160708 1.7523943526892 -2.15524688973209 -1.61127772005561 1.89183777483612 -3.86226193361049 0.73842893871923 -2.3599816186593 -1.19860714432011 -1.75596360135203 2.48804546365248 -0.894932006699755 -1.44393855956378 2.82050250640204 0.542602876767321 -3.49107037993362 -2.22400163713648 -1.23169375879272 -0.572965759361961 3.37326003633795 0.425443489434001 -1.13557980020224 4.13076860357195 -3.60099360139193 2.48050935707719 6.65152104345611 -5.73137942729203 -0.15158753825652 3.31476599449626 4.70348822906772 -1.0346925439414 0.713085708112976 0.525004170234435 -2.15291992954036 2.21431283770757 1.12977051286703 -2.06622293676944 -4.9468206490626 1.71308627636699 0.780534475204072 -1.8005927323993 1.35849571726222 -4.74746772154075 -3.05608768214753 -0.288653228541375 -2.69466855716297
