"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"sp7" -123.83184620416 55.6347350309984 103.082632140837 -21.0454814900102 -125.658176656365 161.191147065546 -48.4274278947632 -205.175518789417 229.786116911211 140.955472439162 -194.624863247251 103.231158421604 -210.425522749757 -197.800647777765 -156.344912721615 -194.885227509893 -422.515147314746 -62.5695630041716 64.0836574770982 -22.1596687234736 276.666987415541 151.134130698989 19.8215124136088 135.596319397863 -110.955579507565 -111.161940086781 -36.9398473206462 -75.4629457346677 39.4035938061585 96.2233026933468 -297.906086041538 82.2910458859406 8.31957379849687 -50.7757475861307 -48.423944793745 109.160293027942 -39.9596867738684 471.210338680628 -26.6706711822567 -54.168540565591 -408.817585561608 49.8560168550446 -89.2989817390021 -160.551472670564 -8.84361384384394 -289.989497963078 101.79757163551 -129.697841441532 -248.405062589071 -184.897862404333
"sp8" -117.75255971381 54.3995504675464 -5.82004859193116 -129.043781883711 -188.535739116629 36.9944033534257 108.562061041756 202.154865731625 -48.3204993397754 -26.8759921780314 -90.8490070994341 -160.464374029104 158.713287743263 140.185671322654 -121.9058191342 -133.386562812393 168.88121118415 288.026935494549 6.32949218676119 253.105110006765 58.2935875960578 31.3006163168276 -80.4442204774845 -83.7257573478485 59.790399845051 100.647131755021 -195.567072764753 146.710017481183 174.013510581608 319.850457210824 -25.5724780120659 86.1171407414334 33.0223389220683 125.910069141494 197.832402004922 96.5247296063959 396.197668338663 -269.826359646046 -72.1074347232712 -1.20531961267638 89.289714845381 48.8676476508194 -201.563649506192 152.480107403793 -101.271077060301 253.247701130895 39.4656385164479 98.1683869217789 12.2596388911533 49.5075094172522
"sp9" -76.5386632444077 321.857851420506 119.893377182862 72.5088989099348 -164.590041264087 -33.5781348845512 25.4241590772398 129.416775139344 109.455764949902 -72.6975958498388 621.309020449894 -256.893695355307 43.158806019795 -30.213537288768 -141.168300413023 -79.0329353213116 -113.575594249927 64.7959156600078 -169.406219299494 91.0633764654952 74.333960361319 210.440742670678 -105.518352453858 134.373208420114 -322.19025711158 37.5317302834767 209.938445879239 129.111531182255 -159.418662137045 -135.923621964907 205.914054463749 76.967412019319 11.7558600506713 76.2925184760014 -104.409739648616 328.959976342925 135.655088989053 79.7696984266576 152.39694415675 -136.960133433877 -128.149888058575 6.44275326908864 22.8470723326232 -397.674054020491 -42.9934107393497 83.9164418119376 149.933426475808 -271.420101674216 -243.858214098708 164.760446087354
"sp10" -89.5081725444033 74.8607923913506 282.061326607052 -23.1850578563261 15.5969725569971 63.8985029487372 -143.273399371347 -337.726087920944 106.78036041881 145.195273849635 238.956849371708 -7.75127545453874 -69.0202517225338 180.937730038542 225.354563878492 -128.249288097552 40.4652611792724 -19.2907621793323 -294.669647760984 116.461054968047 -105.559704474401 -104.153558284441 85.1527466878167 167.870292746246 334.5011843399 56.2385193450216 50.1572922077337 355.169891143124 -16.0253410724928 25.832109907242 170.260068211115 -53.1799435519977 109.100922830807 -141.849000744021 -193.302299079019 102.892198678538 -118.616678377905 37.8568786334282 55.5481715500225 10.1184829090638 81.7949508033103 -112.944160576126 46.2627073953088 104.119247657091 177.981267068292 338.547092031101 -11.304606328068 5.31935763245751 -6.49699274661749 173.610627947832
"sp3" -62.5405271713281 -149.928238850686 182.205743964251 76.8328403362967 128.300878290031 97.6573792424449 182.747575564138 79.7767120474819 -147.581311905952 -14.3781719903367 -116.074226660683 -30.3304852681415 -189.327277342101 69.4870928462698 319.072685789374 -73.8932872677067 -86.8733016772589 -138.888267217986 -82.3346419722424 -294.707737068118 -83.5329144049138 112.055945367715 148.287405072242 -9.48121147846491 -25.7646964860374 -241.931873470191 372.391484207526 224.409371879524 245.165856057199 -141.58106457157 -137.42036684891 -26.0415280777374 -182.114660262808 -40.6515427410455 38.9174606782286 28.0928758039363 36.016471500734 -35.0126309920276 -89.3746667441906 7.33174516907316 -56.2868328899142 -236.556483142749 6.41386920035529 213.752828004924 62.6335677924214 14.2854068983826 -216.00106951301 -58.2918681824002 123.019741894566 -59.8102041516524
"sp4" 186.826381010863 -30.4490776703432 -22.3957000926727 115.440539725355 257.920648679939 273.422892517794 262.195043702332 -134.22673565593 -201.831441542523 455.194669461168 -282.200802267775 99.1284325465898 -282.990195191088 83.6346886588077 13.4020983523489 126.435622417133 -77.0620972496378 110.91577189902 26.6000128011176 236.175555730555 -220.592317030945 321.717695207508 -165.768562323167 -107.480636071184 -36.8370383046142 -392.006105454605 -11.3342617931576 149.836850173259 33.7725190147927 51.5566843386165 104.636155200194 232.549530198155 -42.709454844456 -109.746730477084 -27.1443664960994 -150.649603477162 -68.969806693499 25.7720591022202 -349.220051254647 130.548813746324 -126.794075483756 -139.746472558969 340.599905092727 -77.9245700393273 76.9610010447973 228.648533835911 5.92795941882103 339.683678128897 145.095914050209 13.0341016856888
"sp21" 233.495203414024 -159.483542941122 -139.505828072488 252.825869773195 -42.457998684105 -227.959371034083 22.0206725880036 -182.147669267586 -37.4121844053674 -27.839897891082 -135.849619248059 -216.550815640651 118.91929795552 -9.31946324959742 179.51712117949 89.3542360644445 -2.16306296213704 -117.747614895846 -204.696802314182 -63.4459784056794 -29.9856718967721 -84.7480626528677 -78.6272143348605 -225.237646142907 -43.7306981659418 57.3766520593362 -298.562402593972 263.63897963958 211.119224713515 -169.319201859957 5.9422365237029 -109.965581011064 -159.564835766285 99.4974231565525 177.584883561737 -13.4633041799612 -116.163648570723 -22.9010055949508 -201.544449812542 -61.7629532507266 -146.503239676732 172.263610959273 42.0412810417941 126.366819121008 -9.05669845197102 -4.17288094973749 61.8412498155515 -0.97116445204276 156.481415513806 126.466597368789
"sp148" 126.526249452214 -117.825209619292 -26.8602753576133 154.900811185004 -132.429350312322 -201.00279402803 -416.413563983871 -325.525791736608 199.683822097111 72.8030287222021 176.45396917475 33.5633160253516 192.828749651202 -252.273513071067 -24.4372357884049 -13.7035787982828 -269.063040422113 -194.336215151403 -18.0257523839208 -53.5069440771245 120.397928486717 136.212949975034 183.276630354202 -169.247933864694 -13.0041635123913 -89.5911611597329 158.870505681579 -74.4326131915744 129.735811888896 -263.919608592231 -92.6408673254525 48.2519489836003 -102.783775109234 -11.6304225054052 -76.3818487648201 -200.901802551356 276.03654106032 -97.6634468026462 308.724084211357 4.76179824362085 -192.083568267599 195.828032048521 15.9703814015604 235.679611478939 116.309115197675 20.1116472827874 -179.609456213771 -286.244830416295 140.533186801482 109.857334464706
"sp149" -53.6681341360751 -478.633529539645 107.547815632752 219.955896302887 34.776388631123 25.2163216054748 174.569863983297 -88.0319613817246 -37.2637171076373 76.4201636771014 118.463756030496 39.6624299913647 94.3130805302612 78.927745666425 -46.1849787714443 147.864592053099 143.152341500101 -220.754901231426 73.1121742247983 162.080089438694 -208.197120221454 -222.133915366 267.219302258374 55.0847938127605 127.201262175116 -84.801938363614 -165.342226187012 65.5511535579297 275.281332179 146.27431487027 -80.419021277762 48.5982321208742 37.7481914443215 107.559202789247 -16.7775200962879 188.023601529889 -129.575003128439 187.215025848356 -244.480849673938 -37.9960202872559 1.90350072580172 128.929719894991 -4.14421162035856 58.2855278482084 -77.1967075597882 -182.648947818831 -305.253979058403 88.6815702096039 -278.126593177267 89.9507807556274
"sp22" 76.3414903513891 -69.3495181751596 -203.932858787202 40.1324160799032 257.803312753613 89.3877543340268 79.1104593900186 -138.208291841821 194.789356886383 -248.933797995522 -397.812828964181 -19.4401283671263 137.508247374895 -144.722151509714 62.8484827013537 -431.694852146633 66.9907975808165 -26.9328931469354 -166.342723322463 30.8603202119056 -78.1555380779567 -194.952400839131 -300.673873712639 16.238961270368 -86.1364331605184 -59.4857188908964 65.7833916374145 86.1829536016196 -19.5891012505153 89.0214437402864 -279.941876407258 3.60566392910559 13.1374268260257 -27.5496578259642 64.2510752508595 -128.30808979858 -61.3976771609674 150.393772503146 -77.3809365399771 268.86312000796 111.751155122185 -66.5131464368975 -172.370478727415 154.928661750033 -353.244396223065 -47.2830263803441 -42.7963627201694 -55.0395894451559 -69.9565230631669 -98.8593865546221
"sp23" 79.9108112173688 -5.34551028603925 -156.592476550889 73.9129011645534 -171.629741858363 323.77995587397 -271.709806327352 225.340705980998 111.427733523543 -414.526855827819 -94.0190814636049 -285.115110058998 158.221621314049 24.5775466031731 -55.6606188921092 254.105366150693 29.7724066083822 2.31703660441497 19.7272527714621 276.446829237884 -32.8566021807294 135.902239214394 320.363635422259 142.506229007002 -31.958476509765 217.947999354844 -99.9809887903781 -149.159156557227 -48.4718219283412 73.7325497446587 -270.345418595941 -82.7714657173087 -382.617166733043 -58.2719645544904 -84.0984816304858 165.415997327339 -131.239568153681 179.33591373327 174.688551757603 43.3747488169652 182.514728002588 -207.415918433665 86.7655071484946 162.788603964517 -137.573500002772 124.389827300114 68.8107430897845 -8.94938266694936 -145.987324550474 -199.0261646961
"sp177" 108.932489603745 157.883170869303 -15.6213645116838 110.055499915883 42.8803568820848 -61.2409178928506 -108.623412015047 105.500397030225 113.584513852303 70.5455124197672 9.67282026673994 40.7195544592224 -53.1004070797423 14.8227033878284 145.895551995274 156.216008224639 102.212940951076 355.559604230818 -217.001211141356 114.234932484446 19.7540784413731 -252.538786065507 -91.6368119714187 86.1619366937198 516.015540064203 104.794009231736 -23.623222357423 70.0357403703381 47.9844779174857 -233.207645196546 -242.024696264303 -372.8899371831 245.065336465746 164.002858255268 249.627013356933 272.784370848203 87.2747129732354 43.009570633509 -100.092973822057 4.24069174380228 113.374764692407 108.098601318418 -53.5256145366679 335.807280284653 -418.472447302303 -96.1997647544999 23.0384295890379 -33.9203683493544 221.253745210432 164.092876973528
"sp178" -18.1735001963908 80.7305066881683 -24.1331405048495 70.9337400506421 16.4272944467254 -199.53281215777 -68.2593514004834 249.257307677601 204.307321574383 102.753704376508 -256.220250819483 -153.074549060208 49.5451152677054 12.017279486125 -197.284402180368 276.175568774108 2.18779595599799 -96.7887766734172 -73.2475989721356 -4.39050935971008 3.64706102506253 82.7123117377988 -185.252842564112 -216.529409583336 -127.73759171724 90.0889261624095 48.9292603397944 48.4448466049062 -57.6427266975302 101.471241465269 -51.9960517036746 -115.733171048637 6.08477597045179 99.8102505128663 24.749852512911 -67.3361346600129 -145.86547519632 -82.699379232099 214.146137279147 111.457290052245 284.48751603547 -115.97168974574 42.475283799649 66.8965740851219 -145.474466694006 -35.7120062270658 -16.98444272165 -334.807395945611 134.330027593471 -212.145085949515
