"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"t53" 0.0760048447366804 0.0756287534128352 -0.927404910207966 -0.245330488338121 -0.110065219405499 0.274253383968172 0.631834641641343 0.321890847771692 0.0817381727341551 0.204832385429104 0.272747544936319 0.437100097425168 0.109926905365887 0.156383276892977 -0.095913723739238 0.0973439173574845 -0.407075828932263 -0.478612269043955 -0.088667530270992 -0.157368142523525 -0.0599354948970015 -0.271952487067651 0.370601518570413 -0.483967184130673 0.0374232326572989 -0.22680734397837 -0.183295063440431 -0.106675864633891 0.505546576898108 -0.220968091577688 0.0818545812733674 -0.648946968584448 -0.0424952845594202 -0.0233684858776196 1.08668166222229 1.03153763503433 0.827441429406544 -0.294145294286067 -0.385757713009529 0.543196688669952 0.115283585441678 0.0839769521579025 0.305736557838077 0.198626514794199 0.719717464749917 0.13163934875962 0.416956199373991 -0.202275440266649 0.333467892934349 -0.107470985981487
"t207" 0.141220695984154 0.10044478673923 -0.833004936329056 -0.271178779789021 -0.173632439726908 -0.0275618713916104 0.286000389138241 0.366256482415864 0.698095540178452 0.230583281420414 0.365146428371304 0.249300997319111 0.122120841127888 0.0707829335274572 0.0823450059239854 0.618061663852622 -0.196624610597555 -0.412202319938124 -0.125773436956179 0.0466107372146311 0.0987036379886907 0.148606113193778 0.761428015915866 -0.0249514991925241 -0.019830019130769 -0.434354042034992 -0.0185668826087482 0.530696519788908 0.0750410627819395 0.0332582599076807 0.10774058846801 -0.38666938321462 -0.0365526078101634 0.268742664310957 0.72402826494037 1.07371497443584 0.953993749291403 0.437460426293912 -0.310729435902338 0.1274142488013 0.253146519409283 0.27533160963992 0.939190736103219 -0.246136490514682 0.11059755854075 0.393877315945899 0.456786010003667 -0.0478045725620444 0.746687741479252 0.106073341348588
"t30" 0.018186667045671 -0.112708772529901 -0.756774673512531 -0.302018983005537 -0.389280971082635 0.151018590396848 0.462495706501648 0.6362618415254 0.172696075630808 0.443003082364385 0.263701297844906 0.456802501479412 -0.0778665332226291 0.159259742436035 -0.00979812843174451 0.268656200213414 0.0434677511692651 -0.528996705054143 -0.152459998533465 -0.114456811266913 0.324484532150808 -0.393841526261245 0.764959806744926 -0.0629964832739527 0.194323358658818 -0.616311387706928 0.0029807800627118 0.460506368272496 0.567114205879132 0.302639343731469 -0.154691515472078 -0.25946455493724 0.108367813486515 -0.239557870251331 0.786463980012386 0.92055206563012 0.69600597309351 0.38856665538503 -0.0534719281950867 0.0952295401640753 0.600646378760247 -0.0929639171727883 0.927652628074526 -0.00676010275149344 0.360595165626035 0.47867354266925 0.117988776508324 -0.109552088782699 0.453857000968347 0.33672350145102
"t110" 0.0526186449796098 -0.0971290998251661 -0.903405610384488 -0.310528830880378 0.0272179694307386 0.116558819581701 0.411861381561862 0.151779107616681 0.042338131827305 0.411222944377521 0.325574720327818 0.39612522949817 -0.214123073066741 0.186387439734254 -0.205435951125539 0.236675897238453 -0.173981258337753 -0.525828141061001 -0.237827258559193 -0.282549250307254 0.386062735766698 -0.291000242643421 0.690909810425571 -0.066067562911005 0.143800026574273 -0.491453979706633 -0.100649587875396 0.712316248920786 0.58962902723103 0.0885439675907747 -0.298275036608482 -0.661946320880243 -0.105076037781067 -0.0975492450455246 0.919924712097589 1.00954525168473 0.885271807194987 0.476230416626863 0.0459536771099159 0.153641530806245 0.388052483176482 -0.342919157817139 0.77639913667822 -0.022698499136813 0.503501140992008 0.151687702164487 0.351282404063912 -0.13736365643704 0.4222204111383 0.209950920970685
"t59" 0.227053015928202 -0.27973402718526 -0.956142128002408 -0.19775667776257 0.141650434077419 0.251823267554802 0.380238673970095 0.667545873473861 0.21546086290662 0.260509597802378 0.823758966720613 -0.142112887895702 0.279756810296577 0.149309983983998 0.0705257934431814 -0.0800445311252279 -0.243125535016855 -0.17732742904741 0.248855573874719 0.0702167061071938 0.1668053106431 -0.0963930859352625 0.588264063471496 0.38341336774735 0.722116728759113 -0.9113450804383 0.113588296012562 -0.147576598797987 0.0168165469584343 -0.160176686475051 -0.133332052321101 -0.518944575739499 -0.0928616025137706 -0.00129269095120931 0.63750473227168 0.925046700111859 1.31855479934902 -0.131420018190143 -0.228990144040836 0.290212109272534 0.0206592812421355 0.40994179729341 0.214904372695556 -0.205025498385803 -0.155436846834648 0.303978546914728 0.276125666959774 0.163862549583359 0.6913205127248 -0.326464910593607
"t188" -0.350134520402346 0.0913394738369115 -0.636550072722371 0.38510654984802 -0.140792982400359 0.666025431135589 0.100328356865953 0.358858893025354 0.108459102349532 0.491971628859779 0.744394272968804 0.302491010893687 0.183549264935687 0.0960748519081611 0.447405776436472 0.459782476133853 -0.150890858179885 -0.465388164371424 -0.127415112576402 -0.24417761168738 0.412967703030848 0.210677180651736 0.34029121012778 -0.239456341446604 -0.440736797849004 -0.586601131913973 0.00406700172061776 -0.277645066629488 0.297259421896251 -0.0708807097434303 -0.317050777317049 -0.10791454699417 0.257130703253003 0.076462055966789 0.443204372888317 0.844335295683043 0.774272402425106 0.299740162235377 -0.832979476305975 0.437848078569823 0.0613227500593536 0.0842558832492214 0.0350760740670658 -0.104987833978139 -0.0789366573518885 0.271891903341618 0.267508778695639 -0.186068107044478 0.464788573598479 -0.0632857914921989
"t89" -0.41969728395044 0.155744268198087 -0.619724791681113 0.367746446453176 -0.18089274714275 0.679336625997675 0.224283003821201 0.34707670375523 0.133983452019264 0.503971886769074 0.785160964311017 0.232872425218624 0.10246810530326 0.230927459127396 0.285792671257616 0.390385470769583 -0.14310364428968 -0.42829491148155 -0.0296697231487287 -0.265528697164643 0.297580882215324 0.273735873762589 0.186874853673737 -0.252946025459625 -0.445605505612308 -0.695389263060308 0.0188521197089884 -0.241233655335205 0.326776017931406 -0.166073500000313 -0.353761173365158 -0.0660236859799329 0.358115936183897 0.0816214600202484 0.394570273140864 0.837079159276573 0.82362111080896 0.195265902943919 -0.735435389352624 0.514015611818563 0.202135327829676 0.217200031886389 0.0652719524126254 -0.115515973482209 -0.0405470520821164 0.29497002117711 0.215591790724202 -0.225545328642071 0.327150976924085 -0.0207016930821739
"t204" -0.0503054905541912 0.204958145402145 -0.764191071455049 0.135702276144312 -0.297305891977017 0.541262762407444 0.115452315674583 0.137166155593141 0.312585135989701 0.513240237133609 0.844919490513393 -0.0230433489911331 -0.0377616362669268 -0.15039474153259 0.347362146402876 0.461465661476967 -0.0958670572282087 -0.6315927210727 0.297336870843174 -0.212218204802561 0.459324576663378 0.425550738870609 0.469946500672783 -0.257917118817092 -0.0615103554963842 -0.886145260635585 -0.33654456533091 -0.0356645254640825 0.0362396913069579 -0.158181598717068 -0.11138619582016 -0.212603592406929 0.129847628333691 -0.25685275861486 0.357673732589946 0.460006383688068 0.590520035267775 0.512393928762906 -0.499152987182611 0.183330116925539 0.0584943837477893 0.00576554619504075 0.132195789897627 -0.224197348868995 0.120692739473662 0.470988296944331 0.360841579210286 -0.0679420366830353 0.419430507031782 -0.03182690490971
"t196" -0.14353000730227 0.17214747888537 -0.488519408002177 0.0939224591521871 -0.392616132489814 0.386544957292277 0.139304151059127 0.305521000615165 0.118945092174541 0.447595171025576 1.02930231198199 -0.00573836120397881 0.0354595695409902 -0.0601840955752073 0.333838693633261 0.596220011926288 -0.256138918034932 -0.454780869565947 0.0181056794808765 -0.295417935314776 0.428567791648388 0.328763793759285 0.42388532663863 -0.186866873295475 0.0583530318746547 -0.867455823994621 -0.341822814329554 -0.115326136588926 0.130686723345227 -0.284009283270026 -0.285531068453542 -0.0801015248047144 -0.0429979418235069 -0.161815953280728 0.327640895475625 0.483548472655182 0.465856256292185 0.397393956650349 -0.456790754288849 0.0391221238157566 0.168020868302492 -0.0161061664034945 0.126875664261941 -0.222227921109136 -0.0703828626659518 0.266319341659184 0.305701116766189 -0.182824821656673 0.234658397281242 0.0604223071273565
"t8" -0.227928017316313 0.274227018189907 -1.07328739422608 0.0301387714363829 0.0364726181155903 0.459868420259557 0.327242963675295 0.0489935641080111 0.31700957236749 0.780300141934393 0.748940507666377 0.244981815721371 0.241611753386576 0.285235863376514 0.427120541710599 0.176760599995569 -0.110584910924132 -0.580196502189984 -0.00924472645481372 -0.215679195714603 0.302724172759116 0.011494254630287 0.111598048886133 -0.178804591908685 0.127420137693645 -0.733189697400676 -0.246794066542506 -0.0130018395204586 0.319720109858876 0.0074128448331578 -0.314169280862164 -0.600460458904635 0.0249111657294834 -0.343412278646981 -0.143110915271151 0.768829969797652 0.795805100946843 0.357403255134957 -0.497804524678732 0.180310749495909 0.232205790150417 -0.0302521279213357 0.00421195274408546 0.0349919250443696 0.184270157356586 0.106578463981735 0.472691217507172 -0.236696102063111 0.400214385217299 -0.083465169350929
"t234" -0.199393038670914 0.096328404549914 -0.68870306442642 -0.0736963859733044 -0.0696307765714371 0.488511763680881 0.0848809264788221 0.17709293642514 0.455487956982276 0.64435661437221 0.935398918595263 0.261511568345571 0.130140285398017 0.296146636851194 0.485050970493369 0.0808642470933303 -0.171468168726761 -0.31341883452189 0.121373932700523 -0.281786313076267 0.479094741309636 0.198012913827563 0.249655202854878 -0.275973505852298 0.243108591743983 -0.661021774911146 0.0718566898871013 0.152153720180581 0.191653197461871 -0.0940785718034168 -0.242141207103558 -0.077833147800201 0.09420548915258 -0.471841551658226 0.263826954089864 0.779315128493679 0.939432072976299 0.353648301826752 -0.64313051288779 0.556546643193259 0.128670508200709 -0.20852665977324 0.225823111058909 -0.325347089537185 -0.087195264881944 0.0341531607585261 -0.0165514767298889 -0.26565235119458 0.619313526087135 -0.398024720158063
"t96" -0.211370365751195 0.120962608160767 -0.714307026726977 -0.0469483301593267 -0.0558670329138228 0.524508281845788 0.0756558592072173 0.198513559743498 0.482741017783032 0.609258425683577 0.941172211596576 0.263725368086473 0.132795085585499 0.266528452856007 0.485007276782184 0.0716034554566462 -0.138146907993515 -0.286170654930023 0.136640926489329 -0.260867232721062 0.47145311430383 0.199562397667259 0.239277783725824 -0.274881972248207 0.271993635619366 -0.665486559155972 0.100621726529327 0.176197427555476 0.166272344292985 -0.094142503621311 -0.269878033708646 -0.064598940575093 0.101625977025373 -0.47299768447037 0.256946108022484 0.785868426903237 0.94995937002666 0.353183800543265 -0.633342090527793 0.570960805828708 0.165552798678521 -0.173889695187462 0.213840299788824 -0.330727451726957 -0.0894841749528466 0.0469102049908982 -0.00505308725423432 -0.255236417144405 0.613114790059268 -0.407830299357022
"t117" 0.559975051922443 0.0598102867516321 -0.501278717503712 0.337567038723886 0.409504188422121 0.136040676379495 0.140953613162045 0.552656667971497 0.469630313708047 0.355047953059659 0.62441052241421 0.37540564342372 0.225089369075107 0.152739723823256 0.120306378932749 -0.36335036232016 0.241254369352992 -0.689051225303719 -0.13491664082085 -0.174996539818868 0.112576831099722 0.044954973855086 0.0197180774069464 -0.0302194950471774 0.114865568633329 -0.720267344108912 -0.0360726140933669 0.0955861501788717 0.0653056787928912 -0.135518371787796 -0.387913800700378 -0.238115974404667 0.251079209702123 0.0628936039885336 0.481348180891244 0.563033578245186 0.669481788439164 0.413614267572339 -0.507701487379328 0.396991006199551 0.0368323408523053 -0.162713289954651 0.218659366878321 -0.473073145676299 0.242548903601489 0.267278764841343 0.582751052535045 -0.0534456800791042 0.637421847662633 -0.0682837422505363
"t120" 0.596400784517906 -0.0331779678754838 -0.640345855424854 0.164879656306884 0.292690494896334 0.0301336994875876 -0.0362990670299852 0.429524903396776 0.482986246984728 0.265095750332971 0.655573678989085 0.43854659591849 0.143194995781435 0.247054367121503 0.176456139427768 -0.326283494788631 0.254249208406158 -0.500461273818092 0.110047114408911 -0.0516920813282894 0.0853713579451964 -0.0558242759153878 0.0560736876598912 -0.060516051488457 0.0768613110330736 -0.545716575403013 -0.0491566206730372 -0.0805943658663891 -0.150915282075679 -0.0707607268746586 -0.348180333092387 -0.418067470911968 0.324009240169332 0.237022196839765 0.469831931754147 0.689964203878249 0.627945966565271 0.549772823789847 -0.551647536631133 0.583981866776505 0.0928521451082289 -0.0397552235458706 0.260702676591245 -0.446997858478865 0.289238741940684 0.245725881578769 0.503528168415021 -0.112485812487925 0.809332335050349 -0.178576497562555
"t221" 0.288736916937866 -0.06784018767088 -0.45164802586582 0.786247139962197 -0.811087812535349 -0.0153460737480353 0.687254687446084 0.210289873259872 0.2657460303546 -0.116745530209774 -0.08169968528803 0.229182596710636 0.359282966148312 0.0560928051065814 0.374201532191496 -0.26061040484945 0.203114477634222 -0.377777286541008 0.702972192927792 0.101748301161167 0.193566318350805 -0.453045520739964 -0.286839563739073 0.0622423227773415 -0.371000327867986 -0.606212913823723 -0.0617973037358109 0.301865622286597 0.149393442183379 -0.642961837550943 -0.462084043007334 -0.442172067517973 -0.113244813375221 -0.108418453059262 0.388475140181465 0.45585378697159 0.326959191650624 0.390109893749308 0.337612713659889 0.66723307268058 0.717568216118967 0.448186088004019 0.839864117995269 0.606680866335652 0.316322117239387 0.094974334656403 0.231655072740717 -0.330445117217387 0.368386149173848 0.0578846046283178
"t21" 0.442541405447941 -0.0408862218920142 -0.592263866590582 0.770187206658803 -0.789236299580787 -0.0533249260429841 0.63669863471541 0.258982504169139 0.196453956828807 -0.239239862885891 -0.150854598188451 0.219993977721002 0.502079920658333 0.0580664376101206 0.401247657358003 -0.212040043186671 0.212595127510485 -0.428852195035054 0.708026526010006 0.0626930291478743 0.284806364393501 -0.447555231956131 -0.247395469483156 0.12890456788065 -0.38744492808256 -0.516249664257769 -0.101011394352522 0.290740929583977 0.158557358147665 -0.716403800019884 -0.481331208018388 -0.580700700686041 0.0224698916095616 -0.206332526509052 0.366262037849341 0.443092739250722 0.234522057106506 0.592637680963949 0.411495550697683 0.680709394294 0.785429707219998 0.598896368061024 0.869008664207312 0.585932136642004 0.146178968121852 0.0407711249556434 0.33031020845651 -0.304094607619228 0.399867693039212 0.0811343219151878
"t98" 0.354576851921558 0.301924293609457 -0.604681253616667 0.648930074334932 -0.755436305487024 -0.124861278574951 0.748616347375531 0.0811260977601146 0.0250986721952272 0.0666657299667721 0.00496672292911888 0.354829342632664 0.566032936708237 -0.184090281960384 0.411310637257565 -0.188412347803757 -0.0172881995097326 -0.231529294138856 0.42536850113262 -0.0252798189914733 0.00306159003714995 -0.32968748290809 0.297355187084392 0.116460932904538 -0.0177638459225882 -0.77010821815585 -0.0645435566888795 0.215438115650145 -0.133393105970116 -0.685840759035122 -0.63902428900098 -0.468370601974907 -0.145083197214206 -0.232412817254097 0.522620413466452 0.531514261789738 0.401191212625869 0.437423770206648 0.301864508838726 0.438782037383541 0.827508827975008 0.669245203756435 0.600191085776856 0.479649222812049 0.287264877188517 0.129476752438164 0.414738674264625 -0.400175973602795 0.40633570150012 0.284154892814103
"t129" -0.0778485415095278 0.293800138763438 -0.800019983042873 0.810545052810603 -0.46476881279942 0.386062410752414 0.739041754197343 0.223132828002185 0.0904890694497183 0.0593432288547372 -0.0452787615001591 0.463471133066742 0.36722844189446 -0.158378096170887 0.251147072035583 -0.218896099311244 -0.138178177622134 -0.22174764765676 0.576389732789171 -0.0362378035700425 0.240438814184625 -0.42623378982983 -0.0774660084606334 0.0775761968624298 0.0629471256481767 -0.621481911991485 -0.200298850068859 0.107125287781081 -0.00507689916448316 -0.753731624421447 -0.38217799251337 -0.700282637647532 -0.343968798914361 -0.206087678365338 0.474872984906127 0.438944932083432 0.51016849931649 0.628364257854839 0.457786396831842 0.343297199107567 0.650286362653445 0.427023749464937 0.661200315486975 0.647120279229362 0.498626363117373 0.0672969771128478 0.645412724487612 -0.0240758551981859 0.449692627103359 0.241318513038112
"t14" -0.00914451949434061 0.241600564445857 -0.860402257483399 0.641566222154277 -0.349389015830914 0.304673023887077 0.567229170221493 0.413986986870248 0.0510459157135122 0.0719833495244006 0.103606729806694 0.547382628974831 0.494511843213403 -0.180969690028273 0.198833515671194 -0.237436057504102 -0.180217668458221 -0.137858588676049 0.706023582568814 -0.0665154288292811 0.329698034659874 -0.563773676349124 -0.116444716811669 0.127665387127202 0.247714791645476 -0.661886653611887 -0.0948945204741031 0.303509724197163 0.0136550341780233 -0.696015656841086 -0.476920802421806 -0.685630912644411 -0.516148716280527 0.0368512552938775 0.52951589260092 0.384346428472936 0.286972437260627 0.375858329813934 0.278889416211934 0.335153202200858 0.683916351903576 0.395405591134914 0.672409260636563 0.483002359723733 0.457700261457309 0.34035894620892 0.19384307110325 -0.235891679703133 0.455460581788732 0.190575966763616
"t76" -0.291905024413946 -0.0911902632674148 -0.821312978352078 0.536496312174353 -0.367082236236597 0.315927770049312 0.671133736559947 0.120135422691878 0.0327324489737944 0.0697066357922945 0.0163838504064499 -0.002906086652717 0.429955952065648 -0.0985995639035182 0.349016692887486 -0.143203442386582 -0.208095437159768 -0.541321531959978 0.306423492285336 0.171911618772941 0.35285729486939 -0.651266017325164 -0.18007612640296 -0.191348483762463 0.102747978630297 -0.663558313170089 -0.244217815879846 0.135422210561247 0.0369201961260792 -0.594071337099841 -0.422308954904881 -0.641514676255192 -0.186336901830771 -0.0109015592867346 0.530324563154104 0.726530826636499 0.407342965267708 0.213468079673508 0.425570346080654 0.359828653062204 0.555611941542267 0.530769677744465 0.865736936533347 0.381554184475826 0.352886426090806 0.210829530479882 0.50079803203401 -0.634234135265942 0.33053965966834 0.395097501822369
"t13" 0.0566821444839532 0.0709681190442739 -0.61835947062731 0.346082714293515 -0.669171135572631 0.355020920074659 0.63228678536096 0.235895458295586 0.085901865502051 -0.143567618138437 0.141055648964154 0.462409376100331 0.561968313944525 -0.141405360929463 0.27291727737199 -0.416631048091054 0.163474069800965 -0.638685551589432 0.280160832894299 0.146553234043831 0.22333685677193 -0.676409181777934 -0.151785928242216 -0.0119865191354745 0.200583367223901 -0.539998742238591 -0.402251626933066 0.101557857495817 0.0244839102198216 -0.723927922984893 -0.426057167712214 -0.588179708210132 -0.444297865062171 0.058771391030793 0.332860703150188 0.758982707946334 0.536168966870182 0.428905888358861 0.394282800196368 0.374839950544598 0.655353028953739 0.232067519869199 0.623992398276061 0.285548346654052 0.43775362708285 -0.00674280362760898 0.322553097127874 -0.348342293313936 0.351463355551539 0.483732491462142
"t238" 0.109525304453172 0.0741117120028884 -0.700351324397997 0.338585548921095 -0.692986942584893 0.301248790987596 0.665945980889722 0.216500130378664 0.0402218134266904 -0.149000416229787 0.203904932142354 0.389089049689015 0.551767420655331 -0.114307421646332 0.261354044125657 -0.51415107257686 0.172170622308145 -0.694206482656411 0.248302304494213 0.184777736858823 0.196592238672684 -0.661539228204238 -0.0919532222795552 0.0030137888011263 0.257751778247019 -0.473474696660974 -0.413823655440748 0.0697253165165099 -0.0294790329862702 -0.637063619723453 -0.401627889785498 -0.527076487935768 -0.480075411630392 0.0550840605512304 0.368719396565333 0.75643764780813 0.547488568628132 0.559101152488582 0.365544929046383 0.432625533568373 0.6481156063159 0.271550882735502 0.672142192376839 0.147079373344409 0.397395417496481 0.0352090923110071 0.362904540587284 -0.359431319060243 0.326910280998683 0.498959454366369
