"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"t112" 0.0168624286996579 -0.259715119720322 0.148128903102155 0.534487502810483 0.304755046016928 -0.106897392737634 0.186232011483881 -1.52841722747408 -0.241865955484953 0.146566980058377 -0.150349373803901 0.451337495212784 0.182242716607076 -0.569556235409371 0.416654486180556 0.0990438355283596 -0.228724480362368 -0.218778266134944 -0.00605402853940522 -0.0177331891106629 -0.472651109636315 0.0393310149307656 -0.300523151305441 -0.22338514865717 0.691611717578683 -0.0029722288007124 0.114630234902082 0.171948991935589 -0.417516720009229 -0.531392224158536 0.754385426352349 0.104340111752135 0.699733411766313 -0.246743725274896 0.350389471684058 -0.367289681491112 -0.247315457490626 0.238684598600435 0.718661050325652 0.113426392419287 0.571641011243997 0.536034892475142 0.0955743902102766 0.43951398785623 0.274877753228378 -0.350255556661539 0.877902980152418 0.29027374073037 -0.161703524190485 -0.954074190673301
"t42" -0.00941690314347169 -0.122351182996011 0.261271003090977 0.394253259791179 0.353207501324554 0.0631033197641737 0.317711975179027 -1.31572219345711 -0.345416734954865 0.229754800669854 -0.0837336119315847 0.338153272766817 0.162657549761461 -0.577561037761062 0.491850366340726 0.160526212410526 -0.0230109863612242 -0.260848891569733 0.0114984715513954 -0.150437190587303 -0.5323038813302 -0.123123877578595 -0.473066010185709 -0.162110467882863 0.546414727081784 -0.00578562645922293 0.0550942249987472 0.196233723247552 -0.405836038731488 -0.400696407437649 0.808564684967925 0.239737673378421 0.572226145791947 -0.274808263900012 0.394042911332514 -0.563095569160536 -0.309836493433196 0.308667210027653 0.955090916669257 -0.121074855040821 0.472573405212149 0.49308828538491 0.0891312939854446 0.242333959791466 -0.0373879722261713 -0.445096350248503 0.870438271186247 0.0658184410141343 -0.155331255824478 -0.912653237826843
"t207" 0.0509074533980385 -0.0898810167126689 0.0852571429389283 0.571852221967726 0.617229435985184 -0.0912286883338189 0.102991678314073 -1.36546567534916 -0.34668814058121 0.244215416350048 0.0044814257607987 0.331646384890622 0.186894403790646 -0.554658360469932 0.413274973482073 -0.0721162834821775 -0.135839514331599 -0.361789681849316 0.0409723406752859 -0.199312261683095 -0.407830396213829 -0.161772665294293 -0.332013661895017 -0.556491532214407 0.662849123877314 -0.100837226151584 0.072183311984249 0.0947245095315458 -0.377003951032294 -0.492636264902339 0.792160064597727 0.24826771444148 0.604600959406248 -0.0962204874648475 0.294431216131494 -0.0699766241118677 -0.283520671196234 -0.0171788674088305 0.649830097335706 0.0831797689183052 0.626734755875749 0.434494496178454 0.234353540432431 0.178244743332211 0.0586299337792681 -0.429893292826286 0.887622847418353 0.193092998360229 -0.30572732488664 -0.888074277294425
"t172" 0.352613345213405 -0.152444933662635 -0.0182698352433067 0.4741083716821 0.470744467010883 0.0909289909548242 -0.270417710921261 -0.917077167303181 0.101555655873444 -0.454325117792884 -0.104140868750473 0.578646742933108 0.24070473642345 -0.444588114994512 0.0947282914647188 -0.826873236686188 -0.160135737461258 0.134211923964313 -0.103822667474361 0.060368552440661 0.0634101419226186 0.011530990780134 0.194246157440252 0.342668863198659 0.0531302456803604 0.412825569277141 -0.0355145143419892 0.0185304559797092 -0.127282730688782 -0.558353837976821 0.68871798860831 0.392380896400406 0.9749255732069 0.073335063535758 0.638297607629558 -0.0235362215801005 -0.256259291065692 0.238275056123278 0.32980369145881 0.170441927956687 -0.155344591564151 -0.0529327827226873 0.103357140345745 0.329150046464749 -0.131924399888051 0.0360774098668177 -0.0582934128263616 0.519125938162254 0.140723896258424 -0.812391979772856
"t178" 0.299232073817279 -0.106660687347766 -0.0751618689721735 0.568588234874981 0.130598024379914 0.137761530582264 -0.184797257351189 -0.586118180171723 0.31351068498274 -0.073902116811719 -0.199540324148351 0.422280279160379 -0.094420549901881 -0.578722562265696 -0.238146486146841 -0.231083221136727 0.126385316496356 -0.189139037584677 -0.43610269441667 -0.136407386567831 -0.209429202810279 0.326629725474637 -0.149128614733415 0.35605381589738 -0.28893008053979 -0.0502012738969004 0.0484904557247199 0.225520396821133 0.0698197350652817 -0.410222976694766 0.355242374938967 -0.122019620530342 0.184733874008172 -0.353959879494757 0.06514003689081 0.42057955934454 -0.632246964390926 -0.237932048098169 0.126374678883861 -0.10530178329795 0.198445695343734 -0.530387971033397 0.322924483367812 0.289562787420986 -0.303638623755289 0.0624423114107729 0.0524397585370267 0.783460039262596 0.0394021378975315 0.00412868480738924
"t190" 0.300857989707439 -0.106381757039115 -0.141774902924422 0.526630577159478 0.236194698721888 0.101206563788654 -0.130350429104125 -0.574739837089254 0.274606635972319 -0.0725400286142237 -0.107740065897076 0.396305785124819 0.0172053038771377 -0.592516735792986 -0.211283114197431 -0.268330711741141 0.201524511271772 -0.216032046392857 -0.484876423826742 -0.102393356037149 -0.152664195957669 0.254624605508689 -0.0873262865617901 0.350299936202314 -0.241220211173044 -0.112784059557065 0.119708684589433 0.196297382407936 -0.0480666866331077 -0.364022828014943 0.423209418604953 -0.16196809777292 0.269105837358058 -0.324722682298979 0.0896330575548643 0.392461222408022 -0.556353073538367 -0.170604384401772 0.275233264436722 -0.0741549672619727 0.221335437719604 -0.635449880716781 0.331638908518496 0.299997730496163 -0.341754600865297 0.135222831196517 0.0125791680552478 0.818100802794701 0.0286254188712945 -0.0212007307797838
"t219" 0.282558376048978 -0.0980506871005634 -0.128042587816616 0.552167249222185 0.225548605771199 0.0852173416463346 -0.127126095349083 -0.586892076957012 0.288752423283082 -0.0794301271312097 -0.0759453816768556 0.42223836808618 0.0442525468382828 -0.564325710410478 -0.238737628210234 -0.256650422376758 0.210986890878806 -0.255664939271443 -0.47767403517 -0.101038844022788 -0.162352789216037 0.281267149026813 -0.0718794086158223 0.348984631558983 -0.258196892902835 -0.104913957478574 0.131405811451945 0.198755607723441 -0.0409718424051415 -0.370196852257857 0.417440215499992 -0.141575029849849 0.26721038510623 -0.311434721773621 0.0853041220151137 0.389175706949985 -0.573328286510907 -0.125450080170617 0.261270223146065 -0.0807894134913889 0.238587625522409 -0.614418070061059 0.296067783325776 0.305992859506953 -0.329439539362891 0.116302382977203 0.00321216643111311 0.82481401597984 0.0284206518273728 -0.0157683298571342
"t153" 0.208768981693993 0.232001843084469 -0.105272696260564 0.613940833575158 0.39505757886266 0.0737630810260624 -0.318366018692664 -0.477922061695397 0.178874966164454 0.031315475752311 -0.0804657759702943 0.300116262202124 0.0256321674334919 -0.489867828080065 -0.403065743105498 -0.334042766509199 0.168190685566222 -0.0732313601826807 -0.480761666131455 -0.134507085266639 -0.14014567703426 0.531798823811231 -0.0353219858718156 0.64763725284523 -0.0735120854261219 -0.296132669877902 -0.160490308674884 -0.00265222630418306 0.0107259169017547 -0.333089554650021 0.226412898764062 0.0296502370551251 0.443111484990066 -0.16055175778146 0.130603641814612 0.178325244130434 -0.602762576856648 -0.123932087091796 0.155154705300668 -0.157275208703616 -0.00741286945436646 -0.537067334042975 0.2795055615152 0.438255033475357 -0.10015644984707 0.2325262681364 0.168120754065013 0.755145797495608 -0.0080935817929292 -0.28411924986559
"t36" 0.367177831236697 -0.0518059278005833 0.12127903825419 0.587164727266944 -0.194644906030971 -0.0328118092404432 -0.108719388017235 -0.623385111757917 0.241120876044458 -0.324448391283799 -0.0879393050170116 0.764213173790601 0.0740285709039599 -0.321173274414382 -0.105486375998415 -0.500010291893379 0.333511848333192 0.345675328787618 -0.629386212389625 -0.140448131099296 -0.149990529268402 0.407455669726104 -0.0809267982389638 0.152088436410748 0.174244618300481 -0.0522868852875516 -0.369076927344176 0.0334196822761455 -0.0582727372467407 -0.194597202051628 0.433968381924064 0.0797974847973058 1.02723799080302 -0.266628332388442 0.486980368883716 -0.387801126461871 -0.499894060914619 -0.460746478600924 0.191282170472683 0.0119498322942967 -0.0944706203989627 -0.176262233323233 0.139912137978285 0.030461551421694 0.0761794587462136 -0.182923738888175 -0.136760949905601 0.833578845237381 -0.304172971443459 -0.304544615901426
"t71" -0.0290654317884668 -0.187836357953083 0.0223096156080217 0.439296690450188 0.271449541608035 -0.0651048823016124 -0.277753348195102 -1.02669064194469 0.158099355928934 -0.636787871701571 0.298777617988057 0.581956395569552 0.443447867636599 -0.814900971507568 -0.200722438829286 -0.244362739998437 0.475041369807579 -0.00510269876839124 -0.660455205921943 -0.163076172560553 0.225992343582444 0.501565121093397 -0.2645665881289 -0.156753579097593 0.265165104111376 -0.149054008711165 -0.466646686936516 -0.159187262171057 -0.183960784693969 -0.287250728082557 0.323904391305971 0.371546804197274 0.76406793402194 0.0132565879841233 0.367861398406821 -0.00581226473788695 -0.30328381637257 -0.313649318837406 0.249711690719688 0.177612378500983 -0.185441480308553 0.105847350164299 -0.242386566442664 -0.226860051070636 -0.0106918420264972 -0.10512317656975 0.123937687198235 0.481537268417399 -0.291853707512067 -0.0972528426755296
