"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"t74" -0.275130893439625 0.0140162722667073 -0.227054470955171 0.322698764480922 0.0969469202908396 -0.0211508000316214 -0.0594605196050946 -0.369025054306923 -0.111672513615767 0.0146978274633359 -0.141518839012232 -0.528689766361449 0.438853275302787 0.12327042509774 0.0554061798263096 -0.325804938523726 -0.090184101849126 -0.0641644019212856 0.0152650468328548 0.132276646784594 0.560777639884834 0.0797192973560417 0.280710522068497 -0.0753049735166122 0.0678970278538636 -0.186048820681273 0.602895016390666 -0.587973810249738 -0.567342060106441 0.23326447949378 0.282991528129041 -0.242752149802898 -0.175897333805074 0.140333954570828 -0.861436725764328 -0.519747118863455 -0.524330417966638 0.0350506215259206 0.0763872945428054 0.281955168989083 0.134378130936121 -0.414500840441778 -0.105909846222478 -0.514845299388802 0.291080580548959 0.0336834207474829 -0.146203812369364 -0.76678221374713 0.722170681146905 -0.266809082475714
"t69" 0.00176655124284716 0.168641743492955 -0.285358230523692 0.284423147907264 -0.105838105684328 -0.453852039895293 0.070581948028605 -0.396457036200808 -0.261013757085664 0.153010340989051 -0.224212537013748 -0.373922194644416 0.177123144751525 0.0229375984110687 0.282565310441598 -0.373229259269088 -0.292872029731725 0.158832409311767 -0.023480366145553 0.195602561065171 0.449754895775661 0.0133102259332773 0.0445156747784234 -0.184951879523019 0.402356706401946 -0.120018753513793 0.301355781844586 -0.968572962701118 -0.69217630967839 0.209463341147648 0.185000174216557 -0.268135955632843 0.165306326342624 0.288043212642589 -0.839430188864366 0.0818308121042266 -0.18577643987191 -0.10459077376711 0.00585145215833985 -0.00785984924582352 -0.222662292535673 -0.192910644408292 -0.288663180573435 -0.420727598430345 0.391581693846915 -0.0102045679960071 0.0310508195945375 -0.541500887029296 0.797291978034721 -0.311433177883139
"t55" -0.0812799760253919 0.300830738382354 -0.65835098750823 0.356382436538457 0.0257399414997985 -0.589586857667539 -0.0917531867174809 -0.313356923605633 -0.19719188301972 0.0971350108198543 -0.129292276091525 -0.49874247888838 0.302830552529021 0.0604661151809403 0.275191548218402 -0.556123748467323 -0.215888957861993 -0.0133900486045021 0.0704515179034933 0.0648666361884475 0.344757353074337 0.377589718086395 0.47456884780955 -0.207076155253462 0.214052577442008 -0.308896739124948 0.314013143387043 -1.01373852356548 -0.59839241230358 0.359000483416195 -0.0440053371504794 -0.23311231899502 0.51867315474248 0.11782779083815 -0.734829530413823 -0.42407112695638 -0.435678303308815 -0.100407338282793 -0.131158451527237 0.217848384912462 0.000384185308551908 -0.420641324760438 -0.149595009831391 -0.517072862271726 0.0139544982250906 0.0974299236192593 0.072447386348875 -0.597912731624567 0.640535234275421 -0.497824287510986
"t49" -0.0314968037645905 -0.0513845446940061 -0.614900569535664 0.224878155403775 0.0237106550512227 -0.760319317833266 -0.0519680323710545 -0.343400272214042 -0.26784990438031 0.269640861422855 0.00177283389609097 -0.321323658571161 0.344121148337425 -0.00114886178574049 0.247799181977435 -0.548520983449731 -0.267521820812125 0.166675215720416 -0.2260378760638 0.0910450647069257 0.553799753803722 0.282086390713678 0.235275927615661 -0.155939323684999 0.139141131620902 -0.379228582234824 0.23867809225709 -0.866540973516235 -0.673085048524229 0.52245982162219 -0.182537622762439 0.047125318369811 0.0783903586984769 -0.0678411922573554 -0.696167405817748 -0.451030849080847 -0.388752380028887 0.0982413918291164 -0.129035877430074 0.249874838375668 0.0405467630595928 -0.13070918302522 -0.134420065841022 -0.361459856758175 0.187731714325477 0.0445513575147989 0.0625533628829891 -0.722003555466173 0.534962902422241 -0.435658720758466
"t53" -0.238070023426391 -0.0619861629767584 -0.533466486400946 0.203159132974283 -0.133488822126835 -0.662220283938723 0.0425090279488576 -0.340610193167766 -0.121496371387445 0.346210949786554 0.191177853152262 -0.497436526230942 0.217539967031461 -0.0115080241747193 0.0542891591355031 -0.628631908553219 -0.430990418561611 0.172135716459217 -0.193618061553549 0.219387056235754 0.520600560640471 0.238404676656547 0.304237831848738 -0.440412999141172 0.10433964626573 -0.0841413637453995 0.250498236253836 -0.694050766744496 -0.586921180304105 0.365706874742595 0.21158043560397 -0.229754170860378 0.354114978197096 0.222182838678179 -1.03809038720874 -0.446691257845595 -0.109162792360392 0.0353599894736637 -0.136309452352008 0.253426818667614 -0.148840472777267 -0.348603599982229 -0.195243280948919 -0.436060872612213 0.0639426804941696 0.128196629977779 0.0387289659708322 -0.483435843969161 0.814603845809878 -0.258366112576417
"t39" 0.328262065201555 -0.46411833514123 -0.572571075047094 -0.421755581828929 -0.237649303302589 0.0030044502204443 -0.0646895741838612 -0.520438222729701 -0.185371469025115 0.172636685105152 -0.234754295693533 -0.444245647392361 0.179004699249182 0.221156060852986 -0.0495500112742718 -0.471040414724911 0.131354149018657 0.153937146668703 0.670542782928176 0.19774534344984 -0.0324177540163789 0.429309903481378 0.0501194163773466 -0.020528592063516 -0.416427483609684 -0.75966610481944 0.169663576414911 -0.586018539481909 -0.535704986787083 0.346990682847331 0.149141113457714 -0.597425328278505 0.123876413691989 -0.00988438017440121 -1.48039798509049 -0.286388520370505 -0.0170561359671278 -0.111917390328347 -0.222285630249424 -0.0911631218435728 0.315358174669683 0.113887624835998 0.58515303991132 -0.438777912310867 0.200743566666571 0.350782738094683 -0.102822520229972 -0.630360482101179 0.744933990951744 0.386099007614584
"t65" -0.060687389395313 0.0481328237628761 -0.20622019539823 0.621350721395851 0.231732969114512 0.233734007714312 0.36460563253776 -0.543738990113213 -0.62239217097166 -0.199805152176107 -0.34539829734037 0.0165957755919446 0.61080493419364 -0.642876357107703 0.599244134353759 -0.289528024873534 0.386478333826545 0.185041931545835 0.246897232476344 0.0810713295548031 -0.0953201662883372 0.333827409832468 0.741390492859496 -0.0838401329241891 0.0238337443328095 -0.563531432508235 0.389435166200205 -0.491401633569768 -0.524115977011568 -0.0411524613714938 -0.353713541799337 -0.932524730590124 0.140505613756879 0.411829726455521 -0.511062800773938 0.26227034538806 0.286227842695962 0.0424416363867796 0.220278954645148 -0.316133710430419 -0.00408036282599743 -0.066092291182984 -0.0664273331088897 -0.05673407135859 0.13218108545958 0.0616985537117178 -0.103691795958255 0.226550594134613 -0.0299809747620107 -0.478037872644027
"t38" 0.0247976996264146 -0.142166718449852 0.532752984696633 0.820473074329189 -0.402688109526249 0.00091733533854607 -0.424319766124957 0.173763731560381 0.176664384778261 0.548028820796703 0.389769218718596 0.153217542693719 -0.225863302160524 -0.793181350055923 0.0732784014301186 -0.0566471748805912 0.0554654118413633 0.112357196476814 0.240027613348554 0.314692535501654 0.28810197630079 0.269841372367803 0.0651249140108226 -0.00204833102885172 -0.153575940399622 0.459702463272284 0.424150566739295 -0.211326129589975 0.60401303656291 -0.0830898978446797 0.0336162851685136 -0.130943354845262 0.856717829604496 0.00455299293052665 -0.13055480967573 -0.310713706646407 0.314909933827294 -0.359540930142699 0.314046910161444 0.40142598985071 -0.545566894731195 0.0405641500285627 -0.93331572236276 0.113212046644174 -0.590962725172795 -0.222875772957963 0.0296522925000469 -0.721815571838737 0.448258934316131 0.612066973221058
"t36" 0.0439235537681115 -0.507692572680932 0.24218595275965 0.775075784708516 -0.448039307928585 0.0528039729690203 -0.808474270772947 0.652621651377538 0.458087761653825 0.246724894530525 0.561424076616502 -0.275974012757996 -0.0192761832784191 -0.570297406383565 0.346888885360915 0.44629523073366 0.0268537253652915 0.664721744570692 0.680902742355454 -0.36591491813764 0.145672060301547 0.236889128086213 0.196034049036436 0.0565977420442449 0.720010034863332 -0.102429754708054 0.536235007931952 -0.299573064029613 0.20577700338098 -0.263730082991057 0.275230776953612 -0.273602837169642 0.641940109469986 -0.111148349527297 0.155340540566703 -0.00848780794851857 0.354477111033175 -0.34881711087499 0.287099313556918 0.785362848728334 -0.648384486311218 0.25811766991127 -0.331168922384121 -0.138218156260811 -0.429899674327244 -0.0811035823485453 0.0220784462368345 -0.637269580676107 0.418288095161254 0.38343748115895
"t2" 0.121417085307096 -0.197307664278993 0.304904461862065 0.868237716216961 -0.366041642168153 0.224367480915842 -0.934858314816665 0.49543312230896 0.628747948449774 0.292888128779185 0.643566908734867 0.0923365141792628 -0.318514144285577 -0.66194646925787 0.350746407086433 0.19639675475038 0.119834028696933 0.470023994528193 0.293001704052409 0.691557480862599 0.270530886037723 0.161483428652245 0.388894692050899 0.0806433396785507 0.782388366792209 0.0120618622098859 0.956497042797577 -0.0729990563550965 0.39004345673807 -0.126915375335101 -0.216723923682733 -0.126681138220698 0.585455262630219 -0.266195391377753 -0.375565070446121 -0.614240490827386 0.196485071392087 -0.0591300961160784 0.584921042924942 0.724759807558064 -0.0794106409342532 0.163015961440738 -0.228906850420973 -0.139038331532172 -0.216508025178726 0.0586309550680485 0.292839607359846 -0.614594979108504 0.186880383380131 0.69892166879174
