"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"t18" 0.444112465089728 -0.648133051230773 -0.338212294271613 -0.0644743628224541 -0.512665732591989 0.537174507947035 -0.0958978590751084 -0.420910576509075 -0.0409937236357809 -1.97957034800116e-05 0.54350618533224 0.357565649924225 0.0502500152580498 0.244721178136418 -0.0392376704670295 0.134529746522839 0.0275038548930381 -0.158346430226994 -0.466461440484947 0.213616809185622 0.240988083600302 -0.331619720491757 -0.249719318748284 -0.552638998045723 -0.525418201461413 0.637689195323708 0.58803924114648 0.231807770887689 0.254666371200258 0.710686963327089 -0.00717477974399966 0.103545049205396 -0.29485128758836 -0.053299403744867 -0.137135932101866 -0.487243551323025 -0.0506794007948036 -0.0374458837372056 -0.287771652932668 0.0997476348410572 0.0570128563265388 0.770052017250558 0.347902335204369 0.310762188067132 0.0687441129772682 0.240371243128641 -0.959617283132355 -0.272607243931246 0.102556203166784 0.10833556536295
"t35" 0.684807861497689 -0.559932849127666 -0.369915807006752 0.273932343128531 -0.375793391118933 0.549478183640823 0.0553690402443584 -0.245318660561274 -0.0570265531864395 -0.120678037300321 0.375854519252793 0.332062359453041 -0.0170600815174251 0.181507471679049 0.373255090069561 0.0517883942736154 -0.0641503931848002 -0.206880129610973 -0.464057265110509 0.030603765924457 0.116458395241458 -0.223871109202726 -0.0666928479530822 -0.444541932257604 -0.737419742146543 0.218861843668655 0.644384000286371 0.14037157386733 0.396537723737489 0.901461076508221 0.0860789358002501 0.260298247343284 -0.0821885685193457 0.0153984044554532 0.0527496211494666 -0.489660052933674 0.25637052410983 -0.118947142755367 0.029029992926504 0.270510018305631 0.0150542502733228 0.701493754433177 0.336766503954535 0.277071256117461 0.0408768853411075 0.0863925577865236 -1.28246611105994 -0.191967134634709 0.221550627963257 0.178898679735521
"t119" 0.195000271169687 -0.803224672472869 -0.300269913252591 0.020908529775642 -0.421242219089001 0.316113205950028 -0.346583235077321 -0.401256134255528 -0.193788028711971 -0.0549913982377624 0.132674181121298 0.557598927086702 0.00336847933147705 0.932716530088106 0.333672477082322 -0.0831176636135665 0.398711737830299 0.0846560430080107 -0.010731236615139 -0.551248964566435 0.00554212065303931 -0.0538320470534813 -0.373776951574633 -0.123281851396951 -0.221693246568759 0.693657191049149 0.349256647424515 -0.0449887867444428 0.249278254755183 0.638359480847926 0.0511275001755842 0.249933094465091 0.176597762348772 -0.114633378498801 0.22666335440716 -0.604655988706696 -0.0677681282506736 0.110110625382685 -0.301619642372429 0.109716873549583 0.218910322656069 0.660387732129117 -0.309269872548459 0.351457236712541 0.0838246454164781 -0.0708856190413886 -0.597716572049909 -0.0718565514137236 -0.101119496302851 0.256222758828916
"t93" 0.00726145292622111 -0.845206528219672 -0.263678153562538 0.254239883321119 -0.498771006943994 0.0439939603160551 0.449558036583915 -0.305022348195836 0.0535380411679136 0.0456847229860996 0.199856697788375 -0.108673144482895 0.261714744526528 0.502433836933765 -0.437954347564174 0.515197102726049 0.268043449630581 -0.0791317759501356 -0.850173161555968 0.0197027195936811 0.648054884081369 -0.221817070542189 0.469090659265777 0.174496376794045 0.460994799166887 0.478972703035585 -0.210522003503475 -0.202898941822631 0.00211999736302647 0.555280166112848 0.158628520475937 0.454648960505098 0.475918018905001 0.0223484117471752 -0.165231726939066 -0.442293726906303 -0.336871444196358 0.185113856295449 -0.18261571115428 -0.141414114436161 0.606741994980919 0.402899664218237 -0.402194767572278 0.0986688790607028 0.260038899981584 -0.00697415136309586 -0.468332273745002 -0.36328789594385 0.0484977996051766 -0.168935658076837
"t133" -0.0160318318076521 -0.368396752808441 -0.919574217659814 0.299972614592584 -0.293946696554585 0.285947294460833 0.244236957815011 -0.278083453897624 -0.408674594572924 -0.14830606713788 0.457614514892954 -0.267700385259843 0.0771979330440987 0.22726327378252 -0.168515874497097 0.206229550450133 0.194962018510295 -0.260282520775005 -0.302154500330655 -0.116041937520835 0.230610307589046 0.097481857916439 0.316844991298555 -0.0151316753998834 0.103785362146183 0.437209448485812 -0.449157655638527 -0.026839313684619 0.689738534172623 0.159002522019302 -0.25577891749148 0.327207867545685 0.677851716174228 -0.44025081473575 -1.1564642078845 0.171521879168956 -0.620505027087907 0.19448207729336 -0.327480980210968 -0.0962120115849634 0.328205994513795 0.991226659414962 -0.224569870327124 0.333394618470665 -0.171547955522895 0.194218499793364 -1.24563267778579 -0.395892106735118 0.244377156657769 0.406991752331702
"t15" -0.0956685234027461 -0.571818845889667 -0.748730131049821 0.105062519923949 -0.342747357567489 0.318005728378497 0.373137426526266 -0.282735805197274 -0.0635846612278185 -0.0548765003843584 0.469047816114772 -0.197210649514687 0.111416795925379 0.144249103691249 -0.0058836451033423 0.333132538295876 0.393396969411303 -0.31540767461965 -0.246892403775604 -0.20121586367353 0.112458267730473 0.21848404588767 0.387365592948855 0.160903425028188 0.180862682419056 0.516698600494267 -0.573383404983837 0.0882196447359299 0.596611831409164 0.136423957581753 -0.0142276546726285 0.0509344475653979 0.669577732407183 -0.514944878294972 -1.13248441224648 0.168728640205378 -0.527693144731208 0.0234354831867455 -0.186982998164065 -0.140176413375262 0.0937342502935503 0.888520848806917 -0.259639909653931 0.347064469705308 -0.0811459453203343 -0.00359574479736577 -1.43878534480097 -0.422970857038462 0.175982810521273 0.483077149156676
"t60" -0.267417333925025 -0.371953661261069 -0.64783956817716 0.294219477054683 -0.284782547855017 0.252711133616581 0.283186662965785 -0.19200637469536 -0.312199747338183 -0.189186872346357 0.413653379029198 -0.00274144824722626 0.378633095645995 -0.000273210997148836 -0.203239877751689 0.543300685115086 0.13915066090301 -0.219910960964475 -0.366918129824616 -0.297198301852158 0.171810075816867 0.204928537640083 0.607136849488751 0.027200923876777 0.116398747378845 0.486686923440641 -0.559462336066139 -0.0833940895682351 0.568462022270869 0.0189854855657391 0.145592353330006 0.29565495994077 0.634523848513281 -0.297155783157961 -1.2441692002981 0.0880827668594756 -0.521546739678706 0.112880444733809 -0.266008204084044 0.044851102297719 0.274615951802956 0.841014613409338 -0.152411339094552 0.490817732185367 -0.254361169951117 -0.0802874932006203 -1.32121244908616 -0.408792753949124 0.285348465247628 0.351299453637211
"t161" -0.260029366816214 -0.417996175645232 -0.61766002949304 0.225835919112472 -0.220547418920787 0.285366909420402 0.347825164414038 -0.22234011770877 -0.361549095584496 -0.224936856295943 0.454360116874558 0.000280531152491063 0.396898957842698 0.0650220403708187 -0.213123261953636 0.499837864719464 0.145329894283593 -0.213147057215131 -0.340872037113271 -0.300065443243433 0.17211096133985 0.148062813252313 0.610118813035928 -0.0869996041536477 0.066704158768743 0.562559898210778 -0.484527527971814 -0.102572809065458 0.606851431118443 -0.0886322343539236 0.110543846379596 0.341960841272332 0.656093002718671 -0.309148165825986 -1.27732037155169 0.174611691691959 -0.461102538210865 0.166108343527724 -0.312447338555944 -0.0132581114728953 0.362746524497096 0.744728941450737 -0.226397036294631 0.410834967975751 -0.154975990176238 -0.0872473938407938 -1.27573879707563 -0.27838369530432 0.184231112997714 0.306907594211221
"t52" -0.0768002991616774 -0.46890908198047 -0.433077256789283 0.00617440252660825 -0.458832188400566 0.284919106152259 0.33699605983161 -0.305619721355319 -0.140466013871215 -0.0345431905311847 0.416565833170156 0.026962911846799 0.0750394403575325 0.593248022614348 0.458023294178819 0.453038406651728 0.353651568696032 -0.402218111326536 -0.246068118806055 0.0232078742922662 0.104507630162074 -0.207165083583244 0.539084840221585 -0.211429755449149 0.244329348546644 0.83619671256126 -0.38248131090694 -0.285041919977236 0.847743222128001 0.143491447986195 -0.378063267423713 0.400640782942445 0.628478008016207 -0.413078650527704 -1.05981793910808 0.0853009439442703 -0.46701414123783 0.21751138727875 -0.47622722091477 -0.0300133342599365 0.300497266831984 0.816615182367901 0.081633928165594 0.521127855173909 -0.254780433010123 0.0629428063802044 -0.976398556929479 -0.640198354208179 0.340120257907901 0.191844776111619
"t23" -0.0687534719558897 -0.432370484154061 -0.430852679371931 0.0987410908563262 -0.507442067773064 0.263625681072798 0.304479008134482 -0.240970081994655 -0.222753803245386 -0.0401329501593533 0.366629137777666 -0.0773713703235062 0.0193932895068661 0.6647617376865 0.451204159791246 0.490246218302073 0.326903804891876 -0.319548370132724 -0.367182612679337 -0.00838804175139394 0.0843023562553057 -0.166596911180761 0.568113515102244 -0.146714232666037 0.224502905477785 0.797596911260017 -0.323068736461045 -0.210977401978736 0.885076488146028 0.170378648260712 -0.34589354064408 0.388063603997902 0.487414928773286 -0.326624029552454 -1.02448015768964 0.12684349421118 -0.395976349470798 0.132192628287945 -0.365746744318254 -0.142523521192047 0.352841008419552 0.737086422917725 0.0287780889767174 0.594349048435621 -0.12757301810231 0.0551177996023823 -0.910864956180132 -0.62127876483726 0.323134430720884 0.162193112954393
