"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"t74" 0.73286387314638 -1.10512976412043 -0.333964862416889 -0.608293910547299 0.43659174117215 0.385140431161164 7.18998867763354e-05 -0.268469199296407 0.141537940102844 0.23740445513962 0.189747428335278 -0.207190860368849 0.226308893783909 -0.761407515188341 -0.148928079234915 0.279721786023956 0.495841825245701 0.43501661258909 -0.4259369710549 -0.529691051251898 0.530028635678375 0.658636093800706 0.10921717230397 -0.0760784645316714 0.357873372001692 -0.254509352962316 -0.371036494273267 0.19764471319412 0.106371033807706 -0.3081006704436 -0.0420676669161856 0.397541883219631 0.258344066627268 -0.476109515497544 -0.385488096239326 -0.181587617001492 1.05763468462488 -0.43142872345112 -0.575900010017643 0.336098570757308 -0.0283457135956668 -0.37854611332636 -0.505606546957125 -0.721559546795953 -0.689126356746627 -1.25679878281118 0.93622113045845 0.159582930749226 0.0636293450478481 -0.255191070620976
"t101" 0.679320975132539 -0.886369955662443 -0.205175919327365 -0.603506636688592 0.411837827300375 0.454229624631871 0.197098810552027 -0.166960558312057 -0.186154151745407 0.264963076056051 -0.0200472675073088 -0.189047422306979 0.208243925552941 -0.665258419763534 -0.104689020616899 0.415426089124419 0.391584211875606 0.18284881499716 -0.405448409177539 -0.744152014943989 0.498868795731311 0.576096154966009 0.0556746874117935 -0.141700271245929 0.56800010932871 -0.257789837696341 -0.355327076634649 0.104404067662329 0.4332523524013 -0.172355447012364 0.231355070459061 0.299407056736517 0.347637511020953 -0.224244975616331 -0.264107585042319 -0.069664926709388 0.975947200067587 -0.445195645787226 -0.496091850162436 0.278806971752731 0.225694412673782 -0.141995297512298 -0.567047068697137 -0.679301495296898 -0.675376320893921 -0.799826353049141 0.80341425508654 -0.0861193770123602 0.0520403014584391 -0.301158848665232
"t112" 0.705450551968927 -0.931122417628945 -0.208769548144792 -0.553897945815251 0.400531853963345 0.507144545345883 0.171300100282736 -0.155583970890363 -0.145924086300172 0.243490050020647 -0.00343360707512339 -0.185675398321913 0.187253531901853 -0.692292380284739 -0.153660003177212 0.423033400302937 0.341501722611841 0.288266678483309 -0.472654280319213 -0.710560233082651 0.544082553292328 0.505527068620299 0.0384261848177227 -0.126748159378362 0.528919660629373 -0.254746538829744 -0.349549154153154 0.125762031896127 0.401268585856272 -0.132148057802413 0.240246857804726 0.319775659358421 0.357837233163384 -0.25714967764746 -0.327411698984642 -0.0486805028959928 1.01486879766064 -0.421494661694169 -0.498751331505632 0.278501208904813 0.245857936218256 -0.12178395849744 -0.595794757964476 -0.704166013120585 -0.660594993018148 -0.811908411864515 0.752586511855395 -0.102381533066931 0.00297759456744901 -0.288852329430216
"t89" 0.748215472579414 -0.981915558177323 -0.219343955927249 -0.751696556500892 0.503663628989224 0.444618996760709 0.170854429240084 -0.200987597669901 -0.249990166420877 0.000530267481026016 0.145897295035393 -0.335860410379554 0.0690272839014192 -1.00667999751901 -0.215095680282424 -0.0563009416886575 0.323046783086981 0.452777581753006 -0.364340490293465 -0.274114624255776 0.66725373073719 0.675539964034014 0.0288534063576256 -0.201201555290462 0.572152434333207 -0.45543017044396 -0.769324285439243 0.0367602106337702 0.101569618359269 -0.0169204782984167 -0.0657153847706331 0.441635353755409 0.389350157523601 -0.553270366618881 -0.737066315992262 -0.156709700513481 0.974399537662942 -0.381104261536381 -0.363599232855961 0.0984772920726805 0.23971593796242 -0.430914427793855 -0.551855894310384 -0.744930364168539 -0.472669898013492 -1.23094716287424 0.710066416116236 -0.21581934595737 0.170702117044574 -0.37234178667546
"t95" 0.473245639244573 0.124472854683916 -0.465009321953531 -0.481987504356678 0.306475175534445 0.281068742699695 0.15605025134136 0.0866773486311153 0.312970795781071 -0.464993680414423 0.371790329939812 -0.40295803977388 0.380235122633364 -0.80894552158999 -0.253366337967756 0.00597584815900266 0.130756684042075 0.318142548989884 -0.169898339145132 -0.401063250658462 -0.00853648795878567 0.0613478112310759 0.457767232533402 0.404036286750291 -0.124805178252946 -0.191976418019249 -0.45330362467753 0.389593917630179 0.0673503909392258 -0.107532487182266 0.18451286040522 0.207735751257923 0.135965057411039 -0.0108881206954104 -0.312509176127231 -0.369123154447243 1.05146232646552 -0.0372072838812306 -0.165669664004092 0.0778607574723948 0.738037413594991 -0.358934690835383 -0.354268753524912 -0.421728484619826 -0.527089778274378 -1.30551251020868 0.550603000621103 0.378611539798145 0.0300253626302942 -0.199264662252938
"t131" 0.790390508632964 0.438696316983549 -0.312935077340627 -0.394271728327114 0.135725691175991 0.5470812362944 0.370989824547345 0.130066923173399 -0.249776133621461 0.571833661993516 0.315332113893522 0.359075375519926 -0.331444285256509 -0.572580696757197 -0.140460259955394 -0.427230294925266 0.500415704736743 -0.516755188060527 -0.0374233665777837 0.0676106437644092 -0.207718222814635 -0.355297315766264 0.237332945856483 0.510947731606256 0.0866084586387437 -0.184225916827718 -0.311699358420418 -0.08731045552024 0.415210344157444 0.260581033616003 -0.683259030499108 0.77545719160316 1.09952415793645 0.315385895759838 -0.346441650816977 -0.694645035690077 0.526694034803103 -0.30812119150654 -0.272483750277654 -0.0202799029915845 0.429426863373698 0.173716539329074 0.261417379248377 0.504323096827282 -0.0771613564499353 -0.556528938028729 0.522042433755359 0.162297919881635 0.405461379682965 -0.24262112216681
"t45" 0.69689457728504 0.611219146953647 -0.150535040087394 -0.374721329530975 0.142489491805929 0.687950208898249 0.438212303985363 -0.0345353234482315 -0.0956443296326434 0.336245612910036 0.248296845495122 0.375607135294205 -0.484026764673356 -0.783402902346696 -0.22862631717275 -0.46944132768319 0.575116786652765 -0.753961094599891 -0.0844711235092497 0.170191760186389 -0.271064305290195 -0.129099258222743 0.0242535726350988 0.298876731735125 0.122944092769265 -0.210958884881074 -0.305645159363874 -0.105526440447784 0.55909513154882 0.262404708164372 -0.808757924850959 0.465464824018579 1.08003390687588 0.432998651420054 -0.281861285017637 -0.678885792761657 0.225280547658482 -0.269555475348994 -0.180348938839778 -0.00444199853430829 0.505117070133459 0.0794399982988303 0.422555084395484 0.554909095702628 0.00384323855886538 -0.549389956189063 0.127502683659538 0.224023062437828 0.350401927645314 -0.327204952894474
"t100" 0.747000367516288 0.502863166842055 -0.210638003175232 -0.335474240400935 0.00028522292471302 0.651609568675789 0.358394704237322 0.0126410401792193 -0.103896988718271 0.478781932358937 0.297997806019205 0.401468442162259 -0.30789778002577 -0.906778341900665 0.00530512565852413 -0.32186113117551 0.365761036303217 -0.459536950582899 -0.0918327389078527 0.198463111719237 -0.129894544362148 -0.148864283666823 0.154260531079184 0.584978292374626 0.176818410293064 -0.118356848992698 -0.365921950185629 -0.0995020861035482 0.475219454216539 0.120840974614207 -0.806254302169786 0.717978850606833 1.22758237434477 0.43122919905391 -0.331731896319014 -0.849838310744082 0.24561402886606 -0.353076205017725 -0.252873356721289 -0.00517238309708984 0.568922113970306 0.0433329498258692 0.346830165841782 0.514809321487659 0.0275492366784506 -0.669315305242915 0.179185844485152 0.0592851735533487 0.515397811487827 -0.296773227843925
"t80" 0.714019223835867 0.380478748137407 -0.275261505047583 -0.319490841266081 0.0292246547605455 0.741624598004426 0.175511398100266 -0.122331579242962 -0.1209131632601 0.264563824313209 0.179127259910752 0.263131479341786 -0.0233162692091652 -0.652299183045494 -0.21207501026707 -0.447232208079148 0.449132548444728 -0.532323755061685 -0.123226946272175 0.186181685300167 -0.357266700959054 -0.132880998443894 0.295145119166438 0.53445462186528 0.0689315205547129 -0.202568467447774 -0.46948692632188 -0.0180499886732622 0.433261032993549 0.173826272731084 -0.687898464827438 0.59675517883804 1.14368615185277 0.402209841251253 -0.345930499605382 -0.896071553110804 0.38570413942103 -0.298910339163827 -0.21767918620581 0.0232991453251151 0.554719565597386 -0.0763925715070235 0.208330676153731 0.452092438575718 -0.0931113290144816 -0.55235853908853 0.288962454096809 0.257270678520618 0.681304052872487 -0.198277814873532
"t96" 0.598421142600152 0.363848433796375 -0.125148981032879 -0.681168387900762 -0.137423244185542 0.853586472882832 0.517709921542616 0.0149154113410027 -0.0542343879400991 0.412580710494179 -0.106295204049061 0.406714563303152 -0.444938946051397 -0.439373949098941 -0.350660943278225 -0.489641889389105 0.228140549377286 -0.227764623616556 0.10903890546382 0.210313052085507 -0.623823239939405 0.156493545219833 -0.204909555528439 0.44157079803826 -0.0602507435251428 -0.130920439601434 -0.159314417871988 0.0080589485797572 0.485006052338146 -0.362698495233415 -0.512019085480538 0.553960493164759 0.815643693433057 0.366080065734219 -0.219981228924646 -0.521807375575329 0.647047068942118 -0.778069350046261 -0.409503071802883 0.177667069005709 0.789909529193636 -0.159699729737403 0.0628542104563674 0.177828031403139 -0.253188104334411 -0.487594011730862 0.617265854366421 -0.0550923762990311 0.465770293952117 -0.160208268874181
