"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"t83" 0.0243192304884478 0.0566938942871731 0.150873327828672 -0.19657363995611 -0.276619588176134 0.600810611901416 0.23621484435239 -0.424114274295381 -0.490079397201472 0.483922150143299 0.00520624437986433 0.394351934057817 -0.174975829176094 0.203361971456517 -0.135150091404294 0.0716592903212174 -0.00727570758530321 0.0776344269256131 0.07337040537475 0.0171144136235232 0.320034950935908 -0.459792915807979 -0.596197455218843 0.438484855279939 0.0417614198003156 0.130603353491068 0.125327481453739 0.767025991987308 0.0822828488188667 -0.00264619345105976 -0.276387811911262 -0.0750768062309981 -0.207432096394632 0.136368277463918 0.452402710159654 0.362466603784903 0.431385431375006 -0.454773600359082 0.215076534240951 -0.136910045577988 -0.0528296122687541 0.124258172578293 -0.065432192602004 0.240046960610381 -0.550176537761331 -0.010308177481817 0.246685589603484 -0.229716186441281 0.205594588912197 -0.0964355054258928
"t24" 0.000923530450817811 -0.00663914087567774 0.145340535358852 -0.0331699523427664 -0.179094877871384 0.630134360211511 -0.150147471176278 -0.0239287615084914 -0.463861633957533 -0.168700823957305 0.710464972893478 0.110149064457287 -0.147935240209615 0.209728084686145 0.00904805526852884 0.0351897336477705 -0.514296440967305 -0.00384409154254267 -0.323815619212003 0.247476157166018 -0.437086107629586 0.0187550110714166 -0.240071871718099 -0.236437907721733 0.187959653774236 0.352306905404425 -0.0845875632953657 0.693869019857455 0.0764128186983056 -0.4645908643216 -0.24336373324977 0.0962129197514546 -0.206772380245081 0.110907337185961 0.413459784835935 0.108577726169011 0.31985955516432 -0.309764749936112 0.137714633999573 0.128508175266585 0.0210189483568481 -0.142446912416702 -0.0585470612438462 -0.00900714145945425 -0.10297245450116 -0.105197578699796 0.529159805328094 -0.076473361844753 -0.36114345384192 0.246138726265946
"t46" -0.190326831643984 0.237517194533325 0.269544366195132 0.131266837295765 -0.34618193863938 0.753534916247663 0.0949311694761608 -0.233131115267177 -0.306329799387485 -0.504093332073635 0.258401701511996 0.300302627503313 -0.380332813913381 0.449930797005354 -0.29610979794778 -0.057946127992833 -0.424163498227831 -0.0789859275517397 0.253685221766202 -0.0568021684795591 0.0120651589712391 0.40956733910824 -0.528962726432362 -0.513066258360252 0.306077407799748 0.605450491236122 -0.116055892925363 0.335778399510192 -0.125137708298759 -0.244097353486601 -0.180612516210903 -0.162239332725492 -0.166169786696488 0.161145991823136 0.178686060937635 0.17199215482942 0.203695718117606 -0.463257429395706 0.274876390502984 0.171971259449432 -0.280422826422766 0.0880642056225079 -0.0702177111078282 0.156236864762216 -0.0257434846054837 -0.128743227999281 0.292124842716261 0.241763049423041 -0.259495134300023 0.169601250754902
"t85" 0.0106154539108131 -0.0876476842846929 0.720178190986744 0.0134209339970201 -0.400388426623382 0.486237841604945 0.464708472884216 -0.182588361903666 0.162166148116569 -0.152270848790718 0.0208536694245712 0.445393163357711 0.145865415634444 0.249453234661043 -0.326340297962662 -0.410932875332766 -0.336641591387066 -0.0746564292734894 -0.0189201422618784 0.220028363635766 -0.145682348464436 -0.251589197439791 -0.791155412422042 -0.22136288010016 -0.208804609253418 0.182625262160488 -0.258640891203931 0.582645605197909 -0.105818106721416 -0.129513591507634 -0.211140506782979 -0.0411269668300504 -0.471482364875681 0.314334300012661 -0.0222676092004578 0.180562035073581 0.103456146885171 -0.247894043755994 0.522075593838751 -0.0647851270651007 0.348524668274295 -0.320397371654159 -0.284724641278456 0.307074660962772 -0.331330346319262 -0.330302875367829 -0.219737130381074 -0.278062919643636 0.253810253824505 -0.129782043880993
"t9" 0.187503274466437 -0.0472819946849593 0.4968480251029 0.0499725690721336 -0.498647072101254 0.276270009607206 0.453888571581083 -0.50080240216169 -0.0692204976575391 0.114264573786981 0.0392000366592676 0.397177462189853 0.198107984599227 0.0621247778376863 -0.42376085185458 -0.182139400274398 -0.125322313833076 0.0405380209590139 0.2691091332888 0.221060490094434 0.00964990526210883 -0.321135800294624 -0.690065886241653 0.0472869831567966 -0.233521311757831 0.222615709708846 0.0377440930577447 0.591433766692533 0.0587716346676266 -0.104687550493265 -0.012248497226841 0.146858316431081 -0.41366269936923 0.220272714384808 0.124331892966624 0.18668862808431 0.011249900691543 -0.316830327699078 0.172444247561833 -0.00283212228765184 -0.0102957686591052 -0.45915994821284 -0.41937112822408 0.235377076128822 -0.0950626609815435 -0.273637863970888 -0.0398433049808048 -0.393346217556387 0.0236813555904757 -0.000158140436584166
"t28" 0.189039943283099 0.228839820781067 0.52367180945228 -0.169023836344288 -0.348854763000425 0.370535863666672 0.472831203916417 -0.422273954772309 0.0309376455942715 0.260963501473334 0.248180736350176 0.27324088278951 0.00897129423214416 0.0550895487751548 -0.586921468309546 -0.136459769352639 -0.167428678897312 0.0553816015982406 0.336878309347518 0.282813159218477 0.192920230329993 -0.348381265904269 -0.653271250726837 0.0504119621659786 -0.23662081230052 0.399584526853906 -0.070970841145105 0.664517431155202 -0.119114252662728 -0.0920735777586051 0.0376902767855397 0.0273968197630246 -0.512671501081572 0.112595489856279 0.235805482157734 0.148013062387446 0.0273586003551844 -0.380542295750805 0.444371587386397 0.184997246118618 -0.0514944167359387 -0.355768069183079 -0.452155042022559 0.128411325959781 -0.119671527893415 -0.0423533440888942 -0.189673873977273 -0.406779971695747 -0.157666072551923 -0.108919211194443
"t44" 0.254750957081406 0.0105884469436387 0.608641620569928 0.179989657802082 -0.0316134071785007 0.383960478084769 -0.000115228046568803 -0.4290775823639 0.221372208786123 -0.409159934112313 0.146112046911746 0.159722991827635 -0.0872771688125045 0.130310250421335 -0.260096143358526 -0.101630151200767 -0.406610727158645 -0.327601645254263 0.026126967315119 0.145442399029049 0.173260584797306 -0.21437128509226 -0.417156615404177 -0.258480298710345 -0.259415156537813 -0.0038421978426087 -0.26753958515746 0.0272417620335314 0.526693329739844 -0.0652153483115906 -0.031961467855201 0.227916350521609 -0.383375776627932 0.0692302859414053 -0.0688332899787052 0.186134184368701 0.0223918129868854 -0.38334183420342 0.470251229822202 0.0465098735017932 -0.260289504907637 -0.345884498650982 -0.468464296273681 0.099228723643454 -0.350966564303775 0.278074723258801 0.0104654343105315 -0.322898509156056 0.407146990756941 -0.15030147643042
"t93" 0.139984255763222 0.130383629144013 0.395983701895497 -0.0130207188441092 0.0640250017099114 0.483674066528555 0.156574424373235 -0.430491885081753 0.115176508032224 -0.31422220681579 0.153794368129985 0.151306616883251 0.0535998995939245 0.20927501339725 -0.3640422555111 0.0277816864194659 -0.180546059218324 -0.143076862115867 -0.0739779118947192 0.192892900957563 -0.0466989054326749 -0.40918965267883 -0.55784512928102 -0.378568550603 -0.393403603169067 -0.07042153689247 -0.0267842758944014 0.0303700464684751 0.382055197211493 -0.155288934211146 0.0556281326509627 0.131513661960055 -0.334378979379914 0.124648875055793 -0.22338560747126 0.303139025615654 0.23729344697378 -0.393467611664479 0.568631278873922 0.0226477197732464 -0.261265563026265 -0.283655737168764 -0.301749234325095 -0.0783202552281042 -0.303650529868697 0.242157773938472 -0.105118869844077 -0.228016845538617 0.188747138074239 -0.162121348889687
"t57" 0.20830727796104 0.0852805635598181 0.392194318974223 0.0478620739306869 -0.0860402582445716 0.480428701815662 0.124516162498797 -0.508703124540849 0.169278812802021 -0.360232047208944 0.0487307184786401 0.100337518791715 -0.0469657197558801 0.150409877422133 -0.348046588654675 -0.0748199146135022 -0.307316015667885 -0.108873726785429 0.0144721090519837 0.169613497392898 0.11458697111051 -0.167496382058317 -0.556131431070179 -0.31848637249412 -0.30874748029819 0.108525361881521 -0.126409208024995 0.16292522737642 0.336776752075775 -0.262095064872127 0.0453740966682536 0.234373188582536 -0.338328814847009 0.158503591581059 -0.15611308446322 0.262399123245572 0.194329626409893 -0.306792992018094 0.537282512668647 0.0818506836584727 -0.260377999873923 -0.388852199568866 -0.391321486295399 -0.00597331219032366 -0.330844796605511 0.112028932510335 -0.0204957149803557 -0.276290026878755 0.118783485907584 -0.108412588335171
"t121" 0.22692507030721 -0.0140648189645518 0.391433683010151 0.0511621925034652 0.00353220272117377 0.218439035968798 0.082865742973519 -0.247776774337324 0.179876156025437 -0.496736481886668 -0.144960654524895 0.0812371583120663 -0.17563403691014 0.231777427952249 -0.237997306884879 -0.0956849226065542 -0.247462741441042 0.0803499034645625 0.0924728378868658 0.413269959507311 -0.0283001783771756 -0.349817604344704 -0.828075306123429 -0.205417973213689 -0.553801489522903 0.0910676888082097 -0.112841878799439 0.0359253177188116 0.437884307446213 0.0564434520806666 -0.0973776729203613 0.268057224239263 -0.291784150250968 0.0680463926467561 -0.120083472444363 -0.0732526273678437 -0.0385687291671978 -0.371638728143524 0.366359134621921 0.00584518905810467 -0.353697586762284 -0.382669830603996 -0.381317931319848 -0.207505297625269 0.00301668823191599 -0.0268754203041246 -0.307568529602919 -0.125941730250375 0.0828484849230773 -0.0474162970821957
"t51" 0.028929623794561 0.112426749775823 0.259860501250592 -0.0839083621564705 -0.362243655683418 0.223825992882732 -0.0790630730701122 -0.319009163564693 -0.00992233307257666 0.0724284344645894 -0.430365927810993 0.201750344578046 -0.00490321734350632 0.281568727148183 -0.323640184264105 -0.187140820996694 -0.571620349573985 -0.00568380055408416 0.0137537409372026 0.536138071289827 -0.11015344585143 -0.314003118612159 -0.927745911260294 -0.0127228291565348 -0.129067334950875 0.555954925029999 -0.162791615159519 0.298859967181132 -0.0210876665169521 -0.00940995867263908 -0.258563424354285 0.0972537868288002 -0.627759495505539 0.29118605128426 0.387640609453977 -0.186375862629277 0.241772688586673 -0.277792045730389 0.45975569911964 -0.267883716645822 -0.296345001202962 -0.39219148214579 0.191365082461012 0.472082846919534 0.409741677065987 -0.219007513327811 -0.237564474295671 0.141277593455098 0.367206908303116 -0.31677120069741
"t5" 0.143478213207404 -0.211620549250463 0.382148016957801 -0.277200327318562 -0.527180803839294 -0.00552332407853171 -0.108621743900691 -0.317617259530724 0.0588400607768933 0.120049608086505 -0.295605869486782 0.322279499702323 0.0865119280594326 0.167613300855212 -0.277224577428286 -0.228940918918439 -0.477137099868257 -0.121714466776449 -0.105102185348422 0.478423757037706 -0.0385612569933793 -0.360649292642852 -0.640445841378166 -0.186515422445084 -0.0626942907531237 0.369636172007519 -0.171667717861905 0.502412426776362 0.104993898377344 -0.229718593744254 -0.33354368927311 0.200509458576145 -0.629018226194427 0.294516505390445 0.227091704199175 -0.175974155209569 0.264330802529149 -0.407769708453221 0.597312676004553 -0.261509232412957 -0.361556174766086 -0.368099046659954 -0.0177897667162709 0.2926653555866 0.29317324444024 -0.246602621243292 -0.311275629015311 0.0942735880043849 0.0706776371228886 -0.382163060775653
"t39" -0.0405181828836446 0.145830689156312 0.514075481125163 0.119389194645133 -0.550740763290816 0.154961554005855 -0.0502785008673984 -0.450149302753188 0.315854931567716 -0.3632454762811 -0.254782430306262 0.161812417110728 -0.0223825058158285 0.139460884605049 -0.301629917911964 -0.460417203937434 -0.00440359262549273 -0.265385082816289 -0.322467855278785 0.349831314856744 -0.248217405560357 -0.462205454822457 -0.581523364648948 0.287788049550248 -0.210682891315812 -0.228495896038771 -0.405143063429159 0.367007814664068 0.133680341483127 0.0723527478928072 -0.503766223895604 0.340363083175577 -0.334630602180833 0.430977400399493 0.258867139997578 0.0228203330340104 -0.153943965295263 -0.659660175238666 0.525051612945604 0.0986514376364785 -0.370061677467074 -0.239640131036543 -0.101378156522895 0.159732691876383 0.363228938542414 -0.253398060878739 0.0149877560369945 0.344884610167031 0.19020505178098 -0.407556903035538
"t88" -0.149363263454386 0.114136156918454 0.376478847916557 0.0418979598948822 -0.685323329874953 0.217375110537635 -0.174447022036792 -0.549954888797698 0.317204423216046 -0.0644705838995863 -0.23829853615799 0.357778939372385 -0.207109845163995 0.288212915096038 -0.289368381789871 -0.428206643840971 0.09083262226781 -0.225188906513736 -0.233276467236828 0.26071078806619 -0.477598113972999 -0.609145621467155 -0.712039417017432 -0.119314795023611 -0.281264800057436 -0.393911001595879 -0.393983604345699 0.54546482324054 0.175680470057164 -0.0198305494867187 -0.221997264412322 0.262624668230125 -0.475840727520241 0.661343253849546 0.115336472348024 -0.105215321299001 0.0454472070100758 -0.416816781295516 0.379460339309868 0.238706644701694 -0.224751442771732 -0.306154082267729 -0.297930580045864 0.0828453934858427 0.120897800756354 0.0473400758091311 -0.15205984274468 0.137000273872774 0.192075541043364 -0.489744483408952
"t62" 0.411954891200508 -0.0380630537050217 0.545483072155906 -0.307134901834554 -0.0847454981166265 0.0744570772652537 -0.112159074607273 -0.318853886056717 0.504093661060991 -0.304169955048862 -0.0497749341295192 -0.0918696000790843 -0.0806881874832117 -0.0312291380236024 -0.698375292071278 -0.570895849171718 -0.032152710746419 -0.0753984189441389 0.356630188783063 0.365168762577714 -0.226461539015067 -0.559775393778842 -0.766780906325918 -0.431450246128293 -0.222866282268413 0.102288476194681 -0.310989704835819 0.412374594419641 -0.0980093233324779 -0.0737270696972553 -0.288113538261404 -0.108482010661091 -0.412938387133647 0.700071432472446 0.452897955086133 -0.0566729555872416 -0.039402945225072 -0.506590787878563 0.461647413534557 -0.015746266808203 -0.448211280754879 -0.0697072366524849 -0.161909880529174 0.627976845208531 0.162824384351878 -0.357352976980005 0.0766550872586465 -0.0312000911639656 0.222822505231881 -0.31899452233965
"t59" 0.530453334870232 -0.0588444147951231 0.430380489599732 -0.229254248424339 -0.310156957728128 0.116749596235701 -0.0379239563326265 -0.447691175768488 0.619227592910082 -0.183630566525795 0.0545447954760543 -0.0237220895447165 0.0152687085816567 -0.0429995633124214 -0.578990650262689 -0.527360156563554 -0.0771606401089858 0.0187864910435032 0.306716806719091 0.393016729450586 -0.271624325323432 -0.462185576628375 -0.737718201441827 -0.41288053716645 -0.380645130448818 -0.119751371343391 -0.211520870254193 0.34760789063756 0.0117209569251557 0.0226889516027815 -0.110202458344659 -0.0221337471257481 -0.39304151963913 0.712175492491148 0.339287569478253 -0.188755263785395 -0.0145862824648218 -0.445630255513965 0.440767018074147 -0.144538515288919 -0.489313865334607 0.0395175880900712 -0.256515568100945 0.495370568462137 0.0207706651072242 -0.246984148139327 -0.116226090781726 0.228987159275051 0.105510511305575 -0.204716542893458
"t90" 0.437490100922884 -0.115815421004598 0.539470746745814 -0.233844474527365 -0.274854401072937 0.253358796867778 0.0438976943684193 -0.420264832909208 0.614288597284198 -0.141190622939785 -0.117748793312641 -0.00109293534398173 0.0292211471567217 0.0361750016024605 -0.517888738623776 -0.471529192313785 -0.0278251613596145 0.0324897107498573 0.402386181720174 0.4530198372931 -0.147720072153986 -0.414815604838623 -0.760957134182465 -0.361245198448703 -0.429001010534037 -0.14847160139711 -0.131002576068634 0.302362556408808 -0.103193512348374 -0.0463892608550567 -0.198639218364351 -0.108787310923162 -0.31027580113933 0.742047801463254 0.428388483248364 -0.217947315596483 0.0153605257129628 -0.445595878173752 0.325844007619969 -0.168733691460636 -0.566919546517699 0.0942268613534891 -0.234535630490146 0.495933659629653 0.0364328601261062 -0.269723234483041 -0.0735888421441816 0.144524234059646 0.265227353502793 -0.161183101600564
