"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"t39" -0.284734411502082 0.233336065450837 -0.317332683208198 -0.433157417440148 -0.0911499479299664 0.0485726126046217 -0.446115906992595 -0.45696824998061 -0.0269688760477429 -0.0488007562871642 0.00524359590558363 0.0909122363409418 -0.17254708749457 0.523065575920229 -0.551750561700562 -0.207991515669936 -0.734440864523932 -0.29587265632821 0.264433469255066 0.506581250929375 0.495500251318297 0.524569467990398 0.851089709062135 -0.64367002631811 -0.242842436433563 -0.43837089439795 -0.307566649751611 -0.0395828784591139 -0.343279445393499 0.127795766872684 -0.290685577032663 0.20352031340744 -0.527019008614764 -0.55255587701319 0.196232187894666 -0.0888697449009841 -0.0346422565947061 -0.0734984380524397 0.689543643685633 0.181882203373333 0.135411574657897 0.73462709068444 0.354767423699235 0.700005363954534 -0.0949133110769195 -0.05836935580361 0.595310876437917 -0.0710362726812041 -0.092491178647589 0.191280102319965
"t14" -0.24084789481635 0.0638869975092584 -0.353807426749359 -0.29571014901619 -0.204106977094813 0.0988504878095066 -0.515639567661127 -0.430713488964964 0.0244987135980024 -0.0849911832427157 -0.300752487018569 0.0898075114819774 -0.307853396843855 0.339918445702118 -0.762603882107523 -0.231431008526953 -0.541236911313981 -0.16223248019544 0.297617673111514 0.430271614290083 0.236661206265719 0.593850152568493 0.809781252387488 -0.631830908737599 -0.162772752180208 -0.422154067467482 -0.476771199693895 -0.0254094092402652 -0.150158032204082 0.158388659404281 -0.218654564775831 -0.00129929009089517 -0.416102361790565 -0.715100799261921 0.310626759733109 -0.149853230554589 -0.0962013245288428 -0.192405860570271 0.660113353485588 0.140836135782244 0.0379708091049543 0.606362643997313 0.134935265552153 0.816462349876666 0.0964916161774821 0.178824083346943 0.587049242339775 -0.231521900031943 0.0327816927641952 0.378220630290426
"t170" -0.1850675416819 -0.154211005599969 -0.0407530978583696 0.133457163117763 -0.0775193138588348 0.381486558718322 -0.301147605865843 -0.171471451468179 -0.158197520286917 -0.0526934248366025 -0.15867374900987 0.188327051087809 -0.192018805783392 0.552816065639648 0.0253645584166173 -0.990741808253074 -0.369146178806698 0.41575505860341 0.106121521653614 -0.368090307741965 0.383603909113089 0.346663089350286 0.349190953469494 0.0486180138774585 -0.372011939546318 0.278936300370506 -0.235462587092152 -0.137397441785462 0.0167717287575855 0.224828599956973 0.322748503072862 -0.582353700287814 -0.371443992213555 -0.167672489826505 0.31098963435329 -0.317057225132441 -0.639446780365592 -0.141325826197354 0.911974607772149 -0.266872362347449 -0.154037330642505 0.476793810390521 -0.629409691910519 -0.333548818414337 -0.225412601638214 -0.349515222440439 0.295015532842021 -0.341074996143492 -0.448732780090237 1.06462133316558
"t90" -0.226344811308539 -0.284014315136448 -0.170024932227541 -0.0154469612826263 0.00752598972160815 0.494941784727944 -0.223564638571638 -0.320917781172097 -0.0902827150454844 -0.22642672803472 -0.193208121255455 0.263533166342457 -0.166322512742259 0.635036007051284 0.0590491534683966 -0.883909268508541 -0.593033486245361 0.298881222222747 -0.0848199806278587 -0.195034634800949 0.308694418796625 0.349927125413004 0.83969315735807 -0.192244651620306 -0.20021135666403 0.285344138462111 -0.645547030130402 -0.453216466955739 -0.290652252099534 0.535491667712586 0.130271594527997 -0.528697102963213 -0.325032989757323 -0.172093437509551 0.0405104722169199 -0.163006058874031 -0.746605392181249 -0.120369659621163 1.17834878101861 -0.0946846171783816 -0.360472990587307 0.735179967619606 -0.400426012553057 -0.0929321615372039 -0.268988137204361 -0.329845098129894 0.351253546486988 -0.331281682190072 -0.533574627888267 0.977873404962342
"t74" 1.03800429337472 0.934479502344969 -0.834460366356849 -0.0504712865706698 0.155412300580369 0.236217363562508 -0.243335732460011 0.367536316521919 0.381023498961386 -0.222261514680615 0.0262579551931166 0.203421125383455 -0.217277838966264 -0.0949904472117626 -0.228449603641891 0.400558529165258 0.19175941958693 0.748196223495895 -0.0804636159778012 -0.277115424995601 0.171994554468147 -0.280664345359351 0.000407016454011991 -0.0365056388937563 -0.269583498719835 -0.414824917727532 -0.337009947849426 0.391208080122063 0.636509542534213 -0.0571372291818263 -0.264316853940432 0.579063906964134 -0.318310929038102 -0.575587986875143 -0.650109390249386 0.235800443787685 0.590592748092597 0.23415530854961 -0.117316384144331 0.599707766624559 0.0055141099882117 0.623175047637797 -0.773987646563794 0.634168482293591 0.424891287734787 -0.214762664426907 -0.984012985853585 -0.41339183140028 0.517936221418505 0.0924594254365627
"t76" 0.92792571076676 0.731446381822077 -0.750682394162015 -0.179442615380905 0.115922886658838 0.334068300640094 -0.43643369484975 0.314033610748762 0.448702599854682 -0.242437306823107 -0.0429098822298913 0.302893013432633 -0.146258521655486 -0.0429699072568222 -0.173461799545358 0.470043562996937 0.20754711349083 0.708461201947331 -0.0344066935273667 -0.316256597453063 0.352334942798647 -0.16309714742008 -0.012026934343306 0.0397783225218076 -0.224554516314856 -0.373748478351817 -0.454833114570145 0.439980669724896 0.690746976166017 -0.16054015159147 -0.288584450421153 0.436087351821058 -0.316824327726518 -0.505539981698565 -0.732890060833273 0.292810584072806 0.496304270491512 0.297017852481528 -0.0199229374330132 0.574068663474525 0.017905082881548 0.662669027730606 -0.69079374773022 0.552123222978636 0.590229832792821 -0.277158843134316 -1.0681221681414 -0.423664296463998 0.550463817165182 0.0739471095248388
"t105" 1.0011826125204 0.862161949583192 -0.378161534556537 -0.764256811011141 0.174618354450485 0.362713821965141 0.329527878545458 0.503152929892776 0.656054367073532 0.125200285227807 0.515846444236903 -0.127605124625533 0.112994950512836 -0.160818244627349 0.0698349306061351 0.602393562517964 0.160624636664795 0.10962157551841 0.071191650372799 0.246903756195567 -0.148429817667587 -0.240005918598701 0.447359019521559 0.227242924473173 -0.254897115584604 -0.232242253934183 0.279034868503999 0.443980831733008 -0.110431329130872 0.15011609371948 0.00366119432715638 0.826269238301886 -0.0572701171328983 -0.664520781200421 -0.446521792616857 0.266133149216931 0.647368528914915 -0.528047301662565 -0.609415163397437 -0.058057585693966 0.337829197725421 -0.0929963288439732 -0.692209430619392 0.657129584583385 0.565857076344242 0.179975981473726 -0.736106157418903 -0.0608401709551408 0.058569413717002 0.330373361735257
"t72" 0.780498430668828 0.679678566018425 -0.77497351319165 -0.769882983429426 0.353563058302883 0.331016057354932 0.145208133435893 0.252346050462566 0.674657015144788 -0.0816753675230348 0.968203576699503 -0.236063753119125 0.482534565605999 0.0225238144535171 0.381202439504376 0.575067162977261 0.125856947760688 0.0075668337379733 0.167249610906189 0.590027314508454 -0.025901701038911 0.111250006729419 0.0466626238260532 0.26297959411642 -0.47343835634671 -0.310711241954705 0.103459438846373 0.523593275661017 0.0581616843804227 0.123598682357824 -0.102846212641085 0.863341513933396 -0.377591525351775 -0.648326847597213 -0.527425017310048 0.570050884252804 0.664908328060225 -0.5561508569223 -0.368886988972789 -0.131968805828546 0.320820210483739 -0.0539413227774231 -0.563496096939354 0.903821875138128 0.586188556956259 -0.0587813731170777 -1.00016034729187 -0.0183256582349848 0.159307469793441 0.545858990885546
"t151" 0.662959667291237 0.699635108151451 -0.653421406616899 -0.757124744806745 0.251949136447075 0.345232565147648 0.19092643063183 0.0916663122825621 0.719275601980405 -0.0983006613581837 0.874544796624522 -0.230549883080467 0.449303059771617 -0.0700152462447802 0.310561589062049 0.557561419684396 0.147359195335067 -0.0630927738804033 -0.012803875056927 0.563274238548953 -0.0491136594261424 0.130458367101595 0.0271718254222354 0.353507435191298 -0.348339844723999 -0.246515496618164 0.101851079445904 0.481551872992845 -0.05918251363371 0.126765824511812 -0.126581019985526 0.696945226891546 -0.471390945656508 -0.620216309117643 -0.507202129506895 0.573984997679995 0.612916603257621 -0.400691288932795 -0.306543256290617 -0.0404679695641408 0.273108775813946 0.0368306449544686 -0.434774282393783 1.04481195922325 0.712542067681206 -0.170701839157587 -0.8770307137484 0.104732744053993 0.244625614225553 0.502168009109679
"t125" 0.637182492813862 0.787174924575951 -0.839548394335054 -0.663304334230202 0.336187343443221 0.426949312055153 0.607665195050626 0.507655577328919 0.480137490877614 0.0222628054601063 0.683601842531193 -0.161190526799756 0.509347463416221 -0.12681153533878 0.0144793855554842 0.696087571145032 -0.0103906077612154 -0.0149958651621489 -0.0517695245461083 0.5881131623063 -0.114990812091539 0.357297105751561 0.0945061977541916 0.128866018628188 -0.300295623435332 -0.273856460158002 0.1848311686549 0.497786183878514 0.174684386139306 0.0100323628053306 0.259007140468243 0.982512027356949 -0.39480224074964 -0.626947846947621 -0.117899460150131 0.496969819900155 0.406742904972977 -0.632365579380925 -0.619478141679679 -0.000628393105159678 0.417082259716951 0.0018377777440571 -0.414792647521112 1.04393225033508 0.532853332161056 0.00425407932284861 -0.789384240275903 -0.24793571131251 0.109287135735137 0.13746294489589
