"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"tip1" -0.321412285659654 0.282561398658984 -0.125438308216403 -0.589440278290644 -0.0112418857710531 -0.0439682753885113 -0.0812943145729922 0.175453335163975 0.0141895330608399 -0.117787001736625 -0.166524001759176 -0.278385829909796 0.563617610435248 0.0816729178140499 -0.350588819475821 0.121278785455609 0.348719845176381 -0.0253903773097014 -0.0696340208314332 0.270368546711011 0.117671325853384 -0.0661747960130814 0.228955326864369 -0.317329914878029 0.0667819962827739 -0.285496862201623 -0.0796874471593034 -0.0580470517762274 -0.266882482029793 0.214019445768005 -0.247054237575939 -0.0273097816273595 0.0943338683713866 0.106039887560271 -0.171842550814407 0.516187177005104 -0.123708460155293 0.0451438723970622 0.166980836540959 -0.219188960942809 -0.0993324827903723 0.183483848393057 -0.00595199730538766 0.242162895588759 0.0697337209558915 0.140454096087236 0.0730791989524942 0.00543594685704669 0.23109703326903 -0.311263156240494
"tip2" -0.282537857502687 0.272753421958059 -0.102117431601151 -0.504701174595119 0.0686842909344424 -0.085104324998262 -0.164454138628101 0.113856971040071 0.0575256815174802 -0.0945750018466045 -0.148625165126822 -0.41304734403418 0.559283839269874 0.085437397693171 -0.325967909647554 0.0741057444522211 0.285552963656643 -0.0790304855218589 -0.0684314762308762 0.356830734385579 0.0527769401722416 -0.113222936431614 0.237501074543222 -0.29189758053434 0.0850685089366047 -0.28941083403886 0.023006037089895 0.0271292798050521 -0.295932549810975 0.287445274680661 -0.190793423999348 0.0690747093132196 0.121946821442107 0.116667111595994 -0.259192281272999 0.585014879049673 -0.15276562857067 0.00923472106697597 0.0796005717638243 -0.276406418102447 -0.175308251857849 0.119113243064676 0.0259196190422831 0.242902601814363 0.00289880836570829 0.243121780575528 0.157192983719247 -0.0810100795679281 0.214766253585072 -0.337525148606445
"tip3" -0.266943734469379 0.257826750441785 -0.0642332505009634 -0.541568819158417 0.0637461909820017 -0.0738849502164065 -0.162127502914866 0.0939048468379813 0.0744479810387648 -0.103878780789442 -0.132479543320683 -0.411576949950088 0.540431074999842 0.0768549973317568 -0.354814483496739 0.0858748104683743 0.283106063231944 -0.0667097810225488 -0.0936602169354342 0.353311607126629 0.0902321827676282 -0.0872170261064905 0.285606360329639 -0.259553096774374 0.0834259300886998 -0.285960927428071 0.00962466641514901 0.0162785374093091 -0.291896200208492 0.306211923179326 -0.214265398287177 0.0727082910920135 0.0715647388652103 0.138830255844413 -0.230483095636038 0.603739358110644 -0.154774919176997 0.0145128713906769 0.0799603783237971 -0.272156063413702 -0.156096265974807 0.111848849367282 0.0649126765936532 0.258386899263167 0.0159516671066805 0.239160630599666 0.143702922012781 -0.080989014928055 0.187213839105238 -0.355670890453348
"tip4" -0.269894985783481 0.248784913938285 -0.0617059635542271 -0.544698715557842 0.0689347165166937 -0.0753642841985959 -0.169964131356945 0.100231688509908 0.0808113522896296 -0.105914383105154 -0.137138837702557 -0.40873602724629 0.55201313092216 0.07910589163693 -0.357163285520786 0.0793221649867156 0.293515850761983 -0.0597355463560607 -0.0960982295909361 0.347170969519696 0.0823175852849936 -0.0829499532687971 0.288197858494014 -0.271256100740938 0.0892085116883386 -0.282447799914369 0.00970025295774124 0.0184894332066443 -0.302267177465141 0.310110458248697 -0.218778822322774 0.0695074282378501 0.0803584738217338 0.133701088282388 -0.224214622921077 0.604003146840524 -0.148967474935154 0.0125235028495757 0.0739076683527805 -0.25882265518238 -0.16032125465454 0.117093130198863 0.0704197884953484 0.255505187046108 0.0178348474378342 0.241495223557624 0.150152484229199 -0.0871494429227212 0.192455761133285 -0.345910476687549
"tip5" -0.297545692648586 0.268786322495366 -0.0669691516167169 -0.526394784030587 0.0892293922234451 -0.108358652410312 -0.150464578978062 0.181525515260422 0.0498866911738149 -0.0147749015465582 -0.136749942312638 -0.343130176870244 0.576892545892753 0.0987538083308263 -0.316722528977846 0.13645146487162 0.33454925172244 -0.0514047142818666 -0.121997035630553 0.362226138536134 0.111418924132939 -0.100086010942094 0.256580134209925 -0.278862034432165 0.0354840963299185 -0.32098107935272 -0.0295641360200987 -0.018407649237168 -0.258051644620786 0.223087751489104 -0.207858921332239 0.0888027626167748 0.0761629894643653 0.121980114960155 -0.308896522129122 0.629312122998906 -0.0715969189315986 0.0496796439871733 0.151460627863618 -0.341506074859479 -0.228117557999757 0.0953054846142844 0.0224059650672568 0.312255745692892 0.0463412695178574 0.267962322009304 0.131678711168634 -0.104367591809679 0.216107015623404 -0.327413263425543
"tip6" -0.309847492868995 0.247328614150011 -0.302243318518467 -0.397316646675526 -0.067342121208968 -0.0120442880496043 -0.0435339881607614 0.129598118895542 -0.0471405991141423 -0.213379215095858 -0.293261454641436 -0.134863219807801 0.313365918310721 -0.0416025341450166 -0.122839961836297 0.196236289084476 0.223877433236235 -0.126511533739741 0.0268136265786293 0.353607272439651 -0.00174294036693061 -0.167238748753159 0.316466524920527 -0.309732624920617 -0.0771126995481514 -0.345238630831491 -0.279721898163242 -0.262029354275991 -0.151882909807016 0.0409299932817051 -0.241071521382327 -0.0159233578985926 -0.024851116113188 0.151983480015572 -0.303300869337146 0.742759281480722 -0.218574686226466 0.0218905924884629 0.0956037986706995 -0.194224621991824 -0.184566841450039 0.212136903882038 0.0976031594955653 0.274727059172142 -0.159124809860768 0.0114377114672345 0.0242298789886819 -0.199792393916495 0.24807359998916 -0.181579383453562
"tip7" -0.266685285465973 0.337343039634857 -0.420391493816193 -0.617535967259183 -0.216621870555827 -0.0576157944148097 0.0328425094845964 0.0438919779310319 0.184137251013381 -0.388526084467145 -0.322229674402588 -0.248426348410965 0.25547439376131 -0.0706791524684948 -0.443696549312937 0.273165496926207 0.368624416035138 0.153254009133495 -0.000808994102674565 0.22239959311762 0.157247237615407 -0.16607382891387 0.280344952748562 -0.296858377398505 -0.0418617693569019 -0.188738920028915 -0.0319776957381097 -0.282605444803548 -0.0667698348579159 0.218918505020472 -0.0585079423708532 -0.0538737192673437 0.000202267616373188 0.0689571630553363 -0.308291886547748 0.538252549929713 -0.169309269861161 -0.0612114343361507 0.221316740479717 -0.107689057777993 -0.124485707907524 0.115865132850231 0.0846250325425812 0.260756560800519 -0.118109559289892 0.0172429992425068 0.0446548829484739 -0.229633291622521 0.20769693610322 -0.205682641486583
"tip8" -0.205151596832741 0.325865284296521 -0.45842390853952 -0.585055778119099 -0.283677565060189 0.00771788876669914 0.0493637576379127 0.0512221643796299 0.149079858286902 -0.403136996940403 -0.192582051306855 -0.245060016900672 0.286336826204722 -0.0541775948699905 -0.29818098009605 0.235895478772651 0.295303997362691 -0.0406186237543359 0.0522272955964942 0.375832382518944 0.100806103979742 -0.0543256193313277 0.192534585739747 -0.222354769230925 -0.284144188478463 -0.295570726803911 -0.0618451732603396 -0.417847814457867 -0.0456425374670744 0.242861666286529 -0.099937649983475 0.168148864727759 -0.00278603351702808 0.0383825982504922 -0.149819082592661 0.459150424542407 -0.0544284901138053 -0.00982960949131284 0.15556825153798 -0.0776573639696879 -0.108389437669744 0.0622985098426211 0.0727782698347131 0.204267206330592 -0.226901260882607 0.0832824266393909 0.0354397255364314 -0.150430676363461 0.0236490721915826 -0.251093856293037
"tip9" -0.204515997415389 0.330862326738069 -0.445726880831997 -0.564729402261275 -0.257763960232482 0.0325002741956657 0.0872843949983875 0.044263525155584 0.139619427254022 -0.400417123278398 -0.192435727778752 -0.228559860097116 0.306422088754933 -0.0740438451494151 -0.324082155919231 0.263106534088198 0.303441591075366 -0.0498225142687789 0.074852475712244 0.356568960669284 0.0743538794341004 -0.0736218099818013 0.224394953136807 -0.262664285636087 -0.248537132976629 -0.301504720978332 -0.0925754022837229 -0.399403589319348 -0.0342710421259427 0.239530309445981 -0.116805276825235 0.14950509986091 -0.0333141863583601 0.0283362728064671 -0.120115257431547 0.445785731672044 -0.0882078656804349 -0.0364243253182356 0.187156766882941 -0.070247016398016 -0.13477974169006 0.0447622152412146 0.0826447121654572 0.221287768248478 -0.230404693326938 0.096290916254672 0.0593622221248022 -0.171278527853917 0.0157918597919014 -0.258057831116752
"tip10" -0.109106591749872 0.353062344082812 -0.407175026311279 -0.555964134432843 -0.166682856085925 0.00760980587844287 0.0751047934335643 0.057188943291096 0.124344007368686 -0.347384421315854 -0.0814849323182218 -0.284195981069933 0.32668495145772 0.00793463709513403 -0.306128370152608 0.304386257257902 0.415585857605045 -0.026729566567663 0.0396018431929624 0.302843451087374 0.0111951187218602 -0.0609312351484495 0.341848405579002 -0.303002537153664 -0.21193146280134 -0.302019424271232 -0.0422110751596744 -0.407287578929044 -0.0927109596614565 0.235965043103867 -0.217531946825344 0.0434624641435053 -0.0102309711539491 -0.00700864320245567 -0.188771168681166 0.474750873653746 -0.139837977590451 -0.091305785204012 0.163798184825959 -0.0907083449772685 -0.127142582714633 0.078062139518707 0.0740400520652141 0.162670766409661 -0.294782987591406 0.10890014730236 0.0715467963448139 -0.235394104102864 0.0523325920929734 -0.224912785975106
