"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"tip1" 0.111690866965697 -0.23698367612849 -0.16945570989334 -0.404954040710982 -0.0974579126845049 0.109237472041854 -0.075970688378343 0.11162172908521 0.00786190988937119 -0.123700538741436 0.403486669019897 0.0411430891499893 0.217155887464757 0.0229491748583681 0.499792550985627 0.0360528957219934 0.293483668809556 0.0767420290100586 0.148370905368368 -0.03999897027348 0.427871370199408 -0.0499038539806482 -0.374592951197717 0.0871066683545897 -0.0980302517435135 0.0700119807066327 0.258256779696419 -0.565328200164742 0.0359868412444189 -0.0213390024034375 0.208615606957393 0.206204082078792 -0.0816463317888854 0.283698244636372 -0.297475217711919 0.101694035137107 0.0635548015826329 0.163093995282377 0.177769724365947 0.153950851196892 0.352184590563264 -0.402998467565579 0.153550949893787 -0.538535922735622 0.163232634342252 0.170200907224502 -0.0839897307748228 -0.44671293707183 0.296435363541386 -0.229491319584784
"tip2" 0.108102511165818 -0.247074699959428 -0.27931887522778 -0.402293427856932 -0.156756237804479 0.166450274749633 -0.0464060095781739 0.168130936514714 -0.00936721220508402 -0.119653648649122 0.379484724241858 0.110584754547456 0.131182837879402 -0.0132609246620724 0.529946733761477 0.0307890875684263 0.289926649004572 0.0145141650562412 0.0468831241008942 -0.05425056913162 0.392085973525937 -0.0979854648093215 -0.310089499813058 0.141982587782474 -0.0988273073970185 0.126857862554866 0.263298427459021 -0.526684190332674 0.0878892042250553 0.00857542631944047 0.106305798374933 0.147632177542246 -0.107706217128988 0.193284928324865 -0.187551644796571 0.118558981948411 -0.0301254349015025 0.0844856909040573 0.114190239287949 0.156895325249379 0.380946226689351 -0.269372558645032 0.0582364451481127 -0.561671082411476 0.257373569135211 0.19171740030203 -0.0519093618833478 -0.484379740433378 0.379336313583477 -0.290340461302703
"tip3" 0.0887419739767527 -0.259425398249842 -0.294174710818085 -0.413051031807002 -0.165923005542887 0.177258918872421 -0.0377402629937332 0.192908164222094 -0.0218273459653121 -0.139398871527426 0.379236065866936 0.140274621075874 0.137781303235497 -0.0343894260753038 0.5621183318104 0.0231426429395437 0.295204888853171 0.0569200300706047 0.0620401822290598 -0.108487945356022 0.382974977646132 -0.101871897269694 -0.280252637519056 0.114849349922864 -0.0926931001614095 0.142612423581613 0.266180787005486 -0.543078793201388 0.101309902542741 0.0267948077753127 0.114052578860621 0.162500438242228 -0.110550915661001 0.1666522011859 -0.213858960579338 0.10087674311257 0.0219006036768687 0.111105671639048 0.126443900668457 0.139874463047892 0.3679294993355 -0.263270329423703 0.0536443908584794 -0.567255896242743 0.227050508197924 0.179580405017456 -0.0692155186949545 -0.497345402331652 0.385422738397773 -0.290659458734903
"tip4" 0.116906080429559 -0.254121542374417 -0.282074382161561 -0.394202020687354 -0.149374469453898 0.123127413210438 -0.0671057933788342 0.18571370323414 -0.032446562809514 -0.102674559907078 0.375522848997548 0.184060708441528 0.146759589513806 0.0133137179115342 0.506022119909642 0.0550096430034579 0.291116783276926 0.129773143681591 0.0688825092388783 -0.0726157305494683 0.402080712046623 -0.105204057089594 -0.2722915797075 0.122433959200591 -0.139363353835116 0.13315000237537 0.236679553327965 -0.567685433612658 0.0834845551532762 0.0113951371239632 0.107397154935065 0.14609692728514 -0.123878090564817 0.195675518102742 -0.207041677698698 0.0875945314969082 -0.0114143542313708 0.09692701323185 0.13624803761855 0.133490649379612 0.355150199017152 -0.275520943217729 0.00127786241057559 -0.506583887126301 0.254197081737206 0.163525565288597 -0.0763932659189031 -0.509957960157446 0.4129806914686 -0.258924359919368
"tip5" 0.113988293142236 -0.229282025489366 -0.295768152300265 -0.396764799146588 -0.102388564756917 0.145384782341994 -0.0203634749564181 0.221916816182754 -0.0233139342386851 -0.093383489121003 0.353863155625202 0.128570946920752 0.175051746188993 -0.0199782456702666 0.542523048391906 0.0318071555234037 0.288587754806844 0.0678615184244613 0.0727866440289996 -0.0679686446287599 0.398951509967526 -0.0795654694325606 -0.283853100294671 0.125844361442995 -0.100061540517485 0.071726797891648 0.232196273848459 -0.557359797758114 0.0894950945201425 -0.0271048637399701 0.101814424905412 0.152424687764274 -0.153577075490245 0.23352647788636 -0.217593378113448 0.0921981360593096 0.00475219692593256 0.103391510999889 0.127941425264769 0.156877635843701 0.354497224806345 -0.30560226092093 0.0413313621975621 -0.513285160855922 0.22783449982753 0.183752783840459 -0.0896000137673507 -0.529277793355741 0.396059011327445 -0.285612442283372
"tip6" -0.130447678206359 -0.267886270718973 0.254556193442683 -0.36062851842338 0.0894365083720867 0.0465165855445646 -0.110815620417989 0.0836801754702381 0.013260437206335 -0.138214364385188 0.393189690238527 0.141511765296898 0.027907057549209 -0.336704463542353 0.2282761286701 0.13592185938334 0.0775164187700361 0.140061264944365 0.170843448252894 0.0955117023876871 0.531974091746125 -0.170051528751324 0.1518810961344 0.228785025265165 -0.266693407259209 0.15557235962659 0.31095567815664 -0.694255415077068 0.268459553776306 0.258354197653186 0.0142300779160781 0.0660182825307194 -0.531178127107615 -0.249956064967225 -0.38452307961656 -0.0163972246390154 0.119283458156983 -0.230684423699894 -0.0480372816367044 0.230672202444621 -0.0752440696475749 0.0046095262121203 0.106846311515799 -0.335395877668213 0.0714391768084993 -0.053315524467689 -0.288255205753438 -0.626162308495846 0.553869616185325 -0.089599905460933
"tip7" -0.0489860579731623 -0.25332402385149 0.0527351478546393 -0.38163901396399 -0.0960670891321993 0.246189555011787 0.0695282247029999 0.268799970759526 -0.00939249536654292 -0.126132890959974 0.261984489609461 0.0540443707701487 0.300687756965006 -0.236314480568533 0.388765568140232 0.242109736741624 0.463931542357486 -0.123110202189378 0.0417431078881962 0.0974694333753984 0.279385359146573 0.0908460987482206 -0.147353960710134 0.0294359441581509 -0.100593901168872 0.134615266371629 0.235233408349981 -0.743436376039481 0.0323024327851664 0.217127906517264 -0.240179927282869 0.00166687393198021 -0.397919989526965 -0.139101456321883 0.0635513154617078 -0.353362338175114 0.428055380656048 -0.0349118628601698 -0.0729475227043639 0.204347996313712 0.215981429657897 -0.126059778039613 0.113095009922056 0.00916548335360579 0.204772422238801 -0.198693345456139 -0.437814543675274 -0.518903463766847 0.317520943004982 0.139483526372222
"tip8" -0.141045572955901 -0.315838467032136 -0.0330957533565526 -0.312117103572659 -0.185680946308793 0.146890782557463 0.0476965535824841 0.353538708784253 -0.0758494318616626 -0.160869953900871 0.227287969522853 8.28792077084417e-05 0.28084918031686 -0.199186736064763 0.448884693291945 0.183484110802535 0.50553346008308 -0.0519892799540902 -0.00303876776365956 0.117533671511082 0.315872220690719 0.200652643707954 -0.207155153895021 -0.0123329341773686 -0.0672614694273617 0.176059436030591 0.0570124129892073 -0.665190015761477 -0.0201940257843565 0.19604847499668 -0.254371535518096 0.155517666202997 -0.311081748733278 -0.139545611196253 -0.0119182356850376 -0.28956577993948 0.487970405463449 -0.208735986587307 -0.0406232754193395 0.176676954304856 0.11128830695337 -0.0944728897148747 0.133679048502042 0.0110273008769204 0.280868581859244 -0.210966494333925 -0.474888243732488 -0.637779290104468 0.300150939932611 0.0699474368347004
"tip9" -0.147503165093703 -0.313578767371397 0.108379817538052 -0.409441412422078 -0.164266530233257 0.121787782511124 0.134455164296443 0.263156530717074 -0.0475112762759173 -0.0585895401270249 0.183149942144099 0.0267593532600067 0.325144170716288 -0.232784813816118 0.364593626466301 0.160072877325776 0.444387759187638 -0.116772206447278 -0.0266058789692165 0.135533039298703 0.297187605352831 0.196326810591905 -0.243307476497355 -0.0221358093156988 -0.0708104278348038 0.241520291395302 0.106486399258437 -0.758129985513497 -0.105268207374124 0.190229450833991 -0.2316547791049 0.0507838736788845 -0.266086687615564 -0.0763727909018359 0.00666320946389469 -0.303115414525092 0.461074017256993 -0.175099214733688 -0.062620447771481 0.203604638220824 0.093149977307857 -0.14719762303021 0.140010686933718 0.127821206565922 0.295639755084858 -0.156725655325553 -0.481871027837011 -0.598898511832188 0.334387093207806 0.0413209327005393
"tip10" -0.114887884743951 -0.339060416477449 0.13131853024495 -0.321157066496813 -0.138418781807688 0.184440233267066 -0.000174392247473441 0.320805691647885 -0.00605817245676665 -0.051117299030263 0.194780699160639 0.103615719680763 0.296562552196988 -0.229650255348243 0.371479056283886 0.245357663966222 0.383958139735907 -0.0646876158519792 -0.0193940872328037 0.118210985588013 0.336823693815586 0.18740688692603 -0.145364566974992 0.0478178531401882 -0.0726449928987793 0.159142805259781 0.15488695348029 -0.72532611103898 -0.0242062027501316 0.296483994982769 -0.186462563500425 0.106498902601981 -0.334691144704806 -0.14305826887965 -0.141521119760385 -0.259739427158784 0.425448564172037 -0.133673690090306 -0.0518078948732192 0.214048325862194 0.036043740498991 -0.0785040477423111 0.149920233077614 0.0845077638657189 0.223743678470691 -0.206689569236311 -0.43639123893986 -0.583874721032308 0.28438424265162 0.0494261998615181
