"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"tip1" -0.335782847397119 -0.140720982912391 -0.402559092823456 -0.224525027565087 -0.432177111369536 0.495263808038661 -0.203632406232591 -0.206037978307685 -0.0862318871366091 0.0241900542476217 -0.212050214341171 0.568941252821734 0.407661293844822 0.243301231943737 0.215543461137675 -0.29209100906365 0.262409993685541 0.0813065833681038 0.157716398702305 -0.252987338696534 0.157694486925957 -0.409428198810549 0.509634022335028 0.105066410563807 -0.125732829074558 -0.177060011398875 -0.461176782743137 0.192335634186336 -0.377168934214534 0.137803918930952 0.16273883334174 -0.531020483279434 -0.373312694681416 0.189647616884424 -0.418481849365212 0.0350461698204249 0.458202963983165 0.339524668275638 -0.568962147035489 -0.230429360621976 -0.0850423292587495 -0.116749964906341 -0.0776709905661594 0.121618056155554 -0.321007504567523 -0.167280751491783 0.159495495253406 0.0189614074532049 0.0418866454425248 0.150138285498612
"tip2" -0.283709162446694 -0.132076790431302 -0.491076134698534 -0.161467977950963 -0.434440356069987 0.249797829604973 -0.30462520966437 -0.147256614046947 -0.0345428173915334 0.242884052465444 -0.269359018520645 0.335175266919983 0.126777166690501 0.111477067108968 0.198589691940397 -0.0684856076190623 0.184351450347229 0.0585538429670781 -0.0463548727196247 -0.377812278593435 0.270263225702032 -0.250280445671211 0.397830578195335 0.0650489435278595 -0.0812685562505066 -0.323180900410706 -0.404112650124892 0.175182197171434 -0.105338712897381 0.114321124619146 0.214056327338054 -0.255897462474269 -0.261337982033158 0.128765794559444 -0.25933263991243 0.00591240415802964 0.644834045606657 0.145317154241106 -0.431520042221029 -0.327300412702828 -0.150659399292106 0.0881550952960538 -0.105815871848652 0.230140974347489 -0.242440719206904 -0.106617545712414 0.323899148309904 0.139259208645226 0.107542912380761 0.224569013812519
"tip3" -0.300580967092421 -0.141821609963603 -0.390539243120471 -0.143476599880889 -0.406774707822626 0.276761114443913 -0.314612395803581 -0.134026290700843 -0.0316838773543345 0.233307420498565 -0.323124657357871 0.309553980094723 0.168467893747085 0.0764587081999086 0.221878746686773 -0.0667925440202555 0.303670500795438 0.120972552951846 0.0121773907519089 -0.366881349872038 0.217460453336366 -0.28885140276496 0.434540476975603 0.0567325625812801 -0.0516018034466664 -0.264674086566056 -0.407586103742916 0.132155807515372 -0.081174053571397 0.132837228672144 0.114975049965263 -0.303727039396273 -0.288616109864055 0.131050667305771 -0.31694688275026 0.0597163497920682 0.624207997033179 0.261747330001216 -0.471515537390834 -0.291607742153256 -0.170519488479106 0.131252866355805 -0.180084414189549 0.207821987344946 -0.18468624758747 -0.16168077821107 0.392832845113552 0.0827960107569003 -0.033333170129029 0.204972654954163
"tip4" -0.29521625002439 -0.154587280637027 -0.413059210139846 -0.146166085296188 -0.409354452859392 0.255960591656074 -0.3153538931128 -0.149360178119639 -0.0022324696299173 0.208987137552711 -0.318684346825678 0.324702379515092 0.180165019665373 0.058411918726281 0.246902502057416 -0.0829468137092773 0.318795187703965 0.0839550795300413 -0.0134827880466464 -0.36148861576994 0.231289426172532 -0.328701207711176 0.442767335714875 0.066430397813674 -0.0678816700775003 -0.250369883618 -0.371789724293763 0.134432890587063 -0.092657089985865 0.11097949064984 0.123717251683417 -0.306511132961763 -0.315552945950826 0.129249023730758 -0.302243217739148 0.0459189512853307 0.616588800089841 0.24216928903829 -0.458521582363717 -0.296313993969473 -0.135139467627828 0.126607024773828 -0.173628778750119 0.197008863411812 -0.184556367369455 -0.152825720027889 0.385075042231726 0.0691970436790044 -0.0460845703433478 0.210174376330991
"tip5" -0.302467377641249 -0.13640971185858 -0.443908161988356 -0.104706941926988 -0.396651627166734 0.251399780724321 -0.348722876129908 -0.134135179371883 -0.0379985344439613 0.216417429527952 -0.293281692628597 0.359503896966114 0.136824632302826 0.0984342185462872 0.228344731616578 -0.0723013557172949 0.29808067095724 0.0898335598375482 0.00712397694117164 -0.326633263985049 0.234671095608949 -0.295932951752436 0.42106144932513 0.081715368968188 -0.0885882463187894 -0.257918686493423 -0.424903328888576 0.143276776140079 -0.0873423672111905 0.128597357099481 0.114235999358013 -0.324857227309167 -0.31104180766719 0.104181051701726 -0.305418545756607 0.0741629708715056 0.641198444352665 0.279628396274492 -0.493003832100845 -0.293852473811682 -0.146606762819214 0.110144968115085 -0.16527747925765 0.195524201535026 -0.211399171021532 -0.123033421597546 0.346429282274322 0.0893645586576013 -0.0599143931523484 0.186846845465774
"tip6" -0.331179663049647 -0.0955433638467293 -0.375632297600836 0.112833649420044 -0.40954414234616 0.232488095914957 -0.440655798138425 -0.158209047455264 0.00369659371489127 -0.012540905072401 0.094679750250677 0.0545047610509098 0.153598614449466 -0.0258945192371096 0.0719038277527391 -0.356311121983044 0.0017765004220948 0.368495460231466 -0.0690247374140925 -0.563277152486412 -0.198709778735643 -0.287634719251519 0.347638282089612 -0.0599959752859213 -0.127050876265269 -0.297284183636259 -0.518439247019623 0.261933556934916 -0.0102498653008903 -0.0532011379667825 0.258284505233454 -0.232271595687659 -0.1660533798159 0.193417499000639 -0.377519571422699 -0.113943093697702 0.628977765356638 0.23843847059957 -0.535554375115342 -0.271640585885761 0.126826085725408 0.0706780750048536 -0.095600833025865 0.505449388615971 -0.361019406972226 -0.478407974548852 0.410425424755261 0.203699896795649 -0.148458961466522 0.266019154745981
"tip7" -0.296412280786588 -0.166723504177139 -0.335690189307915 0.0415949273181506 -0.308336885328814 0.390640137628668 -0.123144952976162 0.0944798008017556 -0.14926503737307 0.196330858499017 0.245092368706747 0.0543172116509214 0.149219486159351 0.0216923285556478 0.217969042574135 0.0287529305942468 -0.0926777477563226 0.333646902872807 -0.0571568246960431 -0.24595198162395 -0.163430306464193 -0.225200737300457 0.526009233437053 0.229298901472931 -0.359251031754604 -0.0930776705949476 -0.522484297547798 0.212235342496503 -0.080182015934183 0.245069426747579 0.107659676350583 -0.41551892416307 -0.164322858797747 0.147751186447943 -0.148913613754982 -0.222028458291431 0.3116856769298 0.406543167149315 -0.449720470278986 -0.460088686188685 0.0275769948937166 0.114433557640293 -0.0641260673240496 0.308919795256049 -0.337905897918854 -0.266825019536868 0.674796036298564 -0.111790495048714 0.117767922905924 0.131854847907648
"tip8" -0.316714991241864 -0.0943275458622409 -0.274003499759124 0.0363644192040311 -0.245911016012482 0.27859748623981 -0.0380592193737683 -0.0535103797765989 -0.113532881004275 0.0335420986212666 0.17882655590298 -0.183505925380837 0.272333925676983 -0.0700114057863404 0.0306146218982732 -0.145893439881173 -0.119391641312172 0.308833200108355 0.0531796465206585 -0.159279970589963 -0.126428772518491 -0.243683243544851 0.516227936111266 0.28818406356982 -0.285413826952369 0.0155124982839384 -0.447504968933041 0.108238693835653 -0.0499907940943019 0.335073758890289 0.115595433853319 -0.359933472322046 -0.00788914958523798 0.055533717817481 -0.194975219040164 -0.255254405962829 0.506019241652901 0.365194198382532 -0.514945501913197 -0.390607511153293 0.0493848718928004 0.0541653117037147 -0.103080951504747 0.421745700825711 -0.470499469285958 -0.267916153062755 0.881244385262264 -0.00434407703775834 0.0522893433510441 0.0570228333241468
"tip9" -0.330197147298023 -0.0924980520397939 -0.27503502838578 0.00440403982845078 -0.245429927674559 0.286369653982128 -0.0784453086087579 -0.0448173265715767 -0.10274937497114 0.0122690645475272 0.172546072712639 -0.151545202657377 0.287405184100863 -0.0689334974892482 0.0481487942273715 -0.157372771700109 -0.13283794918943 0.317715660828424 0.0349098616895708 -0.156913821501835 -0.120898212270932 -0.263438789960652 0.493120939876468 0.308173984450223 -0.344673792643548 0.00693062102570621 -0.468052780520412 0.0927177174753856 -0.0914022272123528 0.333268528218876 0.126565063498305 -0.329044696502061 -0.0124822087266474 0.087293026307475 -0.204972032241998 -0.266936802281757 0.483180936250512 0.378872812409284 -0.550651223461294 -0.427133901368906 0.0265209625023582 0.0621773090968651 -0.105539739487549 0.423463211882889 -0.464175907846781 -0.231548532837254 0.882908142733199 0.0136070955337215 0.0632391176822166 0.0630120242930868
"tip10" -0.402285408894206 -0.244527101887511 -0.308174926761862 -0.0930807516246564 -0.317294239173478 0.435583780602493 -0.20760709464344 0.0322708861276201 -0.154243045736623 0.248337701033602 0.229265662827496 -0.0896350254835372 0.240235163293709 0.0241946989891392 0.0947273276676026 -0.174928318280391 -0.153477836965559 0.230390994190455 -0.0631030390060189 -0.275737202596931 -0.0203254238694148 -0.197285217651623 0.432390716525452 0.261393742413226 -0.492377019717291 0.00931152595365048 -0.363174270022595 0.0637091020720083 -0.037073547803016 0.301992787587683 0.0945993667025327 -0.463294778705113 -0.0891762294403989 0.0958612652009951 -0.34828367693638 -0.155488512086798 0.277930409962247 0.392594770157176 -0.548536053638444 -0.364569470399918 0.120730109543157 0.155301869060175 -0.0542640307349448 0.343536303890401 -0.39738876439659 -0.201895314626005 0.700797155289503 -0.128677501319347 0.0935022139766894 0.117891311982274
