"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"tip1" -0.211316470416697 -0.249094811760035 0.0936206861001335 0.0399904252073965 0.0488706213985885 0.106526080114831 0.0717500337838058 -0.141417626836375 0.637322240000536 0.138591050913895 -0.28639852291231 0.00775832141916893 -0.364152113048106 -0.3273780743205 0.0935188176226569 0.293401606150474 -0.331168813364733 -0.202945222982837 0.528302738156713 0.175000131808979 -0.0286121452146398 -0.0169589687073307 -0.30074067141125 0.192885407771248 -0.286524823046855 -0.007645220479179 0.230022443749478 -0.148996398012708 0.0703957460345294 0.0966037316192425 -0.117415335756821 -0.590710794611494 0.27241405980198 -0.458425086696665 -0.496707557868946 -0.0223754994160998 0.0201664512915565 0.259455318340542 0.0226129094855044 0.0777545812498206 0.25933060666598 -0.197172479071584 -0.213679168509165 -0.130040503553197 0.164257050778636 -0.00506430688712565 0.00112267670440807 -0.245605643928931 -0.418132072235497 0.0388651993798128
"tip2" -0.0993790005231787 -0.356776144519691 0.0352447621733533 -0.0294162817949579 -0.165818261465195 0.220261949747081 0.228765517231239 -0.0903697752791492 0.32518018121134 0.219252145620659 -0.119268508761828 0.170406459544049 -0.163627768020692 -0.331902425504153 0.013392344831973 -0.462778159711425 -0.169846581081471 -0.043794229886767 0.136639666067707 0.257558620274044 0.614891628182461 0.303755452407376 -0.225321444790865 0.195918421293417 -0.118777700777864 -0.204477927921938 0.167895519636149 -0.0191279304084629 0.0395986215836434 0.0201299999387709 0.162632534629647 -0.70362774536179 -0.0501715960397438 -0.528653106808894 -0.257344370097217 0.00179070727204452 0.0346829518387906 0.301728327699412 0.184618529154225 0.123306703174176 0.161918248277502 -0.200443466884128 0.0454873759546218 -0.00114860205781466 0.015518044961703 0.105846591536994 0.0299415324740919 0.0382226935277731 -0.254449089876051 0.000349948354271646
"tip3" -0.129734968794463 -0.469484806255099 0.00214156656478505 -0.111612274909738 -0.133344327290162 0.149648370682435 0.204057674462727 -0.0623468053765511 0.263855653794829 0.22859678633194 -0.224252303663015 0.128199297058706 -0.221352417510633 -0.431176993577156 0.0161468887700936 -0.338413278865944 -0.17498372813014 -0.131277364582771 0.190231360711535 0.231116664504746 0.563800082953276 0.322511167743604 -0.101160633747758 0.116133509165559 -0.214377186797704 -0.120058957595144 0.226419947004292 -0.0394355558530087 0.139483804877645 0.080048294395009 0.173847051348738 -0.638684319263417 -0.0933812849372177 -0.596661493105406 -0.265386143010799 -0.00526431552250209 0.0751195705167884 0.29567874526582 0.195731956137915 0.114745693829665 0.165092911667963 -0.224806554013978 0.00381968669377796 0.00353400040293519 -0.0135175162897304 0.0783324442626613 -0.00757955027061125 -0.0388546238444645 -0.278011524320641 0.0581302996875611
"tip4" -0.10141267900638 -0.381772738773204 -0.000614026132167491 -0.127236509164193 -0.0861827832792078 0.194509537267486 0.151708778502175 -0.0325717689032252 0.336344099801107 0.188770656113333 -0.207435500053331 0.19294036861956 -0.17559414838121 -0.3544850815293 0.0577839704033402 -0.39129943191116 -0.17905232377586 -0.105582946208924 0.228083633030636 0.265116524900588 0.591180891688559 0.390538207722072 -0.146659680114711 0.179333750662015 -0.190357432032404 -0.187264349067555 0.301609527215819 -0.0710231311156731 0.12233016176811 0.194536403368543 0.129667688439439 -0.711523098866731 -0.101152105904208 -0.651796741494037 -0.259226702553351 0.0668232328018728 0.11299185914828 0.260478532054526 0.176976494095041 0.0859409049929572 0.0947052202960375 -0.226835391911609 0.0476162757762909 -0.0273903463353695 0.0375957678385034 0.111742146157246 -0.0576514182174497 -0.0400793812732722 -0.292710397257661 0.0391281382530871
"tip5" -0.121081594890938 -0.405597567336097 -0.0100555531840688 -0.13593249007503 -0.0965791044303328 0.197388310888047 0.148974632192582 -0.055888124663319 0.375012612605269 0.187077903401196 -0.196583420558089 0.194632951762264 -0.183226378521098 -0.337281748157777 0.0303035336408284 -0.413717744751752 -0.163789027915228 -0.0855882592132206 0.225583164547794 0.286059005288353 0.62825668688835 0.385682360898467 -0.177574030133533 0.185112111201353 -0.15288253784639 -0.170017939905985 0.316461328878111 -0.0431750242362023 0.145899840433226 0.205613099717756 0.133353945392789 -0.743929566764548 -0.0794874428936471 -0.630624333904492 -0.25548539513958 0.0818063877502127 0.105193667662485 0.264381470688185 0.167506645742832 0.0820425665204121 0.117145551704182 -0.215400090314271 0.0472642594411977 -0.0251204039426799 0.018741676681742 0.0792948135934762 -0.0175262819236924 -0.0657619826122683 -0.293931942259624 0.0297023537060998
"tip6" -0.356980106092164 -0.126959467219956 0.209607672218179 0.0404032411320046 0.175560089013907 0.0874297271405454 -0.0669492024291557 -0.0136617509288373 0.458054268335766 0.360247990966391 -0.104042945917791 0.357207042817017 -0.0551477560744516 -0.212142994905222 0.0882470004666003 0.0279906567909024 0.169850656377012 -0.140679480621953 0.479376626755659 0.235100314353206 -0.0828003522361378 0.0479764360531923 -0.275287094025767 0.214635398148312 -0.297630122390263 -0.224864224096711 0.351679910116551 -0.0566090913237072 0.202346890723605 0.159726493649922 0.301343552553721 -0.189300530841753 0.126713139220052 -0.0994617236029546 -0.297701823289054 -0.125514796225018 0.136021723427107 0.11697555702821 0.527332246487284 0.207455337359726 0.102837215563428 -0.75149569621373 0.0860277462272881 -0.253828330253352 0.399562651409479 -0.0726259775276462 0.10714817262792 -0.000526218999075536 -0.121167143359437 -0.165507887670204
"tip7" -0.539346189117263 -0.258107695573956 -0.116655929487441 0.11101449254874 -0.178283777052291 0.153507579417088 -0.00861468911508637 -0.0710990843383202 0.269276264281402 0.282181354566503 -0.171337275726696 0.0423553506427948 -0.260052079284668 -0.25069364402695 0.269120662908397 0.117001159982301 0.158172528487945 -0.0416993594176524 0.382806965085195 0.39300797568256 0.0319071706722443 0.169966133641774 -0.259714815707902 0.0852404155328409 -0.221545003210459 -0.226037111951413 0.306713849546265 -0.175424010174951 0.082971274682361 -0.071093607601999 0.0759915092383404 -0.548225841607161 0.287412291237755 -0.0312804633421082 -0.602124081136685 -0.0871849338160307 0.222560518722418 -0.108691240815157 0.135100038205475 0.226944884165556 0.104859604439717 -0.574174156330981 -0.0378134468650164 -0.232948425762562 0.204265815203738 0.0307048353518631 0.027439351708146 -0.0551020263999344 -0.197812805996865 -0.0820268869612555
"tip8" -0.481573557086234 -0.273553704078787 -0.0513982070254025 0.0941569040329056 -0.18488055350642 0.196384728620933 -0.0436748424023923 -0.127055395408693 0.276112738531561 0.253092469947904 -0.248073280189957 0.166847847501097 -0.10201444756319 -0.227019908206862 0.293859046719094 0.0895799171399681 0.0394907093306772 0.0640202636067015 0.316105332800765 0.278469732619964 -0.0137086051951218 0.29200522890409 -0.240381734271012 0.2024548728667 -0.243356093220508 -0.326397553262354 0.330957936844546 -0.119109859682644 0.112070751509407 0.07734535787371 0.000614015742350019 -0.541457416459012 0.318140645441553 0.0099895540412515 -0.549280339503784 -0.0829856572572798 0.138916737351087 0.0113185203907982 0.0760964889767742 0.216043263289865 0.0600377329486465 -0.607417229891331 -0.0407775261213348 -0.254848086373165 0.345340577485102 0.0975045093624548 0.125127562446476 -0.0751497740225397 -0.211711886764936 0.0511859247212863
"tip9" -0.476216145675498 -0.286881649422622 -0.0705141884916849 0.0906636775628501 -0.203988610592452 0.217199079149788 -0.0312588527354193 -0.0927305169162986 0.266988932222674 0.215493868503227 -0.273423988187423 0.144033611161723 -0.120049875929746 -0.248645578342465 0.305943119294867 0.114556538610418 0.00494218678362159 0.0365125521999429 0.29555387290777 0.285912497878608 -0.00607842825700495 0.293277965176985 -0.247254423918515 0.150591856563902 -0.272885854047096 -0.310497840810842 0.316410641135407 -0.106639418676139 0.0894183036784244 0.030754298869855 0.0327054258846124 -0.499813487587482 0.33091519549027 -0.0149702059666355 -0.557416348369222 -0.0552248370763794 0.129903467027641 0.00540479578554305 0.130622366074293 0.213363689535332 0.097844558014993 -0.641046637767035 -0.0745363906154341 -0.236765248546599 0.335211299821099 0.136825413664602 0.0987997131003137 -0.0443380617782435 -0.219798668219432 0.0322069278687876
"tip10" -0.490739888406645 -0.347598505678756 -0.168241318658097 0.0492765863043764 -0.283114733549899 0.184755263515669 -0.0704650772518028 -0.109703936815105 0.349116606451222 0.285872060371904 -0.131494907591874 0.104698650226207 -0.164106895998527 -0.224636077193466 0.331600692857117 0.0361512166445003 -0.0302280759522952 -0.0332487941003947 0.34422145872454 0.294554595831984 0.0112954260656813 0.326096521046738 -0.274730107336713 0.168534810455023 -0.214093537237404 -0.298175111574592 0.25183543086995 -0.13813114536439 0.161749461279329 0.0335379616389098 0.0185970842701975 -0.499594727556322 0.31228290799035 0.0693410112281714 -0.475075297322884 -0.0379778534655955 0.270414336056374 -0.0563827658077763 0.074568454505266 0.33077833773178 0.109779685579193 -0.566353928961843 -0.0988688343991195 -0.283410677775863 0.301503523776117 0.0592688943453281 0.06363792225694 -0.0269081765884058 -0.172531245567409 0.0253479315136671
