"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"tip1" -0.220513323784791 -0.265212628365869 0.0425879599115273 -0.0297011205566687 0.216217489031629 -0.310206290622904 0.0249587444579952 -0.113871069660933 -0.454150523771439 0.286002737555698 0.431835573861309 0.0251572007336269 -0.185605272739634 0.178310849140712 0.272370062740079 -0.0207774564588761 -0.0320963080109558 0.215002552529604 -0.180994277438954 -0.0724381268721457 0.254996259458777 -0.299396936103357 0.251362978956398 -0.307182521873649 0.220798210311368 0.15103934839454 -0.0893158482649032 0.0563285079494468 0.173890288961587 0.0273137557079771 0.116934829952608 0.0636041243010915 -0.224136406150108 -0.0117607198522575 -0.173125975645439 0.0773228992829352 0.310653102499266 -0.212715461901918 0.306952660933992 0.0385206249879042 -0.390757146339582 -0.165738404819513 0.195893239067195 0.273082009265842 0.334492983926089 0.0245972875464677 0.232069519569761 -0.139789775914553 0.0727118771832086 0.400723063040796
"tip2" -0.0163074979546777 -0.322233802534632 0.105318079860987 -0.102934904988149 0.330529140754675 -0.286633079088362 0.068493720116024 -0.200909445972713 -0.441460649712241 0.132074715313607 0.476637127948787 -0.0928313846185575 -0.0473714226076278 0.0750372790833314 0.492035552945229 -0.0960752984545731 0.119198693589731 0.22431511735265 -0.303869716933673 0.0372244715046149 0.211014082719645 -0.264015524997665 0.356386234117739 -0.123898064782819 0.0983767707471343 0.140361129465099 -0.19667283323313 0.112797496321727 0.24508020804469 0.0885489649225722 0.00115668114353382 -0.0840759290509472 -0.192131158747376 0.0232125941257371 -0.0491384381124455 0.153052775175536 0.293165381654734 -0.350896063409765 0.199108573300026 0.0739754645506661 -0.257898925132465 0.0134641021179856 0.266143700615849 0.108842839054841 0.242780361040949 0.0244048099741803 0.246786680292504 -0.120394006452993 0.0765721909389693 0.322348863891883
"tip3" 0.00164716027410706 -0.309558949470994 0.0689378804101937 -0.0838227285636869 0.355428421701535 -0.28599531990931 0.0465404061159276 -0.205245326638783 -0.438760738416772 0.151436399595299 0.474276106609476 -0.109265958994581 -0.036633415703578 0.101899720450874 0.474556504311376 -0.0960429311542504 0.121547357756312 0.214044610187935 -0.329100780233113 0.0371603146617345 0.19768684695397 -0.23522637935696 0.34306061859351 -0.131754898119018 0.103498820327335 0.140689789321655 -0.214562555718726 0.121467997759636 0.264559047720609 0.0728522609952849 -0.0140610792340382 -0.0817728798596114 -0.210529516855509 0.0335012044438505 -0.0450568541608759 0.149976799837542 0.281695737281548 -0.343939513435071 0.215457815742772 0.0688392512503555 -0.260343269467926 0.0160377249690921 0.274569872169027 0.116758978291574 0.232420128524899 -0.00619395264856034 0.237325001652082 -0.0947445114586043 0.0804244402214534 0.332245839095643
"tip4" -0.0326891020497441 -0.265387942476721 0.0939717672030112 -0.068238602023283 0.32822921587483 -0.281666507520536 0.0691128494181496 -0.193239315990585 -0.401860875903772 0.100335422148889 0.506192001945889 -0.0849668513439386 -0.0156571566133645 0.129790517627149 0.499682145029715 -0.133560272222688 0.108071743982787 0.25573212458566 -0.314654033901823 0.0148725358700556 0.218950194793842 -0.297975278225947 0.404127002306701 -0.14230526081099 0.127069933091151 0.230437504070089 -0.224717710261595 0.104806005753483 0.23806356844257 0.0767491619521904 -0.00540552818809559 -0.0977622304600371 -0.192545048629661 0.0684534103069151 -0.098341134181157 0.13028037561614 0.216063170446173 -0.349396499339226 0.240225085535468 0.0527793465487067 -0.272878079083945 0.0291376428648351 0.272206453695418 0.123711584915763 0.252063941048895 -0.010677468261191 0.234743486576444 -0.0841832707269502 0.0869043498578904 0.338597529250389
"tip5" -0.0261290820894256 -0.336282167891816 0.112619791244339 -0.181922587526444 0.318292977669857 -0.316877963739077 0.0922625947446758 -0.191007215310989 -0.415939302113699 0.174385124447287 0.490632892505364 -0.0642429627349505 0.0854380774594575 0.129359575324339 0.531041136974275 -0.0452449195825746 0.0370612431229896 0.276928037950189 -0.27216538113597 -0.0392159053890075 0.230202083918701 -0.352765183992721 0.37384020141625 -0.195077695405722 0.16574464008043 0.155030140398649 -0.348595418975233 0.0216780988265488 0.266292740679495 0.123099179478193 0.0585864719196317 -0.0590625776915812 -0.139834283079432 0.0453869016842497 -0.0195784730547793 0.179732119892408 0.316083298771965 -0.393048819597964 0.264282725117035 0.0538591603606709 -0.226157692932407 -0.013809199284906 0.328963094122362 0.122889923533503 0.290531084409929 -0.00476575635590882 0.194748142069692 -0.0769242072612153 0.18558583943587 0.386000348986778
"tip6" -0.19102800503172 -0.187559015060779 -0.182312986440297 0.0251605071388276 0.386728961126822 -0.267348470284718 -0.27812142565225 -0.119019193688632 -0.248279655183158 0.0251667189185562 0.428757331479766 -0.227522050687396 0.192436561402413 0.175149186307376 0.414579359641943 -0.282784783516763 0.243367786615236 0.222732227673578 -0.0902147116783542 0.265251442838465 0.369718768485783 0.227618553245509 0.0099604738289357 0.171267774525358 -0.00156346867646557 0.0603313813489329 -0.275157145150186 0.0243076181918007 0.126901986801801 -0.144630570845361 -0.0261529880599558 0.0963254286456338 -0.364874696988605 0.0262639983361387 -0.106258506852993 -0.176694688091883 0.209547201929553 -0.0370957115107825 0.130130881405133 0.078335097946956 -0.0234880668238019 -0.209081357462217 0.385640091287286 0.196451719687576 0.229409375568229 0.123850865422259 0.33034234192415 -0.311165463314353 0.194618482885316 0.300448173961455
"tip7" -0.154863238403687 -0.231452672463144 -0.109719191066576 -0.0411354633890409 0.211557264509858 -0.0727282741366994 -0.0970946837803502 -0.172893043923291 -0.111060256348545 -0.00237861205804212 0.422114959199908 -0.312893217503288 0.0231514736635309 -0.0551468153706588 0.419126406334053 -0.388559033976551 0.418608936331901 0.187436770395493 -0.181044702082184 0.0312223125251644 0.157304316138741 0.0855841214037276 0.0571092899876094 -0.0722618446108986 0.0491714154242244 0.0491265164801104 -0.321912067663154 0.0343081615138095 0.207055205620157 -0.0935797229505131 0.225614286867603 -0.0366226697363987 -0.132077842805333 -0.102730978422092 0.0633483348151744 -0.302327517424525 0.252526893423906 -0.143121669858129 0.229649015066961 0.0522896747774646 -0.166356884227783 -0.259803757522081 0.302962837705779 0.12351596631906 0.265556817025071 -0.0560619074349686 0.443732314787918 -0.172232766897281 0.099829184969609 0.091187633244325
"tip8" -0.0437941996157818 -0.204313324527444 -0.108668325312033 -0.0339967367533988 0.43380450518775 -0.0965303981627005 -0.0313615749479414 -0.185344134162849 -0.0921500736170465 -0.0212966483181131 0.425657651183809 -0.33750448562632 0.0383568921269716 -0.0718105401624414 0.401787826174901 -0.362083138606594 0.421472045819393 0.263003767434811 -0.18340852528257 0.0932085917781281 0.181229750705928 0.0466549818343859 0.204854042004028 -0.125270956236292 0.00534691962952055 0.0607537299115658 -0.222421282695246 0.106286280406375 0.189688828289678 -0.0806537207728083 0.147079464162388 -0.0471965143852442 -0.166699318636947 -0.0452800954731777 -0.0335857382171616 -0.241642241374917 0.143439700693866 -0.280789090345638 0.188377584774578 0.100053633029246 -0.0560651733939212 -0.22437212952501 0.302915685305836 -0.00470051619585724 0.315321941480533 -0.063363097150919 0.340613317211261 -0.179157852193612 0.102775989964259 0.132586351037312
"tip9" -0.0599934283703338 -0.182734114738351 -0.0917535159262265 -0.0343497975879816 0.427042329215912 -0.108892962002225 -0.0350341274857717 -0.23045857956549 -0.0491391287224302 -0.0278554072708344 0.42154043259701 -0.32984553742891 0.0791198566446907 -0.0368055656142171 0.401906473116155 -0.363370500778345 0.441202220256304 0.266405433937095 -0.215213490300669 0.075353209090096 0.138698415312147 0.000454455230120599 0.230649344489358 -0.161348771160047 0.0393519827270599 0.0254402785842978 -0.216598065105822 0.00744367818784779 0.208576799706881 -0.083589579360265 0.188664886645899 -0.0505199917834595 -0.190562210610552 -0.112279223539921 -0.0588770248277615 -0.214666822539105 0.179032621969491 -0.282435659399442 0.199167473948358 0.128807950959294 -0.055036544988229 -0.223671332806652 0.326578530252074 -0.014165546237809 0.275513599022085 -0.0652935719866551 0.357969331595987 -0.232452082267103 0.115633902065542 0.108719795424979
"tip10" 0.0325454353468038 -0.191464725111464 -0.0630696310616668 0.0853328167514293 0.261359057936363 -0.123030945358987 -0.113938854871045 -0.277611314304206 -0.0825934633101471 -0.0296169023342635 0.366107172761763 -0.32151956873718 0.0233255629844203 0.0440658412643652 0.411224124191021 -0.358724467293582 0.358500539782799 0.219230075974232 -0.24407026350445 0.113669150657964 0.298947048726639 -0.094563990095751 0.102805968403056 -0.0735545875812006 0.0482954976577941 0.0359664713724796 -0.258837910718357 -0.0432085864515783 0.255923119295818 0.00590248669210854 0.109415964139317 -0.0220297295170001 -0.246864524371542 -0.124887758440324 -0.0307889780841538 -0.124527492102362 0.226422698157658 -0.31924166850758 0.207284167744304 0.0596482606046629 -0.142787693628275 -0.15188373448582 0.196947291074653 0.0553722858734099 0.388819934630631 -0.17057206184088 0.341901989276972 -0.141522646689549 0.015038928225297 0.162304232342506
