"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"tip1" 0.079594234414898 -0.251703789527253 -0.0376047499749002 -0.0993689888867505 -0.0896015163411013 -0.429275310192205 0.0060210177380117 -0.296963388283798 0.391524073422326 0.297977148250378 -0.0499711524863507 -0.0996672547756895 0.292222018771236 -0.183255337151977 -0.427296762718838 -0.0892074198665578 -0.267540787389218 0.0504490278433143 0.0283514837428858 0.315188534289549 0.211630185895609 -0.416397751590467 -0.0481812226298261 0.442338805663996 -0.394095033025051 -0.126469635523679 0.316543086382016 -0.054935792264812 -0.302541533550906 0.130894586164775 -0.133872582196679 -0.359378140128272 0.487960651438423 -0.0893338466230243 0.175893497066148 0.0494167763332622 0.188154408579891 0.131259751362714 -0.00248248991983325 0.212393842523363 -0.0308707942993109 0.0166633657470047 0.426632859489055 0.0799331444989551 0.35221949437749 -0.263449801228187 -0.106435399888598 -0.452492080360869 -0.173531346131955 -0.279448530203282
"tip2" 0.280151764997101 -0.285126143143985 -0.0966195691541084 -0.128150253679182 -0.153778995262742 -0.336766838443456 0.0466198447694735 -0.334858203827142 0.405065824368018 0.352885320153562 0.0273465001514623 -0.0470611623603351 0.238049275286188 -0.162673320984665 -0.370284098924731 -0.125181728863288 -0.242729946583368 0.12893523711335 -0.173910299668966 0.33156134793731 0.227764582940403 -0.300097309202652 -0.173967519835346 0.473613957793215 -0.390213578737529 -0.137610139625512 0.442179439685579 -0.0537542588961028 -0.322794126926704 0.0471557641320859 -0.158606097283666 -0.278829971402497 0.331543067078344 -0.0681279153837346 0.128076104050666 0.0718421339474287 0.0960721861030725 0.0103562495638209 -0.0464063270613029 0.0828833066115124 -0.0110326241046412 -0.0674072419784296 0.337324281845382 0.025999635305292 0.321696653925367 -0.152853131786535 -0.143327531903206 -0.422068177826401 -0.09066053885167 -0.45716573500853
"tip3" 0.275529767645325 -0.288862842841721 -0.0896776880891346 -0.129522040015608 -0.163311389511171 -0.341515587111037 0.0435030677615365 -0.328613104616842 0.408367599860381 0.358624581342088 0.0125771967493415 -0.0387016923119167 0.23226194532175 -0.161308275872813 -0.373142068260168 -0.128442608355196 -0.246353017700175 0.125813163076013 -0.167834892845664 0.335163665130082 0.228756027391897 -0.30539276291091 -0.162603920542065 0.479527231668055 -0.39416755638543 -0.132331419805912 0.436154288669505 -0.0524376362395833 -0.310679457248688 0.0647429481468343 -0.163518289152263 -0.285673084282142 0.321218691067264 -0.0772784980331168 0.129936509840579 0.0732266089781192 0.0909658026344109 0.00708758862640918 -0.0470798288770363 0.0870336644963814 -0.00771338644661346 -0.0661326169800716 0.322567229029567 0.00791173540959994 0.325374889243256 -0.148052019855848 -0.147953921197533 -0.427492932819188 -0.0853661124700052 -0.458244235637341
"tip4" 0.284673557713687 -0.284397664523925 -0.0929500950571342 -0.128707167076828 -0.163251265280922 -0.343004145456509 0.0377193547493919 -0.338319556851662 0.418797074875252 0.35064607012886 0.00900760952942646 -0.0683976474795223 0.234149665329955 -0.148983084305443 -0.36374867047152 -0.120255786660679 -0.267144059930674 0.121962516735006 -0.179372511808162 0.350860435111945 0.251435778966619 -0.308455495228 -0.176402985656152 0.486724255462128 -0.381502995324682 -0.127445896707957 0.447380665430711 -0.0590873527205142 -0.30970083846453 0.0485699026645962 -0.156270739241122 -0.291311070048327 0.328703042897163 -0.0710762143545571 0.123767646746542 0.081873689431772 0.111569723323764 -0.00253359657355863 -0.0644547994901445 0.0832834529597986 -0.0258853450947682 -0.0522783738366012 0.339169873466444 0.00555121950632999 0.331738841826333 -0.130381960674163 -0.13673896100752 -0.447419743927025 -0.0865950491484581 -0.461743771271534
"tip5" 0.255713270741179 -0.327611305158268 -0.0747472649349323 -0.153268145471934 -0.0828420678941628 -0.392037451071169 0.0440888809512903 -0.297707413468721 0.424536420283527 0.340791120279269 -0.0383253307199443 -0.0391739517953942 0.239118475490732 -0.0879617498177856 -0.371925780929314 -0.129089504854345 -0.259438882530415 0.121795756548092 -0.133547556560088 0.310645373852594 0.17931459074634 -0.309326493180284 -0.158947929805875 0.420762477236873 -0.389963323001112 -0.0994652582281265 0.461699789033473 -0.0339048545146516 -0.230362334253898 0.0395444899657688 -0.177929924262639 -0.354858025960471 0.299151484536758 -0.0785904643595305 0.108450261983758 0.0512724668310386 0.0535174538457769 0.0426008059221679 -0.0125400850092721 0.106306262149538 -0.000282809665180066 -0.058832784953275 0.268177991909521 0.00747991460270272 0.293222897428327 -0.161711258649963 -0.108764774500492 -0.471068476806674 -0.119295138734837 -0.425389719574999
"tip6" 0.0715427748981973 -0.296674546734773 0.0915565956865603 0.0787529618905416 -0.210705721345894 -0.440736250252023 -0.0967934369854016 -0.211069442819353 0.393544252164798 0.378502873431458 -0.116903314072334 -0.0195383206661881 0.223427779155737 -0.0207814774195825 -0.290515727948343 0.0163609324049388 -0.235372695488204 -0.0221548951039569 -0.0533407324453487 0.145680833901598 0.156665090956989 -0.30782649312599 0.233884647800747 0.504410945739365 0.171300917915326 -0.0468635462340605 0.245009894768273 -0.149166847966876 -0.103162475642579 0.0887560725059237 0.0763944899476714 -0.461457497196094 0.463306872969995 -0.268193487423204 0.0659897781884243 0.0524799929411184 -0.291445015993695 0.15934615229016 0.277743112934266 0.108753991131304 -0.387019042978542 0.236395197577186 0.103794201641267 -0.158464717422715 0.221614786292923 -0.174267564429404 -0.0683445202683381 -0.352632953778268 -0.1227453063695 -0.18637489959056
"tip7" -0.0738316078987888 -0.370869652877602 0.16812636926428 0.0587111772247051 -0.156182443618967 -0.242097553643864 -0.0662938423071913 -0.398206794705281 0.292600539628097 0.207039056034082 -0.10241785838672 0.156549405257002 0.286090514598345 -0.111469891948239 -0.2892340441736 -0.0310358861823573 -0.0774414984313886 -0.107417764288417 -0.0211729868230945 0.143896221455885 0.169807509153629 -0.315375338813862 0.171626955188703 0.80972286044242 -0.0754326210386502 -0.0620198222492284 0.144987211225433 -0.0319881867236135 -0.234109122557236 0.040711805958268 -0.127792810546658 -0.0354102197023971 0.30335283953958 -0.0861832328904621 0.0803518903446635 -0.157430582999114 -0.20670430875895 0.24305366653449 0.233829544351663 0.153612266004645 -0.218004974017925 0.175483482545503 0.168908706284282 -0.0740378332399151 0.0267673928108007 -0.348232706281869 -0.0922302087242752 -0.478655563298396 -0.160979705634793 -0.270865856607036
"tip8" -0.058721072303566 -0.166592220523958 0.0993230756345985 0.0278268578003943 -0.0979231734213078 -0.245325031001639 -0.0908751485104444 -0.485448146683261 0.228213690789172 0.331258641626168 -0.106877427206594 0.385237049354699 0.229118393333363 -0.156494893709098 -0.354787514109301 -0.0926005468606785 -0.207097373570868 -0.0289833739184131 0.00475069963873014 0.143015603066044 0.0300648408457823 -0.28258410220499 0.104611323187051 0.589723239902929 -0.0994023096190481 -0.148844808517457 0.0446315621320207 0.0940424286428466 -0.157392321176841 -0.00204829473593028 0.019794188197322 0.0757457603137588 0.351719025272077 -0.124827970110156 0.0751297735158401 0.031456528798726 -0.160392005234701 0.180531211220193 0.373308973429019 0.273771142279357 -0.311416039912654 0.13036434655403 0.131031874884295 -0.130740923750731 -0.0623127015361618 -0.0520309859274657 0.019492999353036 -0.538489609476375 -0.0801572844715233 -0.302015896093749
"tip9" -0.0686625284789698 -0.176078747330076 0.105438429717775 -0.0418202417628032 -0.140863303921488 -0.262973353512094 -0.0563862070052893 -0.487918070805563 0.22355472688603 0.324884483052167 -0.125894497471051 0.384557079090163 0.234838917856169 -0.134649902762286 -0.342700328771674 -0.0708414946600687 -0.244747508617771 -0.0216659360742101 -0.0206489187691603 0.16711062568449 0.023706543339961 -0.277283976452792 0.11807637359256 0.550311004336582 -0.0879816693863915 -0.122793303638382 0.0505199129735461 0.0795134514288643 -0.169847575296607 -0.0489396399271826 0.0207935166896284 0.10478163841089 0.390144712502789 -0.0727836210047494 0.0593385977438351 0.0152232505192186 -0.212221965397478 0.168246208135882 0.366784578015423 0.261031416594216 -0.328352505902147 0.141865347395184 0.128541668522317 -0.112872438210352 -0.0932614993547096 -0.0708038998534311 0.0161334086645815 -0.557127037721167 -0.0703091371892257 -0.341356781977063
"tip10" -0.14666065041146 -0.197073650361612 0.135656104644269 -0.10816763475091 -0.141125604980709 -0.277285399827025 -0.0218585578626333 -0.388216008005814 0.329022966236436 0.381945388982607 -0.180639506953087 0.381249314298046 0.223969264983265 -0.0614507816218279 -0.344294526823059 -0.0923100699432176 -0.17996723394029 -0.0764668750345499 -0.0750646926493118 0.0933524883279621 0.116586514540203 -0.332499361436048 0.230865369682491 0.59488706171058 -0.00866472947377854 -0.0268345317639621 0.127265552192481 0.0334588707046705 -0.194244386136837 -0.0693442046753948 -0.0347671129376825 0.0594914202242549 0.448922440468361 -0.0917806819441405 0.00524418425569014 0.0480918518365636 -0.210357367457817 0.183571543936415 0.339752082879933 0.187618628891201 -0.235817310883049 0.155303160366939 0.220161661995842 -0.198720894950183 -0.00844559112259579 -0.165691731715846 0.0285572688576182 -0.525289540434695 -0.0314183369994974 -0.303232481799887
