"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"225" -0.236293451216338 -0.0550513735487146 -1.4127084665352 -3.05455541442186 -1.27999289838755 0.814557224312261 -0.676330932739354 -1.94785923755215 1.46148467754041 -3.46881655110547 -0.638248221891486 -6.92080148160516 0.468466137349775 -1.78874573247159 1.03565008233593 -1.11323620571357 1.40303128553254 4.21664749027496 -0.739562592054128 0.865657802475367 4.00122711689342 -3.03191507817637 -3.11241215786202 -0.486313874142662 -2.95159931290262 0.427506864548108 1.60492122191017 2.86464939534465 3.00614146959943 -2.69780883612443 1.18834014831881 -2.12120104047184 1.74361338753612 -2.38200311041725 -0.385086029932485 1.20877662202888 -1.21357404302864 2.590243167987 -4.19757748073462 0.849153108025787 3.7844317719883 -1.2268939860406 -0.977284805020057 -1.3736167703575 2.2979839282563 0.491088208466346 1.89485105280433 3.96787111283063 2.64502343936109 2.35963561267258
"151" 1.64065787851952 -0.521391607175387 -0.54599356144273 -0.986432792251099 -0.966348375328444 -0.431025717337918 0.567220135175249 -1.14476744570963 -0.534320567418311 -3.66775907410415 -0.0464917292761624 -5.08791203088023 1.07448958408018 1.11580181815524 1.67907528392651 -2.3709169093263 1.42445359547836 4.54841319245767 -1.49093128776891 -1.06859958186679 1.77615042057691 -0.37813522352453 -2.25632986505862 -0.77457123433392 -3.44748430858162 0.474987355204907 0.918646968295543 -2.40073499052396 -0.293618386861254 -0.40307300016383 0.197063437921179 -2.71401520413596 -0.00866487736870319 -2.44326909274762 0.578135617691735 -1.53610391818163 0.711836375078101 1.16391506636051 -6.10581789819674 3.4868965337339 -0.14682250828974 0.525289713370922 -1.36383503796047 -0.292416418676091 0.461414194364074 -0.459919609433559 -1.52407414796809 0.544601090144851 2.21150682579116 3.53460329393344
"150" 1.29910637536429 -0.939620809105664 -1.07508976847964 -0.831636713209364 -1.00155908952062 -0.479937743175645 0.422223431099913 -1.22130159977537 -0.288117593863682 -2.80881890784927 0.278327626143586 -5.05616292356377 0.772377881479906 0.842953933345547 0.659137925916485 -1.50682197125973 1.05120213973351 4.58631933859931 -1.47645467141117 -1.10993491564197 2.64157762098369 -0.333169301764838 -3.13746371721745 -1.24775162106268 -3.90425933792824 0.122243096237577 0.246968783825169 -1.99853087395772 -0.52442248602935 -0.249186230618176 -0.320428025788136 -2.78126147036328 0.110390933292092 -2.95633619004113 0.455654113170723 -1.89326598955567 0.425312481334736 1.59250780165522 -6.26319876720934 3.11807992217099 0.620663091807575 0.524197609889285 -1.65813527407902 -0.0488876129058566 0.896787560022176 -0.622882442060093 -1.53815640781924 0.583646935122093 2.26805209333568 3.9105578357929
"18" 0.915259717961 -1.99271366031415 -0.388879550980989 0.390523715748584 -1.40313873520009 -2.23169493938259 -0.23560694195964 -0.780564578927796 0.490679018267909 -2.54893568125792 1.38258486484764 -4.75236570430777 1.20634340389722 1.96586966062719 0.441925011386562 -1.78009355709224 1.90416065548661 4.18040175396429 -0.625442071124417 -0.866133039958815 1.18166344323478 0.310525937905868 -2.06869512843959 -3.22616587925845 -2.171556079077 0.184419031321299 1.46034453873138 -0.266557312766096 -1.705716648025 -1.02680883595353 0.636516091088986 -2.31347985869139 -0.906269189042804 -2.39351696139935 0.410088050980862 -1.78552360204413 0.445961431297562 1.01699518023616 -7.19397998076685 2.80301046116752 1.27485902157217 0.641944741730445 -1.23815445194516 -0.494226448491576 0.676037521049085 1.30331195884114 -2.08740265285179 4.2783620058772 2.38304442283619 2.54562078396627
"141" 0.766918613084352 -0.197969598789375 -1.31881781475403 -1.12128412343909 -0.0725343911583012 -2.27578424107964 0.16028496616678 -1.71358036522259 1.09079445307616 -3.80049118403075 1.46344400028361 -6.2097282345332 0.923082889448663 1.82801378024037 0.774130977904435 -1.73102250480164 2.6254280410905 4.88441553938469 -0.405053636266968 -2.69738164659581 3.05775637559193 0.10478155699438 -2.19866537412872 -1.37253490753284 -2.2317472632698 0.369342794897813 1.95934549049659 -0.794780714071939 -0.529331839051503 -0.0340366907566121 -0.241914671956813 -2.84630610689115 -0.0953520544999877 -3.75470628259601 -0.795886858611442 -2.34377913988032 -0.1124937606333 1.22921255365734 -7.93765995352778 2.82679309879388 0.410913814282264 0.439912979039257 -0.884538198698816 -0.538402830923173 1.17770229666163 1.15060354630208 -1.50924091305509 3.84983093421271 2.73731378094635 3.41691765679284
"140" 1.01039939563167 -1.87455947600204 -1.94079331300676 -0.35769678634244 -0.384321142502158 -2.59485902480836 -0.972967103607578 -1.28009606206291 0.0790568983743032 -3.32897671107742 1.05950162516124 -6.4559369872859 1.27732383355 1.76035999607316 1.61204734572183 -1.02363806776668 2.49917005585738 5.10291243970023 -0.203033884514301 -1.08875519066673 2.05396241659642 -0.571691058855951 -2.67702206846005 -1.1537953834408 -1.29964327179973 -0.0930540737903681 1.93818960002208 -1.46458954445966 -0.779374245614182 -0.496297464032844 1.35991090551716 -3.18617647888543 -0.867439639844694 -3.33872000272982 -1.61415026728049 -2.83982011491211 0.427658426135645 0.923254267294118 -7.73003752289955 2.99752634049415 1.04180582932142 1.66932333006242 -1.24515726328349 -1.06264601895607 1.58525026346236 1.38572448271468 -1.16415415305678 3.06774003053073 2.92746843513498 3.09200989583568
"85" 1.9015982531723 -1.22605029543135 -1.97779926583698 -1.46104140168831 -0.426675315287881 -2.06546505552748 -1.4485816982846 -1.66932579910533 0.516544262372182 -3.06260787170161 1.266703266094 -6.95531521015265 0.454276097579557 2.42895907156406 0.5242138290399 -0.90461541440054 1.39170748715605 5.81026340205945 -0.929572849582157 -1.7783390283633 1.65118562293579 -0.469437974738133 -3.05076705652694 -1.48883367099202 -1.62067408118595 0.767837591894058 1.2816025035201 0.110319669463452 -1.65436858387475 -0.161491070930996 0.515932377247982 -2.59411722463687 -0.379460345846083 -3.21689067698767 -0.298531356443871 -1.99667105090944 0.553364180657756 0.978794210615055 -6.57775287706208 2.56735211170848 1.14983380612595 0.917670153282447 -1.02598507207599 -0.595243391931156 1.23029153010165 1.43689143226921 -1.89460798348877 3.06930030803588 2.86654431683238 2.94202576672679
"82" -1.61562422965997 -3.36209739393485 -1.49237538089995 -1.62276667805687 -0.0356792823949619 -1.65831143783662 0.24124491942299 -0.519536104273404 0.525526846787962 -2.81438897716062 1.45946687051483 -5.58610855119604 1.63778219951965 1.97063770417328 -0.935413245936404 -2.25182702348841 2.28963832952203 4.29095245246686 -1.12615797426403 -0.131451948027606 3.63371404577601 1.71656935242953 -1.55110486752369 0.720286464416014 -1.19675914570403 1.71882259278101 2.55051219274824 -0.754583318640502 -1.57588024459386 -0.742828705793023 -1.19651052140362 -2.24474973490191 -0.685733434289883 -3.76294831605081 -1.25409494296976 -1.20320498040183 -0.464689927276511 0.753226057924354 -6.36044012835869 3.59708259649458 -0.690271937368244 0.205181854138399 -1.85291134820094 1.78433121854882 0.363912999825991 1.35093070324026 -0.849406794231577 1.97307281611325 0.268273609962051 3.48569004009119
"22" -1.4799963279629 -2.05730585336404 -0.137515209080135 -3.15715577788245 -1.81496507572301 1.31242020233267 1.58285908393332 -0.0311381646871707 -1.01782173167665 -3.75765673553912 1.63391219592197 -5.8034317411752 2.19360720256361 0.233759134203001 2.62957945092659 0.458070608312842 2.08202283944892 2.40496195106005 -1.32141872378447 1.47040241092558 4.73797087081036 -2.24421460340498 -1.72810678893862 3.25009869581312 -1.73789982341747 0.170908051801463 2.78207315721164 2.54307745585674 2.39008964754493 -1.52753443046031 -1.61121871455954 -3.1388322787352 1.19347487768924 -5.32635399427736 2.68662440685756 0.816237166208242 -1.00069056532823 3.34733939369482 -3.86204649372024 4.73349802399974 0.711513168034179 -0.586805298820037 -3.7209098794525 0.337903017872255 0.64320145483181 1.58900334040945 -2.08353012864283 2.6837549113478 0.510376089347601 -0.788465721700332
"146" -0.709700429194501 -1.52414120977937 -1.24915182983166 -5.56764999044912 -3.00132591246547 0.289735912585531 2.96973153029848 -1.07149029858128 -3.38422490071394 -0.734635640689169 2.00150314174322 -2.46641559588722 4.92582102936187 -1.77276055958087 2.14750751226942 -1.66697186547109 -0.130330937443468 3.5756379282995 -1.91919901299098 3.65939828051033 2.58933630794708 -2.80687266203652 -3.62469120715375 -0.115341638492653 -2.86945432975484 0.857154599286833 1.68358529890018 -0.315982116334998 -0.607371679170779 -1.10878619840709 0.066284800438123 -3.97656955435774 0.178535991105886 -4.17569730997867 3.23843886805798 1.64131577047168 -3.51221401653773 2.6489768444934 -6.30351606696268 2.09437563380729 -0.077133991151397 -3.12511008391702 -1.04699961801713 -1.00225390584893 0.489609211698868 1.10369040107391 -3.21720213102875 1.28305524617539 1.72012480648735 2.29060770380872
