"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"sp4" -3.23840673015586 -6.08130376048715 -1.26794413244831 -0.927377443969768 -2.3829388865063 -0.70377111031092 1.38089544814729 0.52789410632694 -2.65219901893322 0.636717418441884 7.2970508836911 -5.18796691302069 7.42678481257328 4.42051726778474 1.60740734143997 -3.58885937526281 3.10093577718222 -1.96469152798688 -4.22375236463123 -0.114722401257707 -3.92903220033319 0.232549240957637 1.19309345679275 -1.9830843654496 3.88914642505815 4.3482557795374 -8.17692764779754 2.71915934402935 -3.88351221929206 8.8821165436389 4.04048869541463 3.16122166079612 -8.37979297272735 -2.39501789694109 4.65683356399185 1.20416340352278 -1.23429006603422 9.62390380573885 -1.07962649666126 -8.07528734557902 2.5237684513907 -0.000404704435214716 -0.634692819116389 -1.39456147861336 5.75493356326041 1.27314992591488 0.51654357777035 -3.34015445243432 3.67354138129689 -0.703935769720999
"sp185" -2.51380355409373 1.28738716589734 1.43700663666701 -2.19299408156071 0.709831580306317 -4.26412809909388 2.91536334117206 0.00286383030867041 4.16537693453191 3.84314184477683 7.94582215177178 -1.23766949303058 4.53469593295658 3.29025696866045 0.720111124961122 0.3866843785609 7.05808321031873 -1.68391799965707 -3.49168409215362 0.589216646889417 0.742944559786526 -2.98301323164649 -4.24000994663163 2.71424288032112 5.77337452933784 -3.77082161194703 -7.36912883295191 3.94868880057798 -7.38448454057388 3.12246375762249 0.0139306062404147 -0.59885074267904 -7.49643827321255 0.141494949549403 3.49912955669183 2.95033556427519 6.43204960623365 10.138860805338 -1.14497386995729 -1.32781249651506 4.33024580321128 -2.75181559712099 0.835765614677367 0.701437365589436 7.10312354686122 1.9668989406753 0.297302579370179 -1.21954133758285 -1.46536365943465 -3.0946748188924
"sp186" -3.3983780997452 2.09198448782038 1.61265970514 -2.13952023291408 0.0391757881409092 -4.54032596884085 2.6160778161521 0.0843946821883475 4.21667944365487 3.41686083057339 7.40450032540237 -0.299644301319502 4.92080098358022 2.80490521843039 1.07539101345945 0.210507257202649 5.83424253157538 -1.86558224274285 -3.42618071736324 0.345983646155048 1.06022792162617 -2.84942965958517 -4.29702631802227 2.5647882314423 5.4644018848377 -3.86583121220324 -7.6511551312733 3.83772341904295 -7.07172528480887 3.21547593528819 0.450392197045742 -0.986910107404463 -7.3044102264217 -0.143967979597231 3.57430882637296 3.59658728381177 6.5189023637743 9.87974995763786 -1.31525106208654 -1.1358602293399 4.08297939341194 -2.76918500334934 0.0290468284910152 0.494382925031327 7.36882168891666 1.68422615937066 0.563829300934159 -1.1847427013973 -1.62304468431543 -2.42936608895368
"sp45" -1.00364439425132 -0.124947891006903 1.39221908005721 -2.77175202888617 -4.12471860884846 -3.58810912746771 1.81841940654864 -0.840086658652484 4.24666673441791 3.29906840886724 6.8238687743944 -1.52671032935129 0.42564076788359 4.65362273661468 2.69094138718674 -2.06856470242753 6.25393816700171 -4.30385641366746 -4.64732776795833 -4.67380663387449 -4.46233646137069 -1.3537582248879 -1.38384471381746 -2.03166878731882 4.40485394905199 0.0159234837818151 -9.56070187908806 1.93317656068227 -5.61374260269171 6.3398451315021 1.83804302860977 1.65845621158479 -7.37135659081439 1.98942789734383 4.36279349429547 2.13046081459149 4.68550550923507 9.60631697936784 -2.55218043259357 -2.71178535135297 7.68219563824158 -4.87746663441024 -0.916103047364829 1.21118750389507 5.74903886735748 5.68352239393795 0.611647368270229 -2.41696525015217 1.02063153673783 -2.12101639055463
"sp46" -4.1769130732647 2.02581750102805 2.99875065938914 2.86756976667209 -1.44508686314384 -1.43320498548751 2.21281722806691 -0.251724734515799 5.1275785690241 4.12733684359461 5.22049879645203 -0.0368554358826869 0.778648529966987 4.11382440074285 0.505646501812482 -1.60345952134681 6.32710525280445 -2.32255570502916 -5.09187211835477 0.451847196637142 -3.04437359246757 -0.116080483913908 -1.82702041034444 1.68349475732708 4.65275583551903 -1.11865821671566 -7.08212486153513 1.47323150863991 -6.47341344261586 3.83040084143517 0.492180598647597 0.822872987957551 -4.73241168532893 -0.598175306245954 2.3712222157086 2.22061630197461 6.03137392546566 9.33964105770218 -1.26597570566523 -0.6833857004044 5.83250259081329 -3.98774224206197 0.395632289831744 2.63421926194973 3.45034126274585 2.6433418779105 -0.42995267510181 -2.25285311697425 0.231311795984318 -3.73973893353461
"sp6" -0.951654528672232 -3.94908323461393 -3.72625625691695 1.44837863043346 -0.256280519720675 1.77579564290466 1.61704733271148 -4.97912264797849 3.01306765798465 4.3538773413251 3.49726209175595 -3.18850653574119 0.461952390492242 8.17916255007506 -0.398426117425007 1.54993724951528 3.19081869788028 -3.94522696200953 0.905307519252164 -3.92522536110544 -2.2198738164872 3.39245147061536 -2.23498198967738 -1.73197592435433 7.98382264313779 1.21403993017068 0.209591242732469 7.82879835152962 -2.02634772926024 6.97734095670177 0.522465385097097 -1.21390229664313 -7.22953696517845 -3.279486736793 -1.38030351255456 6.59133345806731 0.305703155942078 2.62815113378452 0.788461731302152 2.93186390113656 2.55145101127483 0.208691968637313 -3.33933228861563 4.55629846677015 0.32521276629797 5.94798348685985 0.122994690217207 -0.900902044006241 -0.272176628532059 -1.80400832067286
"sp7" 0.678833658533254 3.88224282172529 0.197881278030438 -2.84404031935788 -1.03893807601983 2.1764712413218 2.51341980444462 -1.95673677735657 -2.94028098229048 -4.07850873301647 3.35143660937932 -0.148655489613629 2.31455377635601 0.930888421716457 -3.80060209336631 -0.118942918093112 6.06848680958126 -1.54192841875621 -2.72597348512191 -5.58122075840333 -9.25999387084227 6.71913321248572 -6.36856393214926 -3.35015791809049 11.6173566153656 -0.916254915006486 0.719760221688118 3.11675526696 -7.02950438928832 5.6866144825992 2.08266318563683 -3.9953214383712 -2.7299610281203 2.8447920002748 -1.05041994015097 -0.0663961148427003 -2.59263688838744 4.76731123461563 3.87302319092583 -3.81638204266042 0.749270066668672 -3.96132902084537 -1.91149522948946 3.95987680106422 5.7080109322568 4.0039538649618 -2.81302264738578 1.01687718357744 1.7265393504074 -0.0337825483220588
"sp183" 4.51954290375741 -1.21141769628996 -3.7712256885668 6.28471865541339 -0.334581655007748 -0.633975312493565 7.78782639949232 -1.46255279908874 2.50294667461045 4.11819186248413 -2.93412911533806 -0.605800084263851 2.52665839947048 -7.59396548003765 2.11088566002662 -6.77486781417384 0.110586010170076 4.45783394121748 3.0037650441066 -2.29547858979623 -2.72062698539345 -6.07063267763806 2.98723702936929 -6.56470880450495 -2.4049892959367 -2.03767429355504 1.49549190581081 -1.17050996657469 0.842852033808785 -2.33621898884626 -2.46991586433576 5.26188418525405 -1.25736594165314 0.924692183000723 0.967153334052894 3.07248171399704 0.594051494756726 1.98637531791399 3.69452276988726 -4.14432326239026 3.09811281956582 6.7312604947288 -0.398301725351403 -3.36156474234994 6.75496267678863 4.29942049771988 -6.89426612818474 -2.2047447424387 -0.986474906302969 -3.16686428729379
"sp184" 3.70405841499143 -0.65301604120434 -4.41378710025411 6.20283869560563 0.329900460951556 -0.300231157649606 8.11160976126669 -1.4361390553344 2.39436522003387 3.71916072139519 -3.14430324887251 -0.796066466305914 2.97031125151721 -7.62051110031867 2.25512067368802 -6.51856266775903 -0.278587102879052 4.7479490495066 2.68145322955719 -2.06741636132047 -2.0403182154205 -6.41085023473137 2.0998536569178 -6.01911093461511 -2.92300916273399 -2.43411805085148 1.73832341611427 -1.6937168055818 0.900315280856336 -2.10530176417672 -2.27373821153493 5.25478834339297 -0.946213394929892 1.30488696345169 1.09900589701596 2.949400297174 0.29593056129512 1.8113379103302 3.80937753761005 -3.87897999364562 3.75247649193431 6.27226370366952 0.37440714128921 -3.17707768731651 7.09121860027692 4.20257952837277 -6.82624057814828 -2.39020933237931 -0.220398193187231 -3.34319901965654
"sp58" 4.31251123546996 1.35471231004478 -5.29849767904285 7.64354411320817 0.27634998845055 -0.334462432698193 9.56720196493561 0.195534005629701 1.99039265626038 6.51479906899869 0.00335697042674522 -1.47591646263105 1.7572341732325 -4.92411092925909 3.46434723946983 -8.95299431394861 2.43295321918767 5.78657206167455 3.01286069163781 -1.1820608736203 -2.31397732300205 -5.80376466140957 -0.39898213874634 -5.79413839584313 -2.94170634475737 -0.490490004784233 0.97559554194651 -2.48125119939253 2.78216758525324 -1.2185623344069 1.38111967948959 7.14612886143041 -0.230436668255742 3.4375569038598 2.03131227126411 1.80659354192451 1.7695053260929 3.4743518949389 3.0636311658187 -1.81977492583165 4.99984709177496 8.96724046165477 3.28786119834129 -2.13531375313013 5.93017960849069 4.70629846440392 -7.89338713973028 -3.00723863676507 -2.39532811579541 -5.58010784162754
