"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"sp80" -4.11876574617898 -6.67146507408046 -2.46643416399747 -3.52764202672767 -4.18039568350032 1.72611708063142 4.41466077287018 -0.143047935542644 -2.74616313524338 2.5025289949749 -1.02961368945165 -0.402583851984992 1.23650189042657 0.486431057639795 0.0100946959845045 1.09472589641378 0.649189916581321 0.637804268381054 4.72596413421348 2.11717325656386 0.0455848874491809 -2.71979337064009 0.288510555334041 -0.594892736749894 -0.171736814320712 -0.692772497759732 -2.748995789521 -0.623071312533359 -3.00681667861548 -2.41446682137381 1.58285576630512 3.46308549360296 -1.90414061498086 0.97605401140499 1.50240295864996 -1.05630630428896 -7.32417116336173 -0.925098923386636 2.59666996263293 0.912981625898701 -2.79436215036913 -3.4331293028236 2.68354854653423 -5.57939526092917 0.486856376320409 1.80836217403817 0.695535310177518 -6.17127225620099 -3.21660426756719 -3.15299575445245
"sp125" -2.29237588513027 -3.43854273707757 -1.57239568331181 -4.07443652369152 -4.19036785670075 0.761252341689384 3.13248917133822 0.32374356560147 -1.90305528421113 3.57373613205178 -1.0416027636437 2.73401275877159 -1.17521641582928 0.186368711410219 1.43622653922412 1.54094256903077 -0.0491336444125087 2.49456888751199 4.29725157823523 1.12167926257126 -0.878620672065044 -3.13413466865016 -1.4044352247204 -1.29942108468348 -0.610303458640715 0.363513769331511 -1.93183420038325 -1.80719308777232 -3.12673050375572 -2.54797154732296 -0.386614354007975 4.09783216459627 0.362172857271836 0.390967153159901 0.239442113743344 -1.52970006349215 -3.81866758651169 0.828350520025318 4.51273045815769 -0.47604663820964 -2.07523699392405 -2.72754336253424 3.98755741077253 -7.41898509130264 -1.18326026676638 1.31335098729209 -0.0172028235853215 -3.72602232944353 -1.77117116468572 -1.29615304467372
"sp126" -3.70756840051285 -4.06433920358552 -1.86202078267345 -4.78441737721042 -4.22822777312336 1.03396883458145 1.98699780885147 1.03061101470071 -1.57142906706362 4.3073105629142 -0.805818748587439 1.98125678684241 0.748898643765661 -0.269414020145172 0.791199882349123 0.378327238722133 -1.54493355791722 1.46816610975415 1.57245548053449 0.96653743346018 -1.73306647263051 -3.59564661183051 -0.122594218560939 -1.43945978327219 -0.962885988250693 1.03220150648063 -1.2704622308192 -1.92760961245995 -1.67766531827438 -4.65565854536585 -0.531826182991879 5.89770214676883 1.04210743704734 1.78568717188538 0.178779361865628 -0.749920810285899 -4.14788502358651 0.327759657086759 1.9690545966251 -0.397825440005159 -0.867973149987986 -1.73894839027253 4.65288243590245 -5.61973132065228 -1.69934741523052 0.652373390285423 0.5330324707697 -2.77845003769625 -1.0109943631813 -2.9360760076922
"sp36" -3.61285920879323 -4.7984601806171 -0.983307388963275 -3.68328264530614 -4.31337901284924 4.40801951518985 1.71292979280774 3.85535862305048 -3.02752680824971 3.09503982274218 1.13327937724283 -0.820803620693889 -1.63119834677749 -0.375314338480778 1.28161456528475 2.59299629564353 0.914861054460299 1.58542055204046 3.96237742302022 2.03516787724532 0.702109034211378 -1.19611833527269 3.56661782271831 -1.35974917965693 1.9833734772705 -0.319145612236642 -0.946555476323119 -1.48164317140592 -2.47742478986207 -3.27687621529733 0.554456296459231 3.65716238980162 -2.99111706116227 2.15747226658009 -1.0331286845182 -0.464467305340566 -4.52469157446329 -3.20397322546966 2.55115187729059 0.122955005903691 -3.45215420177494 1.59200153691563 0.226036347019078 -6.80292043030363 1.39376224587731 -1.38608589520683 1.24876994169464 -2.95251071225901 -0.54428299474534 -2.54007411404819
"sp26" 0.762492454897017 -3.36547299813768 -4.7629523190175 -4.61888974150181 -4.81675616608197 3.47113122238961 0.281872318263739 1.33196620772714 -1.0568344124741 4.50451411227339 -2.03494795908412 1.7303039352408 0.728020793390182 -1.08713470303356 -0.507179900233847 1.11654035440935 -1.47990699258275 1.04915016156643 2.30086453244274 0.825999270427598 1.06516496387452 0.0179964535016441 -0.109913711481341 -2.72904717334831 -0.436900105457999 -0.249662404272436 -2.67419530223183 -3.67120213655166 -3.47525810069686 -4.01832307261604 0.61525277408694 4.51637702794533 -0.800880081401147 0.597886060572197 -1.12694117937525 -0.430267278732604 -3.71608785178734 1.52389968694317 2.27891043691515 -1.26033825054122 -0.553303382214559 -3.08351267920821 3.92811345564092 -3.85276751465613 1.29567435546958 1.36676672697883 0.297992486639645 -2.68317977224475 -0.808824924229436 -2.73138605447482
"sp193" -2.55691986311078 -3.48091509928083 -1.74336114308518 -5.9405708777396 -3.90945931337376 0.38049752129693 2.07233682079002 1.32641587976833 -4.10517072677219 3.52765998759245 0.060017946885956 2.36203953299864 -2.08898347713569 -1.04728482882958 -0.828200844798096 2.44421911916002 1.28711668442253 -0.991153475498221 2.96046431275361 2.44921637046422 -1.9165827364283 -2.87384448828089 0.645881087352123 -1.20656489727577 -0.552509743785689 -2.193790250048 -2.9153912543633 -3.81868995255828 -1.67056897625194 -3.73564856083805 1.43030846670097 7.23316366945349 -2.28127376714512 0.925364498316553 -1.17659174208943 -2.67391709533468 -2.64734531224309 -0.754378669835163 0.227460365783098 2.03173999645367 -3.78207152477832 -3.00001750522988 3.73160891618088 -4.42599724006422 0.0206640204632774 0.477877650640718 2.65254033073709 0.224863894594016 -0.0554430935593027 -2.322560130229
"sp194" -2.62564461708804 -3.87854600999528 -1.51508479898592 -5.88962334029804 -3.83925568067571 0.302767988985098 2.07761826117734 1.60152233000021 -4.07519990949304 3.58018570249854 0.505013030505878 2.62686329326143 -1.97969256792419 -0.696242296470149 -0.703148738391629 2.47106373837351 1.57099946001674 -0.985820644425409 2.97504895763868 2.80112722027806 -1.93063585418158 -2.79116070607521 0.654160372722939 -0.972204226994558 -0.907247660186956 -2.03576040706819 -2.7613335054957 -3.52411391081835 -1.61292637999815 -3.62349865322058 1.65429178047459 6.89347246121863 -2.22652740331708 0.990734072280206 -1.21888448062466 -2.94368261146235 -2.740173626292 -0.590579126651674 0.230401392290015 2.16818415264277 -3.57555201739942 -2.8536382466742 3.79049152929463 -4.50378528400632 -0.263241573343586 0.243517387980834 3.16608214945951 0.0873429282300291 -0.221276177362199 -2.32716505235252
"sp58" -2.82341532178709 -4.7043456309422 0.0478004782457505 -8.64061303392858 -2.66532438252825 -3.30234447179458 5.67484390069213 2.38764873769428 -0.626891490108016 2.15165615649364 1.1366188410138 5.43838852829215 0.00267181960670965 2.21979122317108 -0.325686082725204 -2.09845696669702 1.81551695148339 0.828424795560817 -1.03069636847003 -4.96912281818334 1.3758199560125 -4.59964464373411 0.495353341171886 -2.71021481791357 1.36808892611178 3.0931691026994 -1.00114046249733 -5.38682530447818 -5.0971747446432 0.656450242840313 3.02374850878196 -0.65494395092832 0.948011502948973 -0.704823261654745 1.97835879782849 3.51124872161532 -0.438667541689881 -1.12620798335433 3.88658095703781 0.934440238606621 -0.838514863448489 4.2005039841867 0.50274214574339 2.13613666942542 9.70282506444162 0.0143291532203334 -3.38177791056324 -3.75670206045945 0.025729354391301 -2.84951393707329
"sp183" -2.17537199775102 -5.04081210148212 0.652130842264386 -6.80363096379931 -3.46551621995799 -2.49541277398895 6.22560327491885 2.74199869774773 0.241289388225872 2.12777730792205 1.31556087109098 4.01898611635111 0.402031529406509 6.40489707514602 -2.26504712748232 -1.21033692363441 2.29487811670362 0.293048775133794 -3.17884308306486 -2.94126662482838 1.23900852478777 -4.2385293369226 1.35467178598534 -5.08176300490634 0.0741591162898952 0.264556015907732 -3.75856295268494 -3.45268820997057 -4.36729854863487 -0.564117909351944 3.64625845068219 -0.0420771937005765 1.67826670481544 -2.3400274114284 -0.182848544369561 1.85770097191276 -4.11185442554523 -1.03913104077084 1.7622494218853 1.90739401853422 -1.2666706009006 4.15589062846181 -0.425386312220441 -0.739093698957921 7.01372067762861 -0.422494662750473 -1.25728811196014 -3.55991222711008 -1.41144988126277 -3.07213714800959
"sp184" -2.00212735841482 -4.79262117268295 0.190494306551261 -6.72538401493662 -3.24262557250416 -2.76026030566815 6.08104864349732 3.05420836297162 0.381435896094391 1.82458188646571 0.896314121622367 3.75745242733967 0.93768852810126 6.24374729145046 -2.04364919708609 -0.854900447107724 2.08865935436215 -0.179429050869649 -3.01541521279103 -3.06189544022943 1.33522358151802 -3.80655742290923 0.789668675876204 -4.90630475973735 0.422101610407302 -0.103162892250503 -3.31437075237741 -3.60998581106452 -3.97527949982753 -0.500643484137445 3.65903762000249 0.706809037350328 1.52250675142644 -2.82912610929198 -0.406487481629524 2.28342058421806 -3.9256508620527 -1.27560431639746 1.20117392660631 1.51595334635624 -0.731962954113997 3.98673392773282 0.028423335696427 -0.166018161280466 7.09557705127145 -0.180837228621177 -1.46316995129274 -3.91020277717511 -1.22020144953817 -3.72019671388849
