"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"sp7" 100.058534762727 84.8145607517184 170.594646994037 169.837349386943 -142.103501737259 236.327437681436 233.475548779843 13.0492516717646 179.776501050458 139.425269911003 -147.026441067223 -260.207507695714 -153.067973475272 72.2225744836526 231.31115180361 -89.9219123405235 -276.762987276821 147.870040627138 112.65352699756 46.1242219693838 -98.3511178349421 -51.2485918319917 109.908628357886 198.778530314892 7.94243543427144 -277.177447213036 -46.3371083791879 -152.645850339012 -93.8545972675443 201.202460106923 37.0433171915229 -261.681570915542 6.14515510112853 -5.89192989871983 -58.3807826782756 -64.6960932961305 11.7084769110253 79.3280899305225 165.930437919363 -223.573393416814 -85.8592238620858 -132.747394032826 -35.4122162966847 113.864119175443 -124.065511259173 -91.1541407521234 168.904038739895 122.475019721865 152.892315809478 -96.5771073309291
"sp8" -189.273268764766 105.804470126105 -75.291230318944 139.053633024947 -70.1272092696238 -239.775088603469 -242.709886937479 -168.518519502355 43.6785934188011 202.501293448396 -173.770422908059 -181.036256714906 -1.12005236586897 -131.165124246954 235.509346549524 47.7158574831136 50.5870783260259 72.7583630408706 0.0303000773280449 -17.7476777836452 124.54647380975 -96.2135328546819 -101.642820200226 215.001374795694 -67.3155388951891 153.548527159157 -415.702999011249 169.182359665197 105.387706561535 30.4485053254449 -183.205386251955 -79.942394067875 108.667144578398 -106.06007439559 -41.1314443756874 20.7831165123285 -191.387854072118 -313.052677558352 242.68873953815 -30.2170692491986 74.1160099832566 -304.926455030366 -94.4166523946048 6.71488340031225 262.19277921755 -20.7266381770485 -24.0132049560885 70.4111018627331 -283.283308035029 -34.4396449924716
"sp9" -25.486835967368 -450.963915316764 88.9000736304173 -78.7360627754738 -36.3885273811257 310.205710028965 -134.966285524843 -221.572425975768 62.9680089513102 -113.494702178451 148.943346529599 -2.84873383023296 422.685835776788 -162.280229160499 307.169902820897 298.245876335024 -166.659441523058 249.590687227052 -40.3005197853259 22.6641895297189 -111.340236161531 -127.618981282313 -50.0569999761823 -65.0123668217069 -60.2356577012251 51.1304022898498 -33.2134178876806 172.46762801848 -124.8830999685 27.5813278112086 -27.3058877587024 350.274062537018 79.8767542940315 110.485056804694 -217.457170514972 -7.77402429524444 9.27895600866129 -226.423738667643 -288.836238260522 191.138182864366 258.720025489197 165.9039013457 110.448674150394 86.3832147039324 10.6137644688539 358.78849132166 16.6892145722458 -58.4280342829413 184.836124122597 -98.9496467073737
"sp10" -1.19706708023799 -55.2605626039765 1.08362685826562 -173.525414619394 61.8291558024337 173.165761129399 -386.612326310265 209.371012607598 -31.8046022873512 200.296713541845 -80.6616680557454 -122.943038881947 -8.82179642566759 25.7845933035676 -216.176161100943 156.375924916042 64.7907438271361 -220.134611673485 99.2994898924487 -156.761257128616 3.62028246096908 -6.39111320793088 -304.084474665331 -102.659721443446 129.889432295039 -164.933502787126 20.8989147632933 0.805688147275507 -135.086267246268 -131.270931151958 -207.178286664629 -233.935116891247 -340.266437924898 96.0323707247522 -264.930825111581 206.531578089032 -262.931288153647 145.026503482297 -39.08200089622 3.64042620250604 0.227360032574781 221.633464757625 -105.333933530161 -92.3324685824716 -123.550536010096 -154.406355869171 -166.165282230487 23.6410542650177 -105.767511874678 -74.7400293294988
"sp3" -156.058863045198 -106.189813581692 -240.289323178126 141.432384612371 115.862125046694 -101.042645031453 53.0090400986477 16.5489885176925 -255.022933827849 241.420380317583 71.6874146047616 17.9194363293454 -31.8648420974811 -27.7301194360982 -124.487633530319 198.395635396091 -63.5885745213461 142.640816056079 -271.016652931259 -211.992821022391 122.914725903933 -118.069708024905 -168.814265708539 36.6474093688618 -32.8895502170012 -332.803736958138 30.8493739235103 -67.8420636362968 -22.6676969671456 -96.7465115662195 91.1962809897828 249.650737750181 93.1708033356986 32.1850920267348 -193.166737216911 19.1801943054416 105.732368878079 130.056202052636 -144.13900348756 123.928956694123 16.5869917688051 -44.7061695310302 74.4449207787684 83.070849983312 181.723197109104 105.164159956016 141.991554217727 130.523927411788 56.4128668451368 -13.4593938702966
"sp4" 31.5869693361815 -222.191780556624 120.09216639797 181.408528114445 -257.007830450192 162.643663509498 -245.63128912688 -139.170194122875 -49.6269597015709 -71.7139341835466 -379.829524849794 13.6091497876866 -78.0184569779796 198.041426647932 42.8281731370466 -43.8886215609043 -140.993249729211 -158.853671225597 -25.9061226829894 166.877669573413 578.634789786349 93.6295351185188 90.546106377818 -138.603315492121 269.218989473606 -230.932625567528 136.806002747952 43.4789601235953 172.002326001602 -224.640920850052 154.31792192342 155.041728647201 13.4259947656047 -72.6038897986224 224.265532644681 -26.957297114175 -175.260988498456 83.185397095768 61.5092316990507 132.790632373808 -82.7035009964349 -55.2103478534286 -544.423842939627 -1.96246737087213 94.9409678287808 2.82534762140114 -151.726018001206 210.317842885352 -87.915949295671 68.1847004327725
"sp21" -35.035635427313 47.7624920161073 187.432097162549 352.556499969793 -203.668131386558 35.1571886808687 -132.012797924795 149.686908334608 -107.095392915542 -6.6934093134782 -40.4666273425301 -292.608041503333 18.1515144736304 73.6003070310394 101.972569090124 -137.235152620382 292.964970630208 128.388125812011 -152.032623473352 94.3589903560181 28.3750251490248 475.088217188905 204.543113489853 -28.7845321958957 -10.6248064520351 46.8422965507575 -352.214700613847 -55.8858244652865 -3.29862439538703 168.518145902141 -145.243247820904 131.722926224639 302.341811733303 -80.9315351216395 -29.0927608026481 250.405971101256 -210.495835788976 4.66375275861872 -83.20258113924 75.4972422416837 258.720494402972 81.349797914325 114.412133521946 -126.53949824034 -288.836307120538 -257.636871762504 -89.3134297882127 179.569092840563 53.9695053331718 42.8520554225902
"sp148" -298.136211915354 39.1343067301396 57.8797759370297 44.2850262240766 196.837415255402 -98.5618739710547 224.041618664434 57.0844074642352 -43.199314501526 11.6633597751249 -43.531370104642 -103.96016461788 266.589690775062 128.728707579606 -118.030306981857 124.132681118695 -154.345012921436 165.570370790181 179.150181457402 -40.858001396117 -6.12122084586609 -118.193140016789 -240.486363022626 -221.363699607251 22.4544574748071 295.269408271605 128.575343060771 3.31725976848728 -185.931716944746 -111.846073236362 121.332441519181 94.0252787640476 271.902354853367 -60.5620359264636 178.026487550357 272.021451736592 159.408945638216 188.379117247239 85.9042055691938 158.474700732525 134.580524330747 113.724863658447 81.0053689004847 48.2264450754284 148.662788860746 221.882705029845 275.487049675246 38.7662013343315 -304.334078949803 62.7885997047666
"sp149" 106.348997273912 29.3658726350272 -10.9318643585569 -39.8867278539404 9.18391825712259 -225.491292204443 -185.737084442086 -144.704170629597 185.114762333625 -216.232614321752 431.908533640461 -7.39860134928316 -177.922423093745 143.380232882719 -69.0862291990948 140.692155053485 477.005855395233 -50.5656928013624 -81.6527294121384 -51.6515366677834 18.6659019375649 199.28140927363 -131.847960319815 17.0555105039891 282.544595149641 174.211672253504 159.064427740572 108.259003341457 -3.71218181528391 206.694125537997 -114.113576234647 -313.744520635746 260.646311520116 -5.85126942066207 71.0553515949958 52.2537511905126 -41.9267460787853 113.369860636678 -71.9874336559799 30.7762218499266 -65.702682219592 -123.03906409652 -186.90897475471 84.9717371704434 -209.363139654123 -164.856507712475 -1.4402418863657 12.5699542317628 137.255348146905 -57.428177914025
"sp22" 363.923295065347 115.810862921931 -7.90750376154276 230.974394371399 122.565467648622 166.160191985342 -66.1740791159324 16.5316482474816 233.426814823022 194.672505411472 -304.586162706977 165.892030648412 -37.0327758403423 -159.138936321053 -380.81135556526 428.842956725373 -166.575660487881 66.9036512726107 209.017735898309 283.094984068493 -159.33844362694 33.5240858619066 -106.433148086863 45.4862401393113 396.96777763078 200.222114770463 110.54198365422 -47.4884280391912 -5.31068529585605 26.6481636990561 188.670640229397 52.6444461618047 122.732224452407 -197.289479913889 -259.866495052867 -70.9843817888368 -137.241666085651 -24.3272737577193 36.1888507941689 -335.695442775651 -215.919967203319 15.9781458034386 112.983455410677 200.757918835264 345.268197256881 63.0566989821974 -41.8100966778499 -140.850439384936 278.475787043838 -7.27741102776321
