"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"t121" -0.36434281861528 -0.0862764948696362 0.420595510076028 -0.718354456333982 0.506764564455828 0.5584897344121 0.503358508341753 0.0851660549002368 -0.662872557900553 0.542114089448167 0.0931705191433578 -0.986310499477323 -0.240364774498614 -1.08459020643908 -0.611744986277577 -0.242687074229438 0.558120176743866 -0.468220652732058 0.67207775903931 -0.246504584938726 -0.512548068532118 -0.0313564254381399 -0.215137523485482 0.523207623013353 0.0259453995698554 0.373850628062 0.940417286636436 0.225907496659711 -0.132549598222227 -0.320847537854567 0.688498086059585 -0.0206775412961569 0.470760228342806 -0.273727800198292 -0.0931387592822587 -0.466155289619431 -0.519426518355718 0.560928787474906 0.158813054230251 0.486970153452719 0.435154126633985 -0.00442348823986406 -1.11825594948507 -0.638041116081184 -0.718750140800239 -0.527063607660492 0.0458373508848845 -0.538138682783923 0.27282883128072 -0.444260511467787
"t124" -0.299745084299715 -0.19937621547666 0.356476742760422 -0.059230834303489 0.157627886182798 0.652815663014286 0.894410109621999 -0.381831722660536 -0.176433237654091 0.517332980994469 0.413400457904482 -0.617444626551849 -0.319463807598358 -0.210738661536927 -0.354771982957254 -0.965525224942354 0.890703585788139 -0.452353853772339 0.497171869912272 -0.00406458077930642 -0.0451069973826898 0.021748612400744 0.01132313732334 -0.0230975662314594 0.65815467184898 0.473339558367715 0.537413171909395 -0.542884101325585 -0.0186690441256845 -0.138272020993339 0.252174451588987 -0.00856175702755379 0.362605170917277 -0.439570295202062 0.0192385430663241 -1.25325019852637 -0.411447171092822 0.534250589601315 -0.0869783153634823 0.357480978052881 0.307402776448414 0.257591761015264 -0.699764341599098 -0.205935717420493 -0.320642140553619 -0.235802798891769 -0.252246790682967 0.0708264907659591 -0.00423905355622267 -0.0940107764903105
"t114" -0.397570583598103 0.154279095792801 0.375292363897197 -0.142977709093004 0.49579966925269 0.601304444198796 1.02382156396001 -0.572290416572248 -0.860159554984124 0.435490231789695 -0.0823138317500965 -0.740127170085187 -0.424195902426185 -0.691450062315738 -0.785858360544293 -0.860304528047048 0.682371267082433 0.150959463453233 0.564747000606873 -0.661397366953645 -0.429920130851049 -0.530676476487586 -0.405160431694142 0.510315111876387 0.710636955486697 0.504768707590879 0.729063672517298 -0.151357758702429 0.541977610041771 -0.0425510258620198 0.436455260674759 -0.0945150776265635 0.430570015851998 -0.26500088094328 -0.199126946464725 -1.0698564122423 -0.44643626651232 0.408696434795511 0.170813069773032 0.460583521670922 0.296719609492843 0.567668448683979 -0.968412194548842 -0.261384572732253 -0.577245514955677 -0.211741978034373 -0.226154332378365 0.379137755268757 0.333008169194839 -0.0393111359817898
"t244" -0.0855576109421775 0.0706468488412322 0.598505612792752 -0.0109631983100654 0.0154688478025533 -0.00798018146379024 0.391022779949498 -0.453789451368512 -0.22518497427396 1.20232605266043 -0.172917647291325 -0.92210892288168 -0.480557139245773 -0.803737780825417 0.191813483905298 -0.302794428170899 0.187330079117265 -1.02567855303016 0.0699329471625506 -0.318678513725709 -0.556675919968412 0.384437310133773 -0.562011344620307 0.331590633159417 -0.137490809593558 -0.365208687471699 0.086008637856048 0.188646877649146 0.0201692115498333 -0.64708793345325 -0.0563908228886933 0.561799251335282 0.673716278174102 -0.495603300995299 0.358971089595404 -1.13234875538577 0.365553108451062 0.533850234649597 -0.402193056292694 -0.147657131774645 0.5249309580388 0.118442587783729 -0.148549461248306 -0.43110887028227 -0.515736958416132 -0.456907551140622 0.467297113033851 -0.411908379048501 0.381588631321427 0.515356094931848
"t25" 0.0244974255295496 -0.0331203791998466 -0.0888226407402923 0.46520815897397 0.00593125432797432 0.180998243109699 -0.0176915400078371 -0.233317102902467 -0.570993298990374 0.847135128707558 -0.128356657556461 -0.893715508560134 -0.740502180293414 -0.364308363215151 -0.173177616805112 -0.396304685518061 0.455000088756487 -0.787296751594066 -0.26723544057277 0.478436755199733 -0.153629330104176 -0.195514944936707 -0.376460663120208 0.241133336418034 -0.414814883643407 -0.35065565136721 0.233619281123771 -0.0345019522716541 -0.0920796814202141 -0.468472445433012 0.0508307584706299 0.149875782363585 0.630415058602154 -0.81068478732147 -0.155850294168849 -1.26649388323141 -0.598224872309811 0.325998964210174 0.476004381142946 0.0566348260292329 -0.131152107341829 -0.206034315219954 -0.227266637884199 -0.414533411392268 -0.481690985546277 -0.231047248850137 0.0680185071619269 -0.330443538581623 0.156624248021701 0.93566035541871
"t20" 0.297684145608457 -0.721770999531475 -0.452170927389205 -0.014559952047198 0.356621695772067 0.631516936033581 0.358076946947204 -0.177327011470799 -0.604634677744658 0.802840000028459 0.168968570102485 -0.582319193503618 -0.374480433524134 -0.635765398473638 -0.254967688672185 -0.376560865708217 0.433054619751127 -0.426523477541816 0.449451992529772 0.114861993543915 -0.267781537296292 -0.186342491936169 -0.338980772500444 0.14325612020929 -0.280442101195792 0.0287589060884433 0.30371616968049 -0.0368976738643982 -0.0798150082990795 -0.673003023296754 0.149087261023683 0.189571058493063 0.716970736415415 -0.377551456000403 -0.214549590336569 -0.76304931749833 0.4658340941609 0.803281363384584 0.0629928064091197 -0.178135995651635 0.0963526366817813 -0.141844502529303 -0.717816804424734 -0.333548963386247 -0.261247907317954 -0.774080922220757 -0.195943069045465 -0.190969800967048 0.61605269548739 -0.0230349242768919
"t82" 0.128797702381938 -0.521998853529916 -0.615334924415463 -0.0568934488315253 0.365525133081266 0.859432972084589 0.0348300372288397 -0.208155431388603 -0.526605260465334 0.607116224024294 0.169286699561741 -0.499696011170917 -0.477871175507573 -0.710472553590589 -0.185834591804844 -0.354707346002361 0.437430307008418 -0.51287185356799 0.819868305990779 0.0765940525790577 -0.219489656323085 0.0652261422017617 -0.383725118003068 0.0361334580062559 -0.326124614370664 -0.051075214830363 0.328777227188934 -0.0242723430227598 0.0112866352004773 -0.915818200967003 0.231987610613823 0.0945738846577109 0.837911179059706 -0.81524534713817 -0.68049972818016 -0.503217989271811 0.427840795722199 0.607929116634882 0.113733267717301 0.0732210521167136 -0.0208550140845443 -0.397062215257706 -0.599015087788424 -0.189765582554197 -0.473709672873546 -0.643343034876482 0.409023758043167 -0.553797318632598 0.735126902308908 0.123019878856075
"t128" -0.142931979705679 -0.706095981674074 -0.289102055019138 -0.0648070269865135 -0.464785747385539 0.775335471526243 0.153249233254286 -0.285764293525552 -0.126310850222087 0.560952811654348 0.0719476825851385 -0.374991344522442 -0.158611180810504 -0.894015213875785 0.0504085353005135 0.0492707050055259 0.136979088033116 -0.49003187997006 0.31270627631767 -0.0292745569333502 -0.528152430450045 -0.190426065521982 -0.513674518825423 -0.432493741024238 0.0251205152445558 -0.312245016442787 0.0247187467132729 0.292389185230499 -0.22584447109174 0.191587344718786 0.65730340336011 -0.00368057782890794 0.524292370567281 -0.224077791509405 -0.403025757471166 -0.971204203609763 0.136608879348698 0.662107725289672 -0.32648595388454 -0.0142662577818732 -0.0624904510566435 -0.370522408077983 -0.51048621205897 -0.337878317226103 -0.397170751237833 -0.0163664748978152 0.272489022748252 -0.440738493181516 0.404213053400107 0.0712308849915664
"t219" 0.403234612238576 -0.261268048597951 0.0923069598897287 -0.379365523326873 0.26912501399048 0.508169883288486 0.484311752395383 -0.278060009737201 -0.278209059308737 0.740440574503349 -0.197922450573987 -0.644708504439415 0.366996530854407 -0.636769966079162 -0.0808579929958128 0.0997689893349824 0.540434286328176 -0.0295102717534259 0.611947240150065 0.138340932161506 -0.966489520488975 -0.0371092762797765 -0.210488883403059 -0.0664831667558862 0.120180141148486 0.12430022472703 0.650626612317894 -0.17416333580447 0.399909295808497 -0.508646747578209 0.788342412914376 -0.0130269832814352 0.525245462336575 -0.451606215439722 -0.764012699072703 -0.613331991813044 -0.0280076288123311 0.0638773369673582 0.190063712967101 -0.409066009247843 -0.366267393872283 -0.214720955307326 -0.80557851444204 -0.177140574480407 -0.503558459620628 0.148649476935054 0.587066778328861 0.176353871630169 0.151128731384947 0.397471017689394
"t228" 0.393688284440939 -0.648880673660827 0.306464331197501 -0.385003902187942 -0.138956066716214 0.635304826667767 0.288774409001695 -0.577786179913913 -0.325652054628901 0.670625341961561 -0.263145020384596 -0.963292288097909 0.354326279565341 -0.852726449085955 -0.362630747403787 -0.135342179557863 0.0775315455322979 -0.343779664094993 0.0265848225187463 0.336921174391173 -1.07639723270271 0.14829827426747 -0.220075979594294 0.0347880337383375 0.0017899758523134 0.197506422391739 0.509017770587983 0.203262030155625 0.014158197321995 -0.0581700317220561 0.484553613335905 -0.046761745479021 0.389255704527142 -0.64266423180657 -0.91661402078984 -0.560664198658753 0.329047443413926 -0.0909924814260292 0.0959924162032953 -0.628282290323595 -0.513835169219488 -0.189206412815023 -0.383041030327664 0.069349720374622 -0.652501554912846 0.150844716610522 0.464035592096186 0.0994383249950017 0.186662957544328 0.457052400990077
