"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"t162" -0.434482965217343 -0.280408205028568 -0.466713416981848 -0.287738519851263 0.416809449245701 -0.401744736973137 0.347287455333294 -0.219183116189375 -0.0932452421485131 -0.037300705170806 -0.126746260296863 0.184091838442408 0.396035562487943 -0.228377270858825 -0.160834464971895 0.844663193103872 0.547253725079895 0.485520779511492 0.197877738373293 1.16539867957529 -0.7674795570068 0.3190969405546 0.154424523497172 -0.149365838437941 0.0276706746234449 0.515683825560946 0.940554274178287 0.139316600988797 -0.501808411961895 0.759683348733702 -0.81140259535719 0.121278648782247 -0.106014165916673 -0.142955823287192 -0.233831260852649 -0.118541926217677 -0.340573794051132 0.446281153901069 -0.111775897494648 -0.28137564033019 0.805922783256596 -0.635379592337223 0.654152550124521 -0.579932120999995 -0.716429965815407 -0.0417066264808963 -1.67635830970882 -0.222638105025647 -0.10137209747877 0.498292839788151
"t102" -0.536730248478267 -0.328709866984403 -0.179182534141087 0.174284416347621 0.333767932088604 -0.549080280013859 -0.00884462199395178 -0.62565631180452 -0.00126285935565028 -0.00590377710945959 -0.302088081766044 -0.366296175098196 0.660486467456225 -0.166781156984617 -0.53158916412253 0.726853038191257 -0.123915915491526 -0.542293661238892 0.0766303859773834 1.31965060329474 0.0384965271625991 0.184671765550117 0.1154106956207 0.54151124736089 -0.416142959183357 0.729822025077079 0.685899617942678 0.204997470331496 -0.0681237486328346 0.279080366659747 -0.784538341872156 0.560872591772299 0.801275076785353 0.0772003354043853 0.192325090098485 -0.0032858251692299 0.184627181550554 -0.0484822870975068 -0.186891908442452 -0.0160113753466816 0.00216404440486988 -0.545525270064672 0.0188951801990789 -0.321713414464033 -0.862166255658965 -0.177325333805345 -1.16357621425059 -0.416317238503751 0.296440760181521 0.118832350321005
"t42" -0.421211046833414 -0.277226806031009 -0.537501888689508 -0.0866587049284526 0.442094091637163 -0.725295746548653 -0.2507184041544 -0.280114049294663 0.349531933158959 0.443563730479296 -0.12251733182304 -0.303671874727513 0.578740472785707 0.081113320659659 -0.79227466100427 0.723819426351512 -0.438588640453237 -0.498576040025585 0.256406310676882 1.23368575138427 -0.39607213276173 0.109055062317322 0.228332787157554 0.680168922816635 -0.454544308210446 0.903388694093374 0.79768300802463 0.397920594264869 -0.0523002558660754 0.239939800839975 -0.585152310006411 0.576857708729874 0.209203560154861 0.174729488297664 0.136667827337323 0.115968975742975 0.0767571402897697 0.140458784204636 0.165480057588693 -0.0596772600000901 0.52472310765007 -0.425570895089524 -0.0177868328923153 -0.027744277617797 -0.665494457384153 -0.298271830559635 -1.06617164833239 -0.63494018522159 0.561733232839641 0.214900207368881
"t176" -0.607137183515606 -0.438814721853471 -0.466620932314009 0.062483436639777 0.390049627835964 -0.347819385817932 0.0311153590404313 0.0731128401037847 0.404436853731841 0.147649739131063 -0.286461659230496 0.297406027103443 0.105087043079006 -0.127317451539163 -0.779081925355262 0.647805227896924 -0.0240979463301169 -0.369597243817673 0.39328646543245 1.18153793084792 -0.280645077252509 0.229628474232593 0.395688293521726 0.489345745439253 -0.147561849854802 0.565194594085279 0.686704781292485 0.0701981489397969 -0.76839402371587 0.738980623304874 -0.602957411814946 0.11402878703239 0.413302376870398 0.0294163759562391 0.0413115356753268 -0.104920135187379 -0.709210148904555 -0.172756172334374 0.300948882235246 0.287325014357056 0.592114757407631 -0.209369050104645 -0.518009832493552 0.0435306906921847 -0.227984886403833 0.0379531448557827 -1.06024756297419 -0.431668560084955 0.28787068712624 0.290756177318651
"t21" -0.417252650207514 -0.263762469974985 -0.9836644220072 -0.29168638056886 0.259655712041433 0.0325604657798354 0.0413113453088139 0.135202126018107 0.236486923128925 0.546253362602327 -0.146375583674944 -0.43641963637764 0.377246275137993 0.243582126073696 -0.731477533897911 0.777552252005798 0.443654064820071 -0.296998594034912 -0.274048624695491 0.899689675581342 -0.420673632534933 0.420429560900435 0.467275269653021 0.175487239088613 -0.408806725645446 1.0184206546811 0.62858510193522 -0.325474576571951 -0.531846578792853 0.286093582243387 -0.926972597895722 0.366530818612041 0.60295199345813 -0.3117631351991 -0.0573411764699343 0.0440615679590603 -0.0659229917136446 -0.470544373705169 0.273595782615275 -0.115544139406341 0.345900506351164 -1.03661083776979 0.277167603825309 -0.312458615939182 -0.958808285981945 0.543802551915578 -0.682426928643688 0.368071446140452 0.0384399483803661 0.460888624084869
"t55" 0.27264437466803 0.142488377596569 -1.00948102938693 0.823283717319347 0.228530534658051 -0.0985255753690887 0.0570363554306871 0.191280189747518 0.199244709361784 0.315962930508731 0.102793205497765 -0.535358864376255 -0.167060951019367 -0.445049978332922 0.778202596840464 0.146621656376748 0.370759078313802 -0.127715227597432 -0.178529710736654 0.373630106516526 -0.362608152698714 -0.630073026509308 0.533796562426726 -0.259003021585864 -0.313085736197659 -0.215808550540926 0.609506542700355 0.0880522010461758 -0.299645281205086 0.388720515190246 -0.400044066161281 -0.208780728508153 0.216372707654127 -0.146145104639064 -0.352801624774715 0.399760192254604 0.188727801201836 0.280563685425376 0.391982220916052 0.404789413833513 0.142917230373111 0.0392033133996505 -0.272108855567423 0.298960320987253 0.37812059031806 0.106521171926017 -0.742176520680176 -1.325744997535 0.343926741098954 0.400405508551443
"t130" 0.409766041129971 -0.109886704659473 -0.442088137579728 -0.345973499704183 -0.145220570335801 0.36643967908464 -0.23588792336586 -0.560567586021365 -0.127146756487773 0.039178500164755 -0.382785181374524 0.236265706698327 -0.608149048422209 0.648761512039872 0.0339633197805947 0.208946581751272 0.184336281102198 0.553638937744409 0.117300948454495 1.16843541887214 -0.755663425893601 0.030189750054012 0.26293174590283 0.110944776686969 -0.752106985918354 0.677038338597907 -0.381453590912222 0.189317734133866 -0.0655631627970427 -0.192916896281436 -0.499756508772008 0.210502851439502 0.729202966322771 0.457120215787992 0.032737016608022 0.30275802216103 0.0037588708410878 0.710543079396668 0.0685908779188451 0.319435819233769 -0.503696726162336 -0.493177378710689 -0.305176802858226 -0.175128799127529 0.336923022726624 -0.266622114669905 -0.463258839274021 -0.629266157222174 -0.556742068806432 -0.212747321021222
"t218" 0.477339487773217 -0.0694600094922014 -0.341595918922272 -0.445841224308996 -0.245633062657377 0.155304261750888 -0.613116206622088 -0.503821070655372 -0.359478614718859 0.153422919130208 -0.636808615773239 0.338647770537411 -0.775148475628917 0.673786142601478 -0.111742997403166 0.428206531663464 0.104094081190168 0.387724025217259 0.519391101037154 1.18618441023901 -0.580725228283759 0.00461472134867839 0.655217972126722 0.195365419218316 -0.429108458833227 0.571434438153174 0.0659415288484673 -0.110379767954405 -0.126469335130755 -0.310797659147156 -0.980167983605715 0.217694395959751 0.429851546876202 0.586153517475618 0.074013935918534 0.745700580595292 -0.097483277025335 0.554372708427091 0.0533756775749101 0.425508373476366 -0.173118873453361 -0.47854150055088 -0.180371846513579 -0.502434071736045 -0.0388635925487752 0.265177221692323 -0.169744006116048 -0.887045705312911 -0.244940422541862 0.117950646802995
"t229" 0.0123420721363722 -0.683647024514896 -0.245263069929237 -0.00385142962137328 -0.377434560320461 0.00578944592840173 -0.710821750045422 -0.446905980822409 0.507200073856853 -0.358048126450774 -0.312589975827 0.376470197680995 -0.826940931677643 0.726079134279661 -0.0174431579439871 0.15154766189372 -0.178826258518133 0.273562579980403 0.573573217800973 0.658529771907078 -0.393808403347415 0.0875793875228636 0.16307349927173 0.565419038445991 -0.122677799837107 1.34831416657209 0.299438023074808 -0.315625992206722 -0.301166901319031 -0.126291621150188 -0.0725777422630778 0.0297584836366378 0.326329351981015 0.0892388408155434 0.315420520555986 0.595695958943442 0.390212111385542 0.735535661537784 -0.601853783901251 0.761586026550924 -0.127579300705702 -0.327844411779204 -0.327308229497613 -0.608402621511405 0.671689398031654 0.262002035909886 -0.423626275083984 0.073665037033554 -0.886278515277576 0.0366527537184996
"t59" 0.0174228254985079 -0.0586899939403786 -0.221030413782917 -0.103037647836059 0.22531109278789 -0.6797058941786 -0.582781494970608 -0.342600113508001 0.238625930110767 0.250143540641103 -0.340892577795563 -0.00156078823327204 -0.708451135855252 0.297124542265119 -0.367383611035601 0.0167123759199286 -0.0866532561998171 0.340151465890563 0.298163387953205 0.781772651966157 -0.693804683221037 0.129071827705198 0.425932539089052 0.023550503088747 -0.0123173660617041 1.53340751784756 0.555873492625838 -0.421231713707265 -0.100138403284376 -0.401668221183343 -0.240570377621876 -0.147738272489449 0.0266404470999102 0.0224071056852595 0.303930661074654 0.54484791535872 0.171126162648138 0.678555088689242 -0.242021681619715 1.13316545799614 -0.41044257538315 -0.151647224695656 -0.0332029472176931 -0.585189171518848 -0.0633274284625558 -0.234877550350891 0.0289812881549676 -0.225395089501596 -1.05414502487466 -0.123897875797781
