"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"t137" 0.323091575942325 -1.14455177436853 -1.33446852919092 -0.998899685561474 1.35206779524841 -0.5820926002717 0.0359981286494729 0.12470792875517 2.16322631879937 -0.149884128935434 -1.08113239543934 -0.0710383062806556 0.342761483863345 1.3512789325112 -0.39851364311306 -1.03522132162899 -0.214362019130263 1.79054317332352 0.106006481607982 -1.94979559687468 1.381483354723 0.492445510265025 1.30641121418766 1.00930921032901 -0.0941361000705516 -0.118341088662962 -0.456591043477172 -0.147855546486696 -0.364863360295941 -1.28012628730192 1.35104440410172 -1.48793876096137 1.54525832097379 -1.30799523719162 -0.523778243231814 -0.299333210231184 0.191201859427311 0.979472854306101 -0.824337912295183 -2.22387653180295 -0.678726218666533 -0.196581914384129 0.204418557417228 1.99263487470198 -0.540030716288698 0.239027261251399 0.013462616127307 0.731047550196995 -1.58950061430854 -1.03991973664445
"t183" -0.0389126266777386 0.0773424760015145 -2.16971492525966 -2.03301760109006 0.125605640597839 -1.25652986198717 1.77023899079421 0.104083753586655 2.1833163604122 0.160629138585761 -0.694025821680077 0.147120703482596 0.503377245320985 2.30315300474637 0.290218867827066 -0.523173459505757 0.202302082420152 1.63741267647232 -1.20202713461853 -0.834666964816746 0.832367143882276 1.21045256909038 2.02147037088496 -1.11041378630581 -0.460412849443917 0.598104616190824 0.056521754212974 -0.358509198980752 0.727587202461354 -1.3337897947194 0.581887894507409 -0.894423016322995 1.20022012031966 -1.43706556379712 -0.384643971157708 0.733638101313921 -0.0682634801291993 0.49892604581908 -0.271584098374862 0.186274300528678 -0.274863359869174 -0.362099147670341 -0.0449687515831114 -0.251484867429409 -0.0223897955879103 -0.480046746379461 0.102920923191087 -1.22475842435481 -1.85904250924558 0.500460113395516
"t179" -0.808354652530208 0.992747521127769 -1.24329399110918 -0.939545466511683 -0.0222291043884474 -1.69268212607971 0.486252190157695 -0.569058814760801 0.225779973549016 -0.620111489589946 -2.23161535050295 -0.287284542550593 -0.554235531470905 0.0797226758261746 -0.151708117952333 -1.0594080124799 -0.807514567145372 1.74930882389518 0.1886751186351 -0.707151840308857 0.190357003022976 0.801269368354646 -0.154459098762946 -0.770191769200072 0.0961339478965247 0.739047991846046 -0.00722297827619046 -0.845528014768082 -0.851778153854844 -0.108828356746255 0.62448488614754 -1.74534445616207 1.26163924900246 -2.20658974444615 -0.652994360151988 0.513497269270311 -0.484414422516839 0.759083615011655 -1.4953337574256 -0.16464442798255 -0.614094493013564 -0.770290894514083 -0.584500962700198 2.31910472177732 -0.147985477446147 0.464672438521419 -0.0185729120539109 -0.679831022325267 -1.32087018173378 -0.699883270288021
"t174" -1.79349742702035 0.32234916096218 -0.751741251766353 -1.71086981465267 1.53086420360299 -1.96182532142538 1.33009368044095 -0.728566601449804 0.266945010308642 -1.0881111596054 -1.40924326695349 0.137622781308991 -1.37462325207202 0.541082821453355 -0.230668625083773 -0.719385414087367 -1.45464480526948 0.996288406194685 0.671703143529695 -0.336269590660628 0.363384920576754 1.61212677529477 1.12688946680008 -1.15382598890354 0.649792619758497 -0.323492312172002 -0.471125414493493 -0.732479849870364 -0.169385552535073 0.559383868807851 -0.0388956013853849 -1.2888367449888 0.757989995283941 -2.34997311707531 -0.265641821035968 0.139055319374509 -0.424297015337905 0.536891281625246 0.184619573114322 -1.41626527070937 -0.591845780116764 -0.630696421066573 0.479134423705571 1.62224848637263 -0.368081198009227 -0.0675101847014072 0.430319307066454 -1.22545788567064 -1.77515193295099 -0.687083045354503
"t170" -0.857707356905989 -0.276755600789336 -1.22715014645919 -1.55936600483621 1.39735544576684 -0.842081324685309 0.842386986741162 -1.27858258273644 0.864611091738659 -0.28920276617228 -1.24555225733531 -0.172679291410921 -0.818511186863723 1.13335062768058 -0.226982406033501 -0.298855396511198 -1.56489099427154 1.05202339138613 -0.141962639442025 -0.31698122485369 -0.102030324790791 2.11192117576827 -0.0793125743135485 -0.803964072806056 1.25323577059364 -0.260984752937839 -0.107419982047939 -1.56552280990183 -0.872872679659411 0.410257306246463 0.195028465914872 -1.64743078125154 1.48525262571894 -1.73336684187695 0.184638649350359 -0.221787710931634 0.380248653465784 0.739434790963255 -0.0738107722889012 -2.05129811923803 -0.568578683767853 -0.790742757120207 0.480435246750428 3.17621565441743 -0.216191796819442 -0.818866120555771 0.409558598644928 -1.30438874693739 -1.32924672362185 -0.043890621399988
"t15" -0.704745065193007 -0.767691457149727 -1.35561351237213 -1.41897556093969 -0.6026814679836 -0.981978161446751 1.51967258245828 -0.0815743304906891 1.26236766947465 -0.0754527595278223 -1.24432294376637 0.507007144111359 0.187572788490183 0.629803221663598 -1.15815835423745 -1.32951199318292 0.527645172261361 1.25393838350624 -0.308689386179252 -0.0848466940027742 1.00784462836406 0.0216036248302985 0.416287493445617 0.0842427076652188 -0.238015672390908 0.369412465674999 -0.475311823120903 -0.715646711704664 -1.08953716283362 -0.517079197956466 1.62126217489404 -2.05845010361885 1.44634410831688 -1.98327968758491 -0.940605829309799 0.248810899590002 0.195685487325632 -0.641430003019111 0.280142382327788 0.00291511345998286 -0.256124803309356 -0.776825668510094 -0.110751652047886 1.16208402067465 -0.71343824193156 -0.407863716733833 -0.0605777392760754 -0.456672788713125 -1.9311811154101 -0.505221862442983
"t181" -0.828565301471605 -0.970285148745417 -1.74215756023699 -1.20508845234151 -0.613841832311273 -0.403489358006573 1.0623214489321 0.385590190536485 1.13286413213813 -0.0991438212766757 -1.58859644284357 -0.0462466099085386 1.0565810004718 0.805381266535651 -0.240383336929317 -0.480761914962539 -0.363937604208426 1.13281409478925 -0.574820697336807 0.0921732570667116 1.0113740862562 -0.284289084724284 1.50461130389163 0.09902761325427 0.782755852151997 -0.807689819707992 0.0282569646088904 -1.4103398559589 -1.31954913564029 -0.530692260487091 1.21792912896951 -1.50508411541025 0.660062223876322 -1.33099878633781 0.893854979993473 0.524050767062721 -0.214750086351774 0.256462082529873 1.03169698266749 -0.493604539508719 -0.584042670501402 -0.565666681651482 0.380442459178177 1.95390474681279 -0.374432705728895 1.1293737603388 -0.141485250221431 -0.154163438787613 -1.63485514800019 0.0158831509575827
"t100" -1.09037841821792 -0.515913680198989 -1.58473618951754 -1.35224057661012 0.116364731067286 -0.464105649716669 0.846008203313757 -0.52122330974786 0.736780292609498 -0.272022622921662 -2.32912240699661 -0.215177990564363 0.91956219124903 1.10570558306112 -0.499383293690599 -0.159516264923283 -0.585147332520047 1.13970153861042 -0.480559857245928 -0.487163964661087 0.392300524619808 -0.515541498806663 1.3946439470545 -0.227367049320007 0.714592731168823 -0.667989671289869 0.224616077444973 -1.24102709794206 -1.2441716406632 -0.426469150826199 1.26075879186942 -2.02988540818912 0.951270178476056 -1.41038532733645 0.664580008434955 0.808081729417142 -0.0115312250906016 0.0508908578692689 0.927831668862943 -0.762520764144718 -0.333993294376808 -1.17581907834813 0.119020730853165 1.36147689023184 -0.497660536393104 1.12010693152014 -0.14928066830351 -0.564746589696871 -1.63522630737115 0.317174176326723
"t199" -0.00248625844067434 -0.211060355103875 -1.43453237137794 -1.43224908770873 0.573929595491276 -0.621965615945321 1.14218524887886 -0.595464221944147 1.84395684050553 0.0747789898611545 -2.44719817828547 -0.532805289296805 -0.306057503271382 1.39335308013196 0.63658962132709 0.128289295901239 -0.110210254977078 0.400302936639985 0.94097587026154 0.587060930400646 1.51478077517656 1.46907885346854 0.176798463196462 0.37215395118052 -0.195056630174283 -0.177165387744684 -0.0312147055268369 -0.893755727566009 0.250106229431775 0.338517947285652 1.57518071656574 -1.94143520912785 0.819686465111724 -2.27992479404743 -0.921628870544305 0.296609045058074 0.502753588807668 1.18421767853796 0.975469439877575 -0.898941022596617 -0.714623995868877 -0.102513781255648 0.658975746952996 0.996519965601049 0.12225096140809 0.482868839668346 -0.396514080047675 0.795357891380567 -1.85143336368326 0.0414699031117176
"t36" -0.290196156900398 -0.154182099508397 -1.89613046143077 -1.9207689741825 1.04620034423349 -2.43221540241795 0.757852127980576 -0.918269067203338 1.24519120080604 0.360926748946835 -2.78990740619098 -0.25333953709367 0.324842679991147 2.24874019984076 1.14962031037938 -0.411324257625248 -1.16258828718132 1.55316366838634 0.780457966565492 -0.0213405302083115 0.372017902559472 -0.0119131913515744 1.16659393621754 1.06479769214529 0.618041311307172 0.465703059734992 -0.463150778393936 -0.376112000316562 0.0952071248615938 0.748456466985252 0.994663033635245 -1.51366954133922 1.17023772741152 -0.155471402099476 -1.3556370567123 -0.680074260605043 -0.173204643366116 1.49779963982787 0.382114426748306 -1.42765358483332 -0.636041775497984 -0.987648016225416 -0.847954935541931 2.15388195758014 1.19928893505964 0.0655257795417614 -0.838134588388261 0.369637333691841 -2.90644875157125 -0.943808532768351
