"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"t137" 0.151223444597372 0.575727578570025 0.269496435732855 0.701437879003074 0.0654398878840314 0.624453832352616 0.203306831749015 -0.0654895578016374 0.0821730306414671 0.29440828695001 0.548409932145589 -0.0942592475868104 -0.138088992848044 0.239864139376079 -0.329495903776311 0.235330724458752 0.490513666084538 -0.0474464499293238 0.326071766128021 -0.00264539534920638 0.408904768361351 -0.0567562101891767 0.206116392347691 0.088314515642926 0.0221549655758158 -0.284813930035525 0.0704309785230114 0.0466349260168297 -0.0948818740203463 0.624098825828129 -0.0299795287946002 -0.082506811710436 -0.515010625976238 -0.794169151283034 0.504078005242502 0.162151077913927 -0.10104393593866 0.261613316512448 0.729918104494294 -0.159368793303357 -0.0375317716272606 -0.379458469247342 -0.274041179975442 0.347204317190997 -0.360323760314706 0.343922860880872 0.058729274376939 -0.403318093663076 -0.0888211943464739 -0.328145954670028
"t89" -0.193617485671848 0.143561523207272 0.859302951299446 0.534461442159454 -0.383987680248307 0.0861234572351424 -0.61616536511646 0.2124564083617 0.631251353016147 0.0492777560281658 0.690461382054203 0.0227871125174236 0.104846542034491 -0.70077410888386 -0.323374542374586 -0.346979495035622 0.809098420067791 -0.33846951470225 -0.0682640050643007 0.402385247232493 0.466141781444515 0.08128643274586 0.170396201379509 0.0935753678166457 0.258921534864302 0.0240741162078968 0.529468244350478 0.0106166501548575 -0.484027253099911 0.186679210490996 0.0291557913254781 0.172354248402585 -0.266848366256079 -0.454817594607948 -0.103357938373854 -0.251051635411787 0.0326407428201667 0.559078288828515 -0.142070890852863 0.319011316444525 -0.00642441195976251 -0.105028989592029 0.108170108386764 -0.330705233688277 0.513240524578903 -0.228032789047903 0.0547493600588976 -0.113785917769742 -0.40318714862135 -0.185662695977596
"t46" 0.0529205460900874 0.0266113268663587 0.553672783100958 0.26575342280418 -0.111949071691933 -0.0877858105068095 -0.704854922869473 -0.257397473596823 0.840539728743723 -0.449703869329271 0.217985484584538 -0.00152468849828493 -0.25132315403228 -0.541828537279681 0.174379737407697 -0.0648263065667282 0.676501631375047 -0.738698189654745 -0.282579807131241 0.00469097628500167 0.495441626397032 0.0857495739795017 0.373774677884101 0.341853756639938 -0.088607964982371 0.309712286280661 0.616811653129802 0.134394107530319 -0.419468065186021 -0.152935365007583 -0.428707090372315 0.301589627037543 0.133504196965023 -0.680765021155366 -0.113329244494651 -0.201738573944826 0.105879827575898 0.161659621170908 0.441885706882675 0.145754660863455 0.0642877210906142 -0.189350552735487 -0.01634777687045 -0.107562137700044 0.213462468540175 -0.31961188030432 0.345629282988436 -0.217157709557686 -0.545437485859415 -0.643579892149889
"t38" 0.318122873372306 0.0408429578625992 0.489510235699173 0.00402562849607117 0.22613713262103 0.0202196606360757 -0.294944962726345 0.363293057190009 0.344981059283157 0.174074855355753 0.616223453415397 -0.241789597434814 0.342474346649595 0.155987038433074 -0.650749136154525 -0.0669089919015371 0.0509825469357881 0.0914723534249532 -0.18955081484077 0.497567547511381 -0.428144080060181 -0.275646138936697 0.0881969488660478 0.324731743185434 0.0813495287663271 -0.223061135219095 0.673834624137434 0.775275290703394 -0.114097918316362 0.259444950965531 0.0864103533245983 0.817020102269769 0.106072682664173 -0.611762437355305 0.469496155361154 -0.487722426474956 0.131619132694203 0.309359167482838 -0.246503334152414 0.16293455183272 -0.739575469235509 -0.0198716419161663 -0.147916071171802 0.241173822139559 0.102421737498317 -0.26442517002127 0.22777859314325 -0.582418476842501 0.104450236899803 -0.269844745888025
"t70" -0.194833977441028 -0.159415091257903 0.0653977960525463 0.6154246065219 -0.179135499280323 0.10033537208092 0.11454732792572 -0.100576692227304 -0.250635974251659 0.16400835772097 0.443529321938392 0.113647035850957 -0.0537298196566048 0.0618102066526401 0.0391711011379867 -0.0929503682498227 0.257022037742492 0.121260745214863 -0.186086258284764 -0.0104731294671487 -0.0767981730397971 -0.548076457477271 -0.140696162459349 0.284125428850812 -0.00145617844955037 -0.251210326384631 0.208540980023316 0.263067474240642 0.0518521496097479 -0.0246879846780445 -0.0571057555197849 -0.300201058321625 0.263365381646253 -0.935235896216423 0.511131024658555 -0.459398655505132 -0.0127499780458021 -0.116644648902387 0.161995092480525 -0.393998415051918 -0.447475224554183 0.575292746796663 -0.207581780747149 0.312049914132093 -0.0191739456544179 0.161792940435773 -0.515487332996477 -0.48373721759353 -0.611567895013436 0.166207278277697
"t13" -0.311947391379127 -0.0536976670212998 -0.326594985863528 1.13052756378566 -0.492301959833146 0.20847000103608 0.0288516151479086 -0.234126322087696 0.606563286446777 -0.592854580524261 -0.286120454417696 0.312462831708907 -0.123568575577958 -0.882718702346897 -0.162668561113803 0.126534658089847 0.568155422925414 -0.284277615846651 0.258005209633239 -0.424977181430309 -0.580775745289882 -0.102122310664188 -0.15608998953007 0.123853906121733 0.193026895011345 -0.011318424933603 0.565484823573426 0.337115186192835 -0.0547476341785446 0.599274024232787 0.265478811603326 0.0772191103527217 0.150072718795759 -0.24126289102961 0.789917211699216 -0.293876014067111 -0.456697569643995 0.245656830402078 0.201936099773563 -0.573651880042787 -0.311526960977776 0.320074141126192 0.101259825516272 0.285260571261474 0.258505841351235 -0.410770747858165 -0.201448555810967 -0.433113038092764 -0.574024176015187 -0.216475373315184
"t72" 0.180463110498261 0.224545748584707 0.186357185534869 0.426189872756199 0.621895554211425 0.132828493283976 -0.396304038473027 -0.0657407637175152 -0.461082119417283 -0.776423130635033 0.167398689350998 0.0915542477569037 0.183318952341072 -0.660608710737305 -0.098417755274301 -0.00893808168979138 0.288361139437924 -0.175201021287267 -0.404728012771338 0.280810412426409 0.251084755059182 -0.417105532116576 -0.314176218245731 0.443095112317267 0.853924304951262 -0.0987674713206411 0.215207088169339 0.392877633140713 -0.829609849594015 0.315838778342388 0.42488051548811 -0.640730979640816 0.303072738573367 -0.12526844837452 0.52241988027168 -0.815727708608521 0.208182274476603 0.171969893165972 -0.304984335630328 -0.432154635456963 0.405175075815679 -0.00824551574241006 0.197089654906515 -0.00700288723406939 0.233404330335855 -0.302068407685751 -0.297214470840259 -0.555090318161067 0.162536941720249 0.09916669816569
"t28" 0.00876446671436409 0.112537154205922 0.258673813368636 -0.0349252493073234 0.152408975434469 0.46036828378017 0.084970759232173 0.548270255376191 0.3574215872526 -0.405536967187084 0.48949327658332 -0.0393787445155278 0.109842857357628 -0.102712695030894 -0.512812369877397 0.268189517024748 0.332870345842965 -0.381344381526561 -0.180089759028094 -0.141634325851218 -0.0710948520502018 0.0726590424818735 -0.227908394012217 0.766710984254055 0.832270185116433 0.00621594358657437 0.0982365940150979 0.114340270098281 -0.0852984069386956 0.307971069670318 -0.0221604645837092 -0.407135749133927 0.486684150358413 -0.429374509575273 0.338285511655969 -0.247884966031564 0.30209327333535 0.0873639118176299 -0.464416974445342 -0.172192691701911 0.152271721954193 0.0959463195466202 0.346798495107555 0.252134207091113 0.27027964954617 -0.0977791507204117 -0.153620807612196 -0.581239512478542 -0.211117843714578 -0.296845449215864
"t166" 0.31391053999612 -0.0256547569334755 0.408606054447486 0.532242578489033 0.190450595467214 0.609810523508854 0.157754809452348 -0.0476831860976364 0.0329777068608064 -0.197766462181131 0.394969755958492 -0.340810746540244 -0.121030702186858 -0.258865689862289 0.277015825538754 0.089839102862547 0.37287942197315 0.283952306205264 -0.0681475475616165 -0.0587018368056421 -0.311804143587444 -0.113070951467029 -0.0530031873571234 0.760642035744709 0.505971912648808 -0.0217232823198835 0.831957482166444 0.208890278066929 -0.349806448094887 0.564151855180324 0.390121221685891 -0.513630998862097 0.269158118921401 -0.14989512720743 0.667116339102421 -0.30534246061562 0.503215000903598 -0.269967342931571 0.245084406801904 -0.290655734544682 -0.034858101271861 0.565024697828074 0.779627487654556 0.367237862470112 -0.364322161733545 -0.137280619614982 -0.55323371236095 -0.256523221187149 -0.478736616583701 -0.238596566937024
"t159" 0.0200932661325332 0.0516618406829317 -0.0445639920135438 0.484473356433036 0.450753571349096 0.408263865633554 0.366987874476593 -0.142382146258302 -0.299970552296791 -0.286072752850158 0.426610678326072 0.0178025847096657 0.170078150068051 -0.656250528305843 -0.0302218473119122 0.196415052355281 0.119469074728231 -0.275031792039033 0.135061352989414 -0.114954901861062 -0.046528343837414 -0.551328539734312 -0.0281353194105713 0.750697841722354 0.735575065604372 0.187409320275893 0.679128946441502 0.370466632005274 -0.346137723131714 -0.330086042488069 0.680053301924475 -0.472156632822419 0.434861846879868 -0.380076885890658 0.504200153250789 -0.111897862680957 0.124607218107523 -0.0890613318068797 0.0884295245988937 -0.467116959660924 0.385845618860413 0.16595568867465 3.2801087599732e-05 0.166210185761055 0.0425311751929324 -0.333394249059091 0.068183367556296 -0.467374833356577 0.262100577260579 -0.596403856679277
"t174" -0.116870451402632 0.0296194823927335 0.365361599368338 0.153132381102876 0.392602896583347 0.488124362509961 -0.234114967534731 0.181827337859928 -0.617988774952611 0.00511245634196011 0.372067786959578 0.119172228907091 -0.0184355011690476 -0.233358199794802 -0.162220027863753 -0.135656644342547 0.522657168642938 -0.179040360018196 -0.106884271490369 -0.55962362871008 0.0118581395686212 -0.458333516321096 -0.0781683041546238 0.476025573723836 0.531949585733661 0.0672642158895453 0.126761414136306 0.234030032842723 -0.495395257391521 0.524564543189745 0.52145606601062 0.0344399904658527 0.007983403777025 -0.838890796876229 0.587906701462938 -0.529989748353579 0.368606736095323 0.106750754032422 -0.0685163585793621 -0.521509794380736 0.197497034962244 0.33062331602025 0.326364349863217 -0.00187543631988152 -0.0198433181844525 -0.0493470474403243 0.278686156506855 -0.537370145575132 -0.214263324734163 -0.0885561080768917
"t6" -0.219921243137995 -0.536892908501985 -0.217827776409858 0.652565163286274 0.546611964550865 0.283844345438254 -0.162445401828996 -0.26139031809379 0.202182244682965 -0.425842781664178 0.519179767306786 -0.239778847568213 0.223899182493826 -0.774109376994809 -0.189524153792404 0.276057673446345 0.33832169343224 -0.024132998323748 -0.389694062471517 -0.184351276964472 0.160304907394671 0.0514613312274807 0.419919370750477 0.529444156132818 0.614471114723649 0.142325900195421 0.310301704572649 0.702603238331933 -0.726022382388479 0.344875768366738 0.358265808298827 -0.143533437452796 0.142594597264652 0.508637633229534 0.745066277041949 -0.62774824866322 0.206407011784799 -0.305556144676843 0.01790722458743 -0.472156813133247 -0.0718636397912503 0.239869869225212 0.347086163550742 0.210048826165141 0.538542095790543 0.0963686965607909 -0.359736649456583 -0.328792679549455 -0.400922741755077 -0.111902745495543
"t15" -0.76532557719458 -0.498406992966817 0.14611445083472 0.0403743793393386 0.209724345245049 -0.110452269425993 -0.407891792252011 -0.0681309108353173 -0.396049243261749 -0.220955834323054 0.0856109931247423 -0.0742725983678932 0.0488399125811835 -0.00866744094919789 -0.219821841363421 -0.0673873649436807 0.699361381170046 -0.192631740329371 -0.0714410798957494 0.542226400078536 0.0978284821334569 0.314219967833674 -0.12183306748547 -0.251892958449104 -0.134557595723501 0.0279603204998838 0.81683771972774 -0.000512898843981757 -0.508686007064422 0.0127589881085733 0.268648528877375 -0.127243102681369 -0.345439229755191 -0.777382347733268 0.369191674357396 -0.136631953893834 0.577266764918344 -0.313568088171588 -0.389859085471401 -0.0882234075787051 0.226604672424422 -0.1158249532684 -0.57337503020698 -0.323793116773013 -0.459309638007301 -0.192036389393406 0.0887639944804445 0.0685514314630823 -0.434457636464667 0.14061228015524
"t144" -0.683094706588665 -0.334947528419636 0.771369964270484 0.203126028453255 0.0934759275714469 -0.481271927395751 -0.525301732375377 -0.00229982715679376 0.00182096926588121 -0.053634481163718 -0.0259504115371295 -0.121155101302733 0.0919309237851121 0.468899065804386 0.0248736759842909 0.231624237383675 0.801470532229244 -0.245845012056307 -0.233174994761525 0.634293363053347 -0.122610919133184 0.340346201181577 0.168726565673151 -0.390805074051903 0.607347104593826 -0.264153608179591 0.754576243858433 0.314413583805956 -0.492378322349368 -0.184415054920715 0.206905479113131 -0.116701046087746 -0.025153820611504 -0.720089756074861 0.141267907584713 -0.0857950936335509 0.455226422796124 -0.0791279729440118 -0.615507128542472 -0.157291788160695 0.0218143646839829 -0.248634774556888 -0.636131615642767 -0.0301080816420326 -0.569220904231131 -0.203802342849735 -0.0161295100436728 0.157383759806071 -0.545373378834716 -0.124348199651987
