"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"t191" 0.434855402792326 0.17321870672212 -0.257090165116354 -0.00543623916527572 0.0509608906265375 -0.0996640910867099 -0.775879713782647 0.400969032628774 0.594216915085748 0.423552897086647 0.0781772812241717 -0.646928617269579 -1.08940239081161 -0.25553346671084 -0.6342789477334 -0.202442392475192 0.0331710374964119 -0.27211786071121 0.127586691484469 -1.26011729090304 -0.474705795740342 0.268724258391728 -0.461633909398803 -0.0751570048640292 -0.280024285379552 0.246447500144709 -0.26613861313849 0.227185991357763 0.0833035216488355 -0.828437792352518 -0.868983710931615 0.127441023326918 0.738707810502968 -0.354814035093499 -0.541805733437229 0.0958196474012755 -0.569924362941472 -0.0843564391859274 0.0895384596916378 1.14524621984766 1.18010507256556 0.568678152726935 0.510589214615697 0.353792634212477 -0.0153406469533463 -0.593512362287092 -1.1145300260553 0.626903216159031 -0.133432008146237 -0.39689255707689
"t150" 0.118596904044742 0.15646089890563 -0.41298404099769 -0.289950776019408 -0.241443629456427 -0.122732341131037 -0.151211586602102 0.255237951607394 -0.064830224617307 -0.388318075798525 0.300605008139451 -0.116545174343801 -0.348067083366151 -0.0423079669949872 -0.830583533829929 -0.00234111567857913 -0.386473736783882 0.350254853598473 0.204915263779072 -0.805744636254881 0.151962202846727 0.66749433542773 0.445537762390288 -0.484108111907194 -0.379010148693667 -0.0648440000126447 -0.743580546250011 0.207117575260394 0.277172829134075 -0.209401804986503 -0.873568190007965 -0.434366665628564 0.368618703022387 -0.114948456528774 -0.901450587289692 0.371541539079644 -0.503371336449934 -0.407653435058512 -0.0101718889522398 0.855045013551215 1.47559187957421 0.747041091271944 0.42658178056745 0.192683586798059 -0.601617165930418 -0.152076757419976 -0.678372374727735 0.20062069757089 -0.464948108285105 -1.12252720819011
"t186" 0.0688184846178112 0.17004759663135 -0.375433047780806 -0.25042829453026 -0.19484621516227 -0.16033446811439 -0.0896385325341204 0.218035692534149 -0.148601443132178 -0.365717183307275 0.336202285128402 -0.0204440075972229 -0.371595252326493 0.0332795062859839 -0.848870333361289 0.0211835083049135 -0.255568011022531 0.447542787413702 0.20151635122107 -0.814149138518567 0.078249015617605 0.648684891961185 0.343088039825363 -0.453735778404856 -0.419709092961302 0.0286845402488053 -0.717214655744695 0.172756182545992 0.445225906354996 -0.218531029796184 -0.847313616754582 -0.362152853435644 0.360754342790271 -0.121686518722147 -0.96111356454518 0.463372267252641 -0.595425217625781 -0.46474115423275 -0.154047298019724 0.898955701527378 1.41541709002651 0.696644274624394 0.537313859573256 0.232499562352911 -0.686304911643824 -0.192629072806921 -0.68668892363127 0.187516373307782 -0.582507045634182 -1.18027379857139
"t107" 0.151587907684191 0.654956026358312 -0.058780636119775 -0.43769651563542 -0.52793152588018 0.0773367783797412 -0.728457661464831 1.01496764083631 0.830083540144049 1.02912096341323 0.352585735514769 -0.215069361277915 -0.972461829675739 -0.415717003276236 -0.130302667296359 -0.823919963390359 0.20430234112512 -0.160535154493693 0.12616838217767 -0.459344555314339 -0.409214603521399 0.23427147270814 0.407608225434487 -0.190074473552986 0.321895822055834 0.0540990249485434 0.539321887349126 0.056633918334614 -0.24409532132392 -0.237035595332562 0.539275315879852 0.819425725875262 1.0611923186745 -0.468648243834574 -0.997977661730874 0.709906595726875 -0.812833925452956 -0.0792077476086634 -0.740996673469258 -0.752528018173863 0.598361435714799 0.472396483779183 1.01930379797603 0.525292213679489 -0.126392257367308 -0.668263270838641 -1.16189821064556 0.0570147522874395 -0.903200352391035 -0.443781131757753
"t194" 0.104902992501918 0.67696635763268 -0.0207361160695076 -0.474204425842509 -0.379664263483672 -0.0542811366401167 -0.828120547504818 0.938885833873279 0.815133990540448 1.09176565129161 0.238692348380205 -0.26176704057593 -0.86170443253376 -0.342384981699163 -0.17149831783422 -0.707726756891325 0.29528175220893 -0.196313648672033 0.132917243585654 -0.524374245783681 -0.38277015231308 0.194271278745675 0.411872642523852 -0.18799208441097 0.365437397365709 0.150294748715555 0.536993105968326 0.100642460947912 -0.234448735080845 -0.192010357592237 0.654453805281093 0.809922722228521 1.12093551668973 -0.53523755095436 -1.00423516226256 0.698812184369524 -0.844820604309647 -0.103549102015259 -0.757838401643701 -0.817812407683786 0.610108589269751 0.45041682805307 1.03706942226936 0.508167637474972 -0.148414739767888 -0.722542309850518 -1.15465534421852 0.110048365328124 -0.939974435322112 -0.440361201991107
"t7" 0.51897132073888 0.840262782470847 -0.262894962235212 -0.736783483140966 -0.300034091960288 -0.45924384903846 -0.538096833155122 0.754740441153309 0.486367600524464 0.860614763109687 -0.165829696468266 -0.320464347559294 -0.78270580655536 -0.419911283868329 -0.316192535192899 -0.988323152661622 0.536946121851042 -0.477813566398701 -0.209039451507905 -0.414401551637586 -0.763738159384433 0.319289553153049 0.735049457566104 -0.109175813519499 0.125369795915543 0.217603868663326 0.496659768231024 0.217719246949404 0.128090578156866 -0.191508126888905 0.221884837531903 0.374068648991627 1.19592164484712 -0.677076726216144 -0.561361779448612 0.673456120050138 -0.789230176360712 -0.0749906150663118 -0.583584852095762 -1.07557906894069 0.461596447262875 0.305474597481269 1.1361223512378 0.487991422786533 -0.102514866165433 -0.307515889915744 -1.27450067600634 0.0717708386419554 -0.746620703712537 -0.153614803992698
"t100" 0.320631014534841 1.06521890740543 -0.366404917250017 -0.319387429448324 -0.336080323577089 -0.479044783330384 -0.21264456907975 0.564040284264917 0.417653860602889 1.01384761412326 -0.0971453312833328 -0.208362472856649 -0.545216795530058 0.13713359271041 -0.448345626494211 -0.784048754498765 0.293877065773549 -0.109462026649921 -0.359490133768394 -0.64454564300688 -0.302747775399832 0.518321767139383 0.977053865890502 -0.33101160923403 0.665884032173456 0.139386321107267 0.252426502158981 0.038467614393099 -0.0603655002889531 0.00715143680476779 0.515101122325031 0.353332470889395 1.00055075624839 -0.43360217496738 -0.584456873730807 0.809124480338059 -0.795534950967566 0.144917976610468 -0.650503382818067 -0.441451975325476 0.690638362001997 0.207483285242972 0.613562607902302 0.464522212681495 0.276317944746527 -0.072053460819708 -1.23119639047809 0.512335074097802 -0.558300865388695 -0.519159389760133
"t224" 0.40045127465439 0.511839784379746 0.227667179717314 -0.286622281199708 -0.0266739355363392 0.0502566999951701 -0.540565214253427 0.154875704608278 0.353789566679968 0.248814463665173 -0.170257940370881 0.176761026436527 -1.0274025968137 -0.219483183053103 -0.157536678370487 -0.787613090400062 -0.273669818401723 -0.62803465725613 -0.447754659588362 -1.12469026650094 -0.259843626559079 0.316793947137518 -0.0180153888399236 -0.179285779446327 -0.0216558268516439 0.202688036610579 -0.0151815459549316 0.0566413016733977 -0.0928446111755232 0.1875959775228 0.237007106405893 -0.00187818649103236 0.0021715778660289 -0.34224516316895 -0.22424758702348 0.0421681048928652 -0.619663948105864 0.0991537393784075 -0.304248041185074 -0.28208599243877 -0.245067940005325 0.410848846416289 1.02522294553353 0.308621007810101 0.233026900845956 -0.761692981903073 -0.78537007021251 -0.362649424522018 -0.401715355625317 0.00218929932308035
"t103" -0.0309392393103602 0.759681209550002 -0.0282846060924167 0.229314573592192 -0.198881790685265 0.226153428433254 -0.112783235935372 0.105167173847256 -0.0579386576904898 0.409540222378262 -0.0525624991745055 -0.0552025275556925 -0.927107558458321 0.0745665830663285 0.534381797216654 -0.664412326794398 -0.156026506740117 -1.04498955371923 -0.0709339408801609 -0.519758876775106 -0.0497333975064709 0.100694354696008 0.557250107015876 -0.308932999884035 -0.486158660465633 0.479116831783679 0.225303571713747 -0.120810541664475 0.128664571669382 -0.0390620692334959 0.12548157211124 -0.110502310380166 0.63065954381234 -0.71784661725908 -0.75297463638671 0.239463825108269 0.119630074951927 -0.563721636521164 -0.932024673278282 -0.0957558491115599 0.430940744761659 -0.0703594578888949 1.28143297956127 0.679334273654196 0.502687657064129 -0.518937685163382 -1.25446559612861 0.180449382391566 -0.253399409423249 -0.152013029034786
"t48" 0.230851894131418 0.878273055924076 -0.220031366037971 0.325558399479523 -0.133597019365884 0.40671685459696 0.0518722605726556 0.262394198151351 -0.381746940533025 0.304826067913843 0.15817989263648 0.227398755531242 -0.993632202834454 0.0815557318921952 0.904039993212078 -0.52941466012465 -0.390446246912543 -0.566416433427548 -0.432981007687076 -0.44329325796835 -0.270708062785641 0.0353498266294753 0.793406595576637 -0.390378291814859 -0.347322888232359 0.653894919238947 0.273244704445403 -0.28773101599016 0.060698241698716 -0.258337390011137 0.0762018849371024 -0.211067404963159 0.589646987685611 -0.412083043059105 -0.894363250733296 0.415872631953314 0.128243428343046 -0.605894185539314 -0.466484159654919 -0.010136001600083 0.969800952825791 0.209819531909401 1.26217172839301 0.718789433575909 0.236522754288441 -0.550728707229894 -0.895807048719517 0.215043018237819 0.0219955102518293 0.372755026667151
