"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"t229" -2.68149426217526 -0.556738167883858 3.32567321633429 1.96390610136286 -1.79082966089931 -4.33081925266841 -4.89783788275119 3.03163325132402 8.07042368822886 -1.95126390780099 -2.24610998826598 0.784973455994891 -3.30386079949831 -0.119927596948615 -3.19433149442534 6.0049302728061 3.56494649859595 1.47794926598528 -1.78835796254591 3.704678521867 -2.96436174197143 4.49972854440926 -4.54805497262268 0.1263659848675 -3.06163611075886 -0.0315581102045641 2.86215513287215 5.59716897250178 -4.29961122301099 -0.809908352225473 9.42935880164372 -2.64793878971092 0.712605753366833 -2.37501036585558 -0.12079130549062 -3.51222565665159 -0.580722554787914 -1.25212178447884 3.32051786967505 -3.6922510407504 2.52222053081358 5.40500041269331 -2.77809057434219 -2.18311045291001 1.21134580233105 2.71736261087208 -2.91863842508628 -1.34450567633034 0.835871590618324 0.159796970936552
"t55" 1.58776286909032 -1.04656383251594 -1.37092548981787 2.72250358438007 1.02975648859769 -1.2877170806472 -2.24792482044322 -1.77711009216733 -2.58390144814058 0.869055362256257 -3.03923366594965 1.17383979058915 -1.82265752326743 1.10767929694568 -1.35451841635294 -0.0746105808431895 2.85666409008091 5.2154782991517 4.38869356069546 -3.11057042600194 -2.4074395619204 -3.89222688626003 2.62516206991787 -0.169828201084254 9.92217771994479 1.43845869308869 -4.06139535837212 -0.120979732265477 9.25816025812451 5.37622024509182 1.45741497891947 2.70470595139177 0.347162021900624 4.52774939153007 1.0717470044284 -1.44652297540756 0.341850909707297 3.23622450711145 -0.0830750807928303 2.18388922881311 -3.5629821694941 -4.13113168457527 5.79802202764748 3.60322040776625 -1.74195175920002 0.014711097113709 -4.7308703887032 6.19175231163355 -1.50796155057587 0.566154873397837
"t65" 1.41603544670999 1.23869491355265 3.21348673819151 -6.90458070508272 6.64577974469807 -5.1666979522042 -4.47931852014043 3.33104749257236 -5.82847241094033 6.84372046457126 2.27427484792523 2.13402591346534 -6.55636930036986 -4.99140329997815 -0.820666127264044 -1.73415697716617 4.86789196442732 -0.191700891513206 4.95308422687961 -0.811372393479034 0.292226150181392 1.74999477951913 0.952012830941299 -0.428330272134876 -5.28504204791902 -1.35286098396457 -2.55447824322578 1.92890668510002 -0.339631317505333 -1.86140049964493 3.27990829041731 6.6591802746806 3.34954142251866 3.53646896615471 -1.52760275846545 -3.92805251461107 -1.95875747897907 -1.52555418058357 -4.13498308631018 -3.00075235429892 -5.6860041111608 -5.12661734439938 5.57841660194272 3.19638445434739 3.07580949546814 -1.24905838543764 -0.661486856200323 0.0891005761229624 -9.39191402663458 3.70757587779168
"t14" -6.41295231533549 3.17858975612278 -2.64955823680401 2.97084871814627 4.50130229794136 -2.91852832957976 3.26643520930309 -3.13081064964938 -0.522473893085791 6.06155461296122 7.73999244293893 -0.846291103898281 4.00074494611024 0.143430298284999 -4.11520819451764 3.21375375357272 -6.05676969701207 1.07356652863818 -1.63650274743957 4.98988774397582 -1.45377452857646 -2.17676210995483 3.79630578853651 3.1076794105585 1.21887439646415 0.646149982835661 -2.10229906127106 0.272544959463479 -5.40482974589461 0.0934272795558882 1.37892870592144 1.96919906841019 2.52308797690574 -2.63111534043922 -1.62774058162163 2.05569077055052 0.817119857016142 -2.88238835836058 -2.66895060505342 2.65883581881046 2.63686216223416 -0.789634974229535 -3.15671653999935 2.54048727466286 4.56516462031549 7.57320119415059 -1.28963782661734 1.8249265907621 0.219259308336215 3.97498237212515
"t59" 0.613213054493098 4.99305946117718 0.806275602633093 0.195878516652163 -0.279880753973206 3.26700440924288 -2.47559600650833 -4.45870608099008 -1.34056261801293 -0.157926097098084 -4.90954126120182 -7.44262186974529 -0.761468519732766 4.44389415372089 0.0800151485319302 0.285026494295636 6.7208113766598 1.92221344924577 2.49107606365612 -1.46968514451604 -3.66342795150892 6.17438678362515 -0.465259280369617 -3.43970525173214 -3.93090745133671 5.94408723055683 -2.49388893196577 0.877848634787951 3.23329804656891 -4.76749103968754 -1.77190502709678 2.39639380808366 1.11648433829298 8.63233905039608 -5.07478562301191 -1.68940269433704 -3.04614849156434 -7.69247265555519 -2.06603657402606 5.38671559446874 -6.68985677300233 -1.74151911076516 1.21581489504545 -4.41595960507674 4.84769651534069 -9.30122932418693 -0.568681638547494 -2.0104315005798 -0.737479214447011 -5.34710674309502
"t127" 8.52582125295847 -7.10151336897708 3.56032829432888 -9.10651415950226 3.81202068099484 0.429770675066705 3.71550017173503 1.54201745365436 0.383750851909305 1.76499322388566 0.10615721002193 -1.84341791413933 2.48716919844559 -2.15340489265109 -5.58285461037527 -0.291972015214326 -3.94986171730659 -3.54338024111801 -1.83768036823912 4.27020475209245 -5.30632375032483 -2.74150445427147 -0.597133634650293 0.413194768615939 -0.591400828929504 0.266488556044983 -5.09370725231973 -0.577312454951425 -4.77265108946937 -2.4533087313478 -8.16454880920086 -6.84489967302639 -1.37998992494599 -4.04630616504868 -4.53338898063653 8.07669521995627 -1.68115527260108 -2.41395810808407 -1.14658933304928 0.43612331355428 0.326269755391664 -5.42168497426749 -0.733947115684681 -3.40327598273632 0.330126011635393 5.96522370274024 1.9788438810051 4.79996789984396 0.349928275226604 8.6543709729493
"t145" 1.20747559017537 2.8897419620533 0.781290254900775 -10.1801804666879 0.442518382110047 -1.10395230564615 7.50449862485744 -1.75316793649347 -2.52893391882593 3.36411470496822 5.20900037485617 -0.183350645294393 -4.08673367859901 4.00449246601899 2.28206393904878 -3.010405953038 -1.28645133723105 -0.104239422676911 7.27209538962397 0.71440927964481 6.48002959484565 -4.80273092533914 1.36357499621298 -1.22960568865144 -5.47159112669769 1.67676686546305 -1.92129968855418 -4.06391999602649 3.929636828244 2.93161921460176 4.00727837272478 3.62988847698677 0.57387907958468 1.66038785515762 0.374548012548288 -5.2562049127764 -5.80185603585949 -3.90968767699147 -5.28307365087215 -1.85328431628884 2.70313240221461 -4.18227090659912 5.7393268830872 -1.1664626613247 8.05205356880327 5.95271146601733 0.409319346693699 -2.85352369359685 -1.84326553961874 -3.12978754484115
"t86" 2.83843863627498 -3.83576261581517 -3.32488242459308 6.20745908491156 -5.78328271584771 -4.60428552548411 1.06701865358708 1.13246717426764 2.9419585529809 6.97766195245064 3.47650884048238 -1.71256239329867 2.18536835259713 -5.32949089339796 4.86032562755926 -6.22865964845663 1.26782130721014 1.04909208956229 3.06200397569924 -1.20588799154834 5.22405170718066 1.63613230670342 -0.628150863339056 -2.8277929240337 1.58476954540969 1.86773703529838 2.15274867989684 2.95083970764155 -7.93854720149239 1.58515430144205 5.59357696721648 -4.13674548151097 1.15852972055353 6.6107456332972 1.80459073090786 2.92642354787428 6.97415708212712 4.79271706299592 0.450043938627723 1.82753598835752 -0.355112106592584 -0.393211229550896 3.99803587310654 11.1783719369658 1.57328745965661 -0.641118376259226 -8.30856874026809 2.25171980757765 4.58472357219709 -2.97950015741455
"t202" 1.5915601933423 0.780400291641069 1.96955452474459 -2.81303659637225 -1.6813964602301 0.14675882951801 -1.45786606871364 2.44829255703685 -2.84153333205222 2.76525574777883 -5.3334826049707 -4.77612773307561 1.60053547084323 1.84369835961456 -2.64094329673591 0.645393827527668 5.23593472858999 4.67281374139154 4.872046514429 1.59447176681295 -3.34844430464036 3.50978039996228 -0.156545517353957 0.10733942963333 0.145026352461837 -0.767436527705118 2.9191940866479 1.79106795711269 1.98580456430405 -3.42720262930513 4.48726880971381 -11.21941851363 -5.84934779342311 -0.313115148900662 7.42881549048741 -0.323324400282759 -2.94796230436472 -2.19459585091072 -3.26959379644826 0.360939737065367 1.15784137477507 -9.2312361140695 0.448707640154398 -1.92118372221043 0.532547723961751 4.98741588151534 -1.69488812900036 6.80149913735377 -0.745614928771476 2.07817402496799
"t56" -8.44220431392512 -1.69232673724188 6.58594836652002 -6.02411603935685 8.79980793488048 -2.44772082449745 2.47997333808169 0.838544119196388 4.46805765372712 -3.15814378207221 -0.136538827296911 -1.30491098283688 -2.30451967747218 -3.55796990313473 6.42559248478433 2.1068001289485 -2.91340074098688 2.11658305189007 0.0536582859795905 7.15985390739159 -1.95176928760904 1.38779834542896 6.02502408201038 1.02980709550817 -1.21028419735554 1.19062106165383 5.15574818562848 4.15655764145496 1.31844229344761 0.685752047774425 2.51445539974996 -1.89490488376402 -0.280140713462421 -4.57120950941877 7.24365646267099 -1.19223440416119 -0.00685834021096887 1.66280451893247 -5.77313349797073 5.70142069188282 -2.09227235061157 3.89246454910536 -4.22981143532864 1.16666193423013 -6.40616019012311 -1.87474778266065 -0.766100963099365 -2.22265386317791 2.06872995217125 -0.968416976322083
